episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,-39.4178503486201,-0.34883053405858494,0.652381420135498,0.06,0.06,0.06,0.72,0.9334916864608076,0.3431952662721893,0.30092983939137785,0.3558748943364328,0.49768009052554196,0.9601769911504425,0.9601769911504425,13.787610619469026,0.5970736241918251,173.6478146997595,85.5106888361045,0.42573519569500634,0.8551068883610451,0.5129867376005031,51.122006709283326,-122.52580799047617,6.575088195225609,50,50,36.96437621116638
2,,-35.87505099336611,-0.3231986575978929,0.6790578762690226,0.0,0.0,0.0,0.6755700325732898,0.9243697478991597,0.41134751773049644,0.2721631205673759,0.31648936170212766,0.4982790845572982,1.2115315315315316,1.2115315315315316,8.162162162162161,0.7261507131397646,116.8871409641276,87.11484593837535,0.4864026020794731,0.8711484593837535,0.5785198852830833,-6.806758192810132,-123.69389915693773,5.922302434288395,50,50,35.49478888511658
3,,-28.108872709346567,-0.2702776222052555,0.5494629144668579,0.06,0.06,0.06,0.7677977378576181,0.9464668094218416,0.31762794476035744,0.30300568643379366,0.3793663688058489,0.5019272886364399,1.0044230769230769,1.0044230769230769,14.192307692307692,0.557055123218144,119.83616957115821,80.94218415417559,0.3571596417225156,0.8094218415417559,0.46529610401635074,47.533643191035296,-72.30252638012291,6.694957424476021,50,50,32.51529383659363
4,,-46.597404747412185,-0.40170176506389815,0.5990217924118042,0.02,0.02,0.02,0.7188118811881188,0.9467005076142132,0.35450643776824037,0.3072961373390558,0.3381974248927039,0.5032595366191376,0.9356896551724138,0.9356896551724138,14.637931034482758,0.6820700691392668,179.29720766992642,84.77157360406092,0.36400780853196757,0.8477157360406091,0.44641424831514714,43.692535641350695,-135.60467202857572,6.593759446724125,50,50,36.27350902557373
5,,-40.59811072121668,-0.3499837131139369,0.651306132475535,0.06,0.06,0.06,0.7787958115183246,0.959830866807611,0.3101518784972022,0.3117505995203837,0.3780975219824141,0.5095729984598363,0.896551724137931,0.896551724137931,15.224137931034482,0.5661399796242406,166.36239444459824,90.69767441860465,0.41585145043608523,0.9069767441860465,0.4683418826680304,55.89526598298775,-110.4671284616105,6.850239063742066,50,50,37.064648151397705
6,,-33.833811527839195,-0.31918690120603016,0.7069792151451111,0.06,0.06,0.06,0.7195121951219512,0.9493333333333334,0.34801762114537443,0.32158590308370044,0.3303964757709251,0.5061505478488738,0.9345283018867925,0.9345283018867925,17.367924528301888,0.601979103379167,135.14842479733912,85.86666666666667,0.43456779987545313,0.8586666666666667,0.5229349288340283,49.83382834262419,-85.31459645471493,6.902733102376254,50,50,33.60621428489685
