window,method,policy,metric_id,metric_cn,direction,mean,std,p10,p50,p90,ci95_low,ci95_high,n,matched_k,stat_basis,rank
全程,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,14.387687710762005,1.7822712544927433,12.262037096977211,14.377313232421852,16.811162261962874,14.086823093064606,14.719848561302804,120,120,matched_tail_raw_baseline,2.0
全程,Static,Static,mean_cft_est,平均完工时间估计,lower,15.198972160895648,1.858142942888199,12.748764784812906,15.22733676910398,17.373341042518607,14.87143393015065,15.55292661901115,120,120,matched_tail_raw_baseline,3.0
全程,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,16.173364286422704,1.6071905148154242,14.205151466369605,16.176020832061734,18.114737340927107,15.900247340450662,16.45287193093496,120,120,matched_tail_raw_baseline,4.0
全程,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,22.764593382040662,1.4046785722807797,21.8107763004303,22.987542057037356,23.99064036369324,22.505868422772487,23.001139935410023,120,120,matched_tail_raw_baseline,5.0
全程,EFT,EFT,mean_cft_est,平均完工时间估计,lower,22.94784031176567,2.1223189348796745,20.139040750503536,23.51054811477661,24.51601699829102,22.54355358283917,23.29775071237087,120,120,matched_tail_raw_baseline,6.0
全程,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,23.309546928564707,1.5017420355280695,22.322745428085334,23.543427515029908,24.50704640388489,23.03460281175772,23.564202240612115,120,120,matched_tail_raw_baseline,7.0
全程,Random,Random,mean_cft_est,平均完工时间估计,lower,25.103340663909915,0.5421198919387323,24.460613250732422,25.05943202972412,25.90098648071289,25.00733087205887,25.203111484587193,120,120,matched_tail_raw_baseline,8.0
末100,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,1.5844331598997121,0.05456451286025621,1.500189905166626,1.6000000000000003,1.6011912631988532,1.5734451972779633,1.5944448968669773,100,100,matched_tail_raw_baseline,1.0
末100,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,14.406862529373152,1.81786037468617,12.262037096977211,14.285906448364234,16.94108048439024,14.055590849401932,14.789814928681832,100,100,matched_tail_raw_baseline,2.0
末100,Static,Static,mean_cft_est,平均完工时间估计,lower,15.344695021820053,1.8517795642842565,13.051754140853866,15.306869425773602,17.543796318054195,14.978095464565735,15.715756363790021,100,100,matched_tail_raw_baseline,3.0
末100,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,16.216689826011635,1.5427675193968318,14.374759905815091,16.176020832061734,18.029889945983868,15.927214174656841,16.51183339613197,100,100,matched_tail_raw_baseline,4.0
末100,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,22.785015280818943,1.3898103742461199,21.910616788864147,22.987542057037356,23.965301008224486,22.509415911407473,23.03382298102856,100,100,matched_tail_raw_baseline,5.0
末100,EFT,EFT,mean_cft_est,平均完工时间估计,lower,22.872205110454562,2.1715328889221226,20.040428056716912,23.48893027305603,24.349797163009644,22.447178941743374,23.2726137193203,100,100,matched_tail_raw_baseline,6.0
末100,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,23.329451188755034,1.4636589978696324,22.322745428085334,23.479451704025273,24.53067475318909,23.029911883571152,23.590953987329005,100,100,matched_tail_raw_baseline,7.0
末100,Random,Random,mean_cft_est,平均完工时间估计,lower,25.126195495605472,0.5531411700164172,24.491555213928223,25.081695556640625,25.974091148376466,25.01980315656662,25.23771207005978,100,100,matched_tail_raw_baseline,8.0
末300,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,1.5854556179145978,0.05133663246807583,1.500189905166626,1.6000000000000003,1.601315455436707,1.57583735872681,1.5945398685544734,120,120,matched_tail_raw_baseline,1.0
末300,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,14.387687710762005,1.7822712544927433,12.262037096977211,14.377313232421852,16.811162261962874,14.06317947504717,14.732364048266392,120,120,matched_tail_raw_baseline,2.0
末300,Static,Static,mean_cft_est,平均完工时间估计,lower,15.198972160895648,1.858142942888199,12.748764784812906,15.22733676910398,17.373341042518607,14.86720446288385,15.547323426908237,120,120,matched_tail_raw_baseline,3.0
末300,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,16.173364286422704,1.6071905148154242,14.205151466369605,16.176020832061734,18.114737340927107,15.899737390828108,16.473679628568863,120,120,matched_tail_raw_baseline,4.0
末300,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,22.764593382040662,1.4046785722807797,21.8107763004303,22.987542057037356,23.99064036369324,22.499068812803426,22.995278418324393,120,120,matched_tail_raw_baseline,5.0
末300,EFT,EFT,mean_cft_est,平均完工时间估计,lower,22.94784031176567,2.1223189348796745,20.139040750503536,23.51054811477661,24.51601699829102,22.560402118178207,23.314011351132393,120,120,matched_tail_raw_baseline,6.0
末300,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,23.309546928564707,1.5017420355280695,22.322745428085334,23.543427515029908,24.50704640388489,23.02336619249781,23.5608185794572,120,120,matched_tail_raw_baseline,7.0
末300,Random,Random,mean_cft_est,平均完工时间估计,lower,25.103340663909915,0.5421198919387323,24.460613250732422,25.05943202972412,25.90098648071289,25.00643926646312,25.193602327545484,120,120,matched_tail_raw_baseline,8.0
末500,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,1.5854556179145978,0.05133663246807583,1.500189905166626,1.6000000000000003,1.601315455436707,1.5762765193022792,1.594637124374261,120,120,matched_tail_raw_baseline,1.0
末500,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,14.387687710762005,1.7822712544927433,12.262037096977211,14.377313232421852,16.811162261962874,14.092143589878063,14.706323009407502,120,120,matched_tail_raw_baseline,2.0
末500,Static,Static,mean_cft_est,平均完工时间估计,lower,15.198972160895648,1.858142942888199,12.748764784812906,15.22733676910398,17.373341042518607,14.871763710826617,15.527236305187131,120,120,matched_tail_raw_baseline,3.0
末500,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,16.173364286422704,1.6071905148154242,14.205151466369605,16.176020832061734,18.114737340927107,15.894154340126091,16.44736494884687,120,120,matched_tail_raw_baseline,4.0
末500,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,22.764593382040662,1.4046785722807797,21.8107763004303,22.987542057037356,23.99064036369324,22.50260590005716,23.006481311331196,120,120,matched_tail_raw_baseline,5.0
末500,EFT,EFT,mean_cft_est,平均完工时间估计,lower,22.94784031176567,2.1223189348796745,20.139040750503536,23.51054811477661,24.51601699829102,22.551687879769005,23.32485622025728,120,120,matched_tail_raw_baseline,6.0
末500,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,23.309546928564707,1.5017420355280695,22.322745428085334,23.543427515029908,24.50704640388489,23.045298439935845,23.56221768882672,120,120,matched_tail_raw_baseline,7.0
末500,Random,Random,mean_cft_est,平均完工时间估计,lower,25.103340663909915,0.5421198919387323,24.460613250732422,25.05943202972412,25.90098648071289,25.01220684746901,25.199567274411518,120,120,matched_tail_raw_baseline,8.0
全程,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,120,matched_tail_raw_baseline,1.0
全程,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.14458862554488025,0.027997914935743464,0.11206150388537812,0.1429053248685349,0.18544926004722237,0.13977301286670443,0.14983994388884736,120,120,matched_tail_raw_baseline,2.0
全程,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.165254023142292,0.26744061164635596,0.0,0.0,0.635811048746109,0.11739987402991761,0.21414902927411258,120,120,matched_tail_raw_baseline,3.0
全程,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.1700605575786452,0.03343668832159301,0.1278628923580605,0.1672008822688878,0.2125155176922432,0.16400094952405989,0.17619748667592453,120,120,matched_tail_raw_baseline,4.0
全程,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.18357202540810366,0.03813315596332858,0.13614049535176126,0.18323538729632635,0.23378953259972718,0.1773709524073363,0.1903160749527223,120,120,matched_tail_raw_baseline,5.0
全程,Random,Random,power_ratio_mean,远端功率比例,lower,0.6003922064324435,0.003640719742588998,0.5955275135461527,0.5998401162985876,0.6051713540624926,0.5997965073662976,0.6010439256614498,120,120,matched_tail_raw_baseline,6.0
全程,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,120,120,matched_tail_raw_baseline,7.0
全程,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,120,120,matched_tail_raw_baseline,7.0
末100,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,matched_tail_raw_baseline,1.0
末100,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.14414310280707437,0.028698289374171425,0.11151939378990124,0.1429053248685349,0.18544926004722237,0.1385982268099877,0.14937322066208975,100,100,matched_tail_raw_baseline,2.0
末100,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.16762665499577803,0.03376150277377146,0.12644923615849316,0.16313534086513526,0.21154220333888607,0.16073414167806271,0.17406361487623845,100,100,matched_tail_raw_baseline,3.0
末100,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.17654267679766883,0.27361546656819535,0.0,0.0,0.6384304016828537,0.12326536912866867,0.23069245610641126,100,100,matched_tail_raw_baseline,4.0
末100,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.18136108062157252,0.03935673303875041,0.13491368982063506,0.18142266128555318,0.23546878443288688,0.17413891801712217,0.18926072611084063,100,100,matched_tail_raw_baseline,5.0
末100,Random,Random,power_ratio_mean,远端功率比例,lower,0.6005801863636188,0.0036951058797221235,0.5957040407674754,0.5999445101724912,0.6056849671271791,0.5998862565510091,0.6012945437360699,100,100,matched_tail_raw_baseline,6.0
末100,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,100,matched_tail_raw_baseline,7.0
末100,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,100,matched_tail_raw_baseline,7.0
末300,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,120,matched_tail_raw_baseline,1.0
末300,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.14458862554488025,0.027997914935743464,0.11206150388537812,0.1429053248685349,0.18544926004722237,0.13972693791537966,0.14937167446849903,120,120,matched_tail_raw_baseline,2.0
末300,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.165254023142292,0.26744061164635596,0.0,0.0,0.635811048746109,0.11924223084687366,0.21304790733076276,120,120,matched_tail_raw_baseline,3.0
末300,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.1700605575786452,0.03343668832159301,0.1278628923580605,0.1672008822688878,0.2125155176922432,0.1642006927974696,0.17621116240938978,120,120,matched_tail_raw_baseline,4.0
末300,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.18357202540810366,0.03813315596332858,0.13614049535176126,0.18323538729632635,0.23378953259972718,0.17701536184650968,0.1900625898942886,120,120,matched_tail_raw_baseline,5.0
末300,Random,Random,power_ratio_mean,远端功率比例,lower,0.6003922064324435,0.003640719742588998,0.5955275135461527,0.5998401162985876,0.6051713540624926,0.5997329133472452,0.6010288054666472,120,120,matched_tail_raw_baseline,6.0
末300,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,120,120,matched_tail_raw_baseline,7.0
末300,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,120,120,matched_tail_raw_baseline,7.0
末500,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,120,matched_tail_raw_baseline,1.0
末500,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.14458862554488025,0.027997914935743464,0.11206150388537812,0.1429053248685349,0.18544926004722237,0.1395592371345817,0.14966759789953937,120,120,matched_tail_raw_baseline,2.0
末500,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.165254023142292,0.26744061164635596,0.0,0.0,0.635811048746109,0.12015693170736388,0.21339542994696076,120,120,matched_tail_raw_baseline,3.0
末500,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.1700605575786452,0.03343668832159301,0.1278628923580605,0.1672008822688878,0.2125155176922432,0.16425156568524676,0.17611261853514673,120,120,matched_tail_raw_baseline,4.0
末500,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.18357202540810366,0.03813315596332858,0.13614049535176126,0.18323538729632635,0.23378953259972718,0.17735339019668958,0.19007759684487743,120,120,matched_tail_raw_baseline,5.0
末500,Random,Random,power_ratio_mean,远端功率比例,lower,0.6003922064324435,0.003640719742588998,0.5955275135461527,0.5998401162985876,0.6051713540624926,0.5997271438521458,0.6010264821031958,120,120,matched_tail_raw_baseline,6.0
末500,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,120,120,matched_tail_raw_baseline,7.0
末500,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,120,120,matched_tail_raw_baseline,7.0
全程,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,0.08717364845797416,0.02386152986851895,0.052824493497610044,0.0884028263390064,0.11700550094246863,0.0828091815121782,0.09126055404388654,120,120,matched_tail_raw_baseline,1.0
全程,Greedy,Greedy,reward_mean,平均步奖励,higher,-0.006256261050535752,0.010479568149527125,-0.0239468249253526,-0.0028140110397409,0.00452329363845203,-0.00816484392040333,-0.004386150664999681,120,120,matched_tail_raw_baseline,2.0
全程,Static,Static,reward_mean,平均步奖励,higher,-0.047900405692781096,0.03157899018865958,-0.09062330115654275,-0.0442018579667324,-0.008433462252683177,-0.05361926892597163,-0.04226026045096971,120,120,matched_tail_raw_baseline,3.0
全程,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.306547623597994,0.06921400489841288,-0.39266610171764227,-0.30153937804452313,-0.21537063850725124,-0.31944869405779863,-0.2941206892033154,120,120,matched_tail_raw_baseline,4.0
全程,EFT,EFT,reward_mean,平均步奖励,higher,-0.8070212659303148,0.4372906890229295,-1.3626649473905876,-0.6701131574511596,-0.3543655963912083,-0.8909734400423613,-0.7319910326315406,120,120,matched_tail_raw_baseline,5.0
全程,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-1.00219071146588,0.48216856044438333,-1.6152309515533174,-0.9573092987818188,-0.44989080718555524,-1.0846163214307931,-0.9173839782188661,120,120,matched_tail_raw_baseline,6.0
全程,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,-1.0043956184004619,0.6251379786129807,-1.7752464425940262,-0.8239103488904663,-0.4294036119424371,-1.1142513165401637,-0.8958272016706301,120,120,matched_tail_raw_baseline,7.0
全程,Random,Random,reward_mean,平均步奖励,higher,-1.7662347178616717,0.8046649995071095,-2.761305594482924,-1.6176095393284076,-0.8922366084559232,-1.9128286165332364,-1.628910796196414,120,120,matched_tail_raw_baseline,8.0
末100,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,0.08637412160634991,0.024379274187081777,0.05262407325208182,0.0876733995974063,0.1191086359322071,0.08168445900361981,0.0910263913851231,100,100,matched_tail_raw_baseline,1.0
末100,Greedy,Greedy,reward_mean,平均步奖励,higher,-0.006594027702146139,0.010619313533519501,-0.024324884778897098,-0.00332077949408935,0.004178555874083253,-0.008590397481567098,-0.0044948465036768765,100,100,matched_tail_raw_baseline,2.0
末100,Static,Static,reward_mean,平均步奖励,higher,-0.04759862904180784,0.031330754710445406,-0.09162307135972811,-0.0442018579667324,-0.008634656402498957,-0.0536695134153068,-0.0415436911383477,100,100,matched_tail_raw_baseline,3.0
末100,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.3038239840414663,0.06906985212737875,-0.38534002624922103,-0.2985385462158209,-0.21537063850725124,-0.31727819172998906,-0.2898168779024264,100,100,matched_tail_raw_baseline,4.0
末100,EFT,EFT,reward_mean,平均步奖励,higher,-0.8092022929941399,0.42589931578664614,-1.5047552443209067,-0.7318308265344307,-0.38055137706011755,-0.8975970591806713,-0.7294622805553747,100,100,matched_tail_raw_baseline,5.0
末100,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-1.0019169357119613,0.4980106736925449,-1.6152309515533174,-0.9549891431711099,-0.4375181446815682,-1.0971929064651735,-0.9063502228497559,100,100,matched_tail_raw_baseline,6.0
末100,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,-1.0171999052901715,0.6395901956045881,-1.7829150196586294,-0.8292502618887938,-0.4452816432137895,-1.1493227221234223,-0.9016813761314858,100,100,matched_tail_raw_baseline,7.0
末100,Random,Random,reward_mean,平均步奖励,higher,-1.7739352364439134,0.8404867833959387,-2.893181208989409,-1.5962004588824843,-0.8922366084559232,-1.9397487354848826,-1.6177549310933652,100,100,matched_tail_raw_baseline,8.0
末300,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,0.08717364845797416,0.02386152986851895,0.052824493497610044,0.0884028263390064,0.11700550094246863,0.08281185035826635,0.09139396067010236,120,120,matched_tail_raw_baseline,1.0
末300,Greedy,Greedy,reward_mean,平均步奖励,higher,-0.006256261050535752,0.010479568149527125,-0.0239468249253526,-0.0028140110397409,0.00452329363845203,-0.008097201698411716,-0.004527923959457436,120,120,matched_tail_raw_baseline,2.0
末300,Static,Static,reward_mean,平均步奖励,higher,-0.047900405692781096,0.03157899018865958,-0.09062330115654275,-0.0442018579667324,-0.008433462252683177,-0.0536778406335151,-0.04246649616978064,120,120,matched_tail_raw_baseline,3.0
末300,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.306547623597994,0.06921400489841288,-0.39266610171764227,-0.30153937804452313,-0.21537063850725124,-0.3194597536479845,-0.2939206286339267,120,120,matched_tail_raw_baseline,4.0
末300,EFT,EFT,reward_mean,平均步奖励,higher,-0.8070212659303148,0.4372906890229295,-1.3626649473905876,-0.6701131574511596,-0.3543655963912083,-0.8887003227925854,-0.7262426206764664,120,120,matched_tail_raw_baseline,5.0
末300,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-1.00219071146588,0.48216856044438333,-1.6152309515533174,-0.9573092987818188,-0.44989080718555524,-1.091063841294804,-0.9206189766231375,120,120,matched_tail_raw_baseline,6.0
末300,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,-1.0043956184004619,0.6251379786129807,-1.7752464425940262,-0.8239103488904663,-0.4294036119424371,-1.1226381185580754,-0.8981774942931056,120,120,matched_tail_raw_baseline,7.0
末300,Random,Random,reward_mean,平均步奖励,higher,-1.7662347178616717,0.8046649995071095,-2.761305594482924,-1.6176095393284076,-0.8922366084559232,-1.912584700643043,-1.621774932629189,120,120,matched_tail_raw_baseline,8.0
末500,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,0.08717364845797416,0.02386152986851895,0.052824493497610044,0.0884028263390064,0.11700550094246863,0.08263580740972729,0.09129658515720314,120,120,matched_tail_raw_baseline,1.0
末500,Greedy,Greedy,reward_mean,平均步奖励,higher,-0.006256261050535752,0.010479568149527125,-0.0239468249253526,-0.0028140110397409,0.00452329363845203,-0.008070953633605786,-0.00448805280571602,120,120,matched_tail_raw_baseline,2.0
末500,Static,Static,reward_mean,平均步奖励,higher,-0.047900405692781096,0.03157899018865958,-0.09062330115654275,-0.0442018579667324,-0.008433462252683177,-0.05369516857368925,-0.042234994024352344,120,120,matched_tail_raw_baseline,3.0
末500,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.306547623597994,0.06921400489841288,-0.39266610171764227,-0.30153937804452313,-0.21537063850725124,-0.3197388690704103,-0.29471481489437446,120,120,matched_tail_raw_baseline,4.0
末500,EFT,EFT,reward_mean,平均步奖励,higher,-0.8070212659303148,0.4372906890229295,-1.3626649473905876,-0.6701131574511596,-0.3543655963912083,-0.8900380190459886,-0.7334899580051476,120,120,matched_tail_raw_baseline,5.0
末500,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-1.00219071146588,0.48216856044438333,-1.6152309515533174,-0.9573092987818188,-0.44989080718555524,-1.0846228576911665,-0.9176651537341391,120,120,matched_tail_raw_baseline,6.0
末500,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,-1.0043956184004619,0.6251379786129807,-1.7752464425940262,-0.8239103488904663,-0.4294036119424371,-1.1225349836257212,-0.9007138634855174,120,120,matched_tail_raw_baseline,7.0
末500,Random,Random,reward_mean,平均步奖励,higher,-1.7662347178616717,0.8046649995071095,-2.761305594482924,-1.6176095393284076,-0.8922366084559232,-1.9111012053177343,-1.626497136733011,120,120,matched_tail_raw_baseline,8.0
全程,Greedy,Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.6350378404061,0.141596682414609,0.393733736872673,0.6666666865348816,0.791411817073822,0.6107847431550424,0.6599534203546743,120,120,matched_tail_raw_baseline,1.0
