baseline,metric_id,metric_cn,direction,n_total,n_effective,matched_k,wins,losses,ties,win_rate,p_value_sign_test,welch_t,welch_p_value,bootstrap_ci95_low,bootstrap_ci95_high,mean_oriented_diff,median_oriented_diff,stat_basis
CP-EFT,deadline_miss_rate,超时失败率,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,58.073416554589706,6.674802769085286e-131,64.478125,68.91666666666667,66.75,65.0,matched_tail_raw_baseline
EFT,deadline_miss_rate,超时失败率,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,52.33690877712143,4.4482097740226305e-118,61.583333333333336,66.396875,64.04166666666667,65.0,matched_tail_raw_baseline
Greedy,deadline_miss_rate,超时失败率,lower,120,112,120,97,15,8,0.8660714285714286,7.121860330286502e-16,13.730875492716827,6.757004480776733e-28,24.583333333333336,33.18854166666666,29.041666666666668,30.0,matched_tail_raw_baseline
LB-Greedy,deadline_miss_rate,超时失败率,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,59.52494879046044,5.165639277216347e-131,68.228125,72.85520833333334,70.33333333333333,70.0,matched_tail_raw_baseline
Local-Only,deadline_miss_rate,超时失败率,lower,120,110,120,102,8,10,0.9272727272727272,6.837785526896914e-22,12.87432644605329,1.1787488377537604e-28,11.833333333333334,15.916666666666666,13.833333333333334,15.0,matched_tail_raw_baseline
Random,deadline_miss_rate,超时失败率,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,134.36014640358275,2.604409909062452e-139,86.75,89.29166666666667,88.04166666666667,90.0,matched_tail_raw_baseline
Static,deadline_miss_rate,超时失败率,lower,120,116,120,108,8,4,0.9310344827586207,1.6492278067940073e-23,16.093778286593043,8.364909953879039e-34,30.686458333333334,39.291666666666664,34.875,35.0,matched_tail_raw_baseline
CP-EFT,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,165.05629647036184,1.0996729806410912e-142,20.90917055196216,21.42873161988929,21.17913776412606,21.38662060916424,matched_tail_raw_baseline
EFT,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,110.23073142817546,9.205591129466583e-122,20.96359998225147,21.70636179425567,21.362384693851073,21.907135868072512,matched_tail_raw_baseline
Greedy,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,78.65429272234812,1.4144449775383997e-104,12.48767209122626,13.158874233958354,12.802232092847408,12.776837610602355,matched_tail_raw_baseline
