episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,19.507391574273903,0.10253695787136952,35889177.38729315,0.75,0.75,0.75,0.9416666666666667,0.9459459459459459,0.37815126050420167,0.31092436974789917,0.31092436974789917,0.49970370911760253,0.122,0.122,0.585,0.4619786143560436,57.81539953592224,83.78378378378379,0.40123015691484576,0.8378378378378378,0.49364515076123816,38.28565367495282,-19.529745860969424,7.5627007314364025,20,20,4.280310869216919
2,,25.231381089236198,0.131156905446181,2.3447135647137958,0.85,0.85,0.85,0.968,1.0,0.368,0.344,0.288,0.5025686992087867,0.104,0.104,0.41,0.7403547626929282,54.027026768435704,80.55555555555556,0.2018029032512879,0.8055555555555556,0.2663877135737116,34.1283621169607,-19.898664651475006,7.8883310040290695,20,20,4.198890209197998
3,,24.084226410109018,0.1254211320505451,6.192048120498657,0.8,0.8,0.8,0.975,1.0,0.22764227642276422,0.5365853658536586,0.23577235772357724,0.5017284299820894,0.06475,0.06475,1.095,0.6484556536024242,58.63098284908287,89.65517241379311,0.22912847016225804,0.896551724137931,0.2618541404684131,39.84175043196431,-18.789232417118566,8.192097168239023,20,20,4.087248086929321
4,,29.79815420300853,0.15399077101504266,10.136925156116485,0.95,0.95,0.95,0.9920634920634921,1.0,0.18461538461538463,0.47692307692307695,0.3384615384615385,0.5021567817186006,0.06675,0.06675,0.885,0.8836079722307338,56.70237311685635,86.36363636363636,0.17595543575782727,0.8636363636363636,0.2103296851310005,39.35043195053089,-17.351941166325464,8.086063978557716,20,20,3.9884698390960693
5,,33.55165600697181,0.16775828003485904,170870912.20294806,1.0,1.0,1.0,1.0,1.0,0.16129032258064516,0.4032258064516129,0.43548387096774194,0.5016886077513918,0.0815,0.0815,0.775,0.9947582559523577,9.66986093748461,77.77777777777779,0.21964984603956703,0.7777777777777778,0.3125939360663639,39.50944282389054,29.839581886405927,8.087999954987326,20,20,4.0920021533966064
6,,29.468023262010522,0.15234011631005262,3.274938830534617,0.9,0.9,0.9,0.9912280701754386,0.9818181818181818,0.06086956521739131,0.4608695652173913,0.4782608695652174,0.5266724950226489,0.05675,0.05675,0.815,0.8613290269916605,56.57624010783395,72.72727272727273,0.21550058617647397,0.7272727272727273,0.32248033937836285,38.7214281333818,-17.854811974452147,7.853473978373078,20,20,4.437524080276489
7,,27.994780520109355,0.14497390260054677,1.7400508157412211,0.9,0.9,0.9,0.9844961240310077,1.0,0.10687022900763359,0.48854961832061067,0.40458015267175573,0.5600360864866525,0.07075,0.07075,1.115,0.7703837206568016,57.98759339941279,77.35849056603774,0.15881192813703282,0.7735849056603774,0.2260945361236459,39.034174644477666,-18.953418754935125,8.832792556581309,20,20,4.2667317390441895
8,,26.17665564609658,0.1358832782304829,2.3895878819624583,0.75,0.75,0.75,0.9917355371900827,1.0,0.09016393442622951,0.639344262295082,0.27049180327868855,0.5327484331941232,0.03425,0.03425,1.485,0.8096061182436439,54.80264849089936,87.87878787878788,0.20907922711544985,0.8787878787878788,0.2412301016499066,38.64857120316668,-16.15407728773268,9.179726595110754,20,20,4.2318291664123535
9,,29.631949916063256,0.15315974958031628,3.5829895960318074,0.95,0.95,0.95,0.9823008849557522,1.0,0.07964601769911504,0.6814159292035398,0.23893805309734514,0.5603074685132596,0.0275,0.0275,1.47,0.8767531412642482,57.448747113786624,85.18518518518519,0.2114791035987855,0.8518518518518519,0.2552703841706081,38.66298797531745,-18.785759138469178,9.474171898237044,20,20,4.28057599067688
10,,25.13020775107372,0.1306510387553686,21.388775174220402,0.85,0.85,0.85,0.9411764705882353,1.0,0.13675213675213677,0.5470085470085471,0.3162393162393162,0.5695429289662279,0.07375,0.07375,1.115,0.6700051212285397,58.87538181750804,100.0,0.40520125355335523,1.0,0.40520125355335523,39.03763668107462,-19.837745136433423,9.040034659047205,20,20,4.447824001312256
