source,metric,mean
Ours (MAPPO),steps,83.795
Ours (MAPPO),elapsed_sec,8.228903391361236
Ours (MAPPO),seed,42.0
Ours (MAPPO),terminated,0.6883333333333334
Ours (MAPPO),truncated,0.31166666666666665
Ours (MAPPO),time_limit_rate,0.31166666666666665
Ours (MAPPO),episode_time_seconds,8.379500000000004
Ours (MAPPO),mean_cft_est,8.563505676323176
Ours (MAPPO),mean_cft_completed,0.9418409715191641
Ours (MAPPO),vehicle_cft_count,20.0
Ours (MAPPO),cft_est_valid,1.0
Ours (MAPPO),deadline_gamma,51.89916721642129
Ours (MAPPO),deadline_seconds,1.4693733284841857
Ours (MAPPO),critical_path_cycles,347740359.4442872
Ours (MAPPO),r_time,-0.02782099591550242
Ours (MAPPO),r_interf,-0.1132391100574785
Ours (MAPPO),r_risk,-0.000634937914098391
Ours (MAPPO),r_illegal,0.0
Ours (MAPPO),r_pbrs,0.0005294423125382508
Ours (MAPPO),r_term,0.0760166390437664
Ours (MAPPO),r_step,-0.15118622311705662
Ours (MAPPO),r_total,-0.07464014176075173
Ours (MAPPO),abs_ratio_r_time,0.17848673388963066
Ours (MAPPO),abs_ratio_r_energy,0.05758170427554923
Ours (MAPPO),abs_ratio_r_interf,0.30151043329551364
Ours (MAPPO),abs_ratio_r_risk,0.003782233215098577
Ours (MAPPO),abs_ratio_r_illegal,0.0
Ours (MAPPO),abs_ratio_r_pbrs,0.002822141835805012
Ours (MAPPO),abs_ratio_r_term,0.4558167534884027
Ours (MAPPO),I_total_mean,1.0220179213200565e-06
Ours (MAPPO),I_total_p50,5.144087043643627e-13
Ours (MAPPO),I_total_p95,2.121714237875185e-06
Ours (MAPPO),I_caused_mean,1.0220179213200565e-06
Ours (MAPPO),I_caused_p95,2.121714237875185e-06
Ours (MAPPO),rho_selected_mean,0.2672363390525182
Ours (MAPPO),rho_selected_p10,0.2503414023866256
Ours (MAPPO),uncertainty_selected_mean,0.23491915941238403
Ours (MAPPO),uncertainty_selected_p90,0.25583333333333336
