episodes,window,reward_mean,task_sr,subtask_sr,deadline_miss_rate,mean_cft_completed,avg_rsu_queue,avg_power,decision_frac_local,decision_frac_rsu,decision_frac_v2v,approx_kl,entropy,clip_frac,source,topology_key,topology,policy_key,policy
1500,100,0.009867886961437713,0.9144999999999999,0.980638010305306,0.0855,1.6428399337492294,4.778725034997297,0.4703926984945547,0.3507525914821484,0.6244600326370859,0.024787375880765482,0.018164223798840747,1.3081357409556709,0.10409302236884832,train_tail100,balanced,Balanced,full,Full-MAPPO
50,50,,0.8510000000000001,,0.149,1.2975073699390374,7.022112274731625,0.4219329168332736,0.0729218900852107,0.9074638130016112,0.019614296913178,,,,baseline_eval_mean,balanced,Balanced,greedy,Greedy
50,50,,0.853,,0.1469999999999999,1.5474341718731492,0.2056586091836224,0.0,1.0,0.0,0.0,,,,baseline_eval_mean,balanced,Balanced,local_only,Local-Only
1500,100,0.0063920548916211765,0.8095,0.8889742100250071,0.1905,1.597604963877654,5.9243199041063095,0.5057794480402812,0.005981017862854625,0.9767140599763574,0.017304922160787935,0.010956282005270341,1.6652753879115694,0.06117151313033197,train_tail100,balanced,Balanced,wo_dag,w/o DAG-Feature
1500,100,0.008427803388331035,0.968,0.9896984028467625,0.032,1.6988518437615983,3.5488857948756567,0.516075122529284,0.22062524117644344,0.7009724587288655,0.07840230009469097,0.013237896700389632,1.4819782109657922,0.06378520374124247,train_tail100,deep,Deep,full,Full-MAPPO
50,50,,0.912,,0.088,1.5298156967828858,4.676057739496191,0.3572333608380394,0.0706647192964541,0.922693509911505,0.0066417707920409,,,,baseline_eval_mean,deep,Deep,greedy,Greedy
50,50,,0.951,,0.049,1.773850329723747,0.1868529959226095,0.0,1.0,0.0,0.0,,,,baseline_eval_mean,deep,Deep,local_only,Local-Only
1500,100,0.006299618207849514,0.9030000000000001,0.9432257610119384,0.09700000000000003,1.8016406863864125,4.5027387231326035,0.5327314316593068,0.016423369665372806,0.9825846009775208,0.00099202935710629,0.010322374106598196,1.5476113215287528,0.06401401992638905,train_tail100,deep,Deep,wo_dag,w/o DAG-Feature
1500,100,0.011376758394762827,0.9455,0.9926646978423197,0.054500000000000014,1.7003270325081201,1.0283699831729245,0.4238374797256917,0.7768137385537394,0.2176676062694466,0.005518655176814026,0.01674180791010435,1.2514157370328904,0.11327512781322001,train_tail100,parallel,Parallel,full,Full-MAPPO
50,50,,0.863,,0.137,1.2896246101828048,7.083736398292341,0.4274053401361409,0.0727431708630898,0.9080451519257132,0.0192116772111968,,,,baseline_eval_mean,parallel,Parallel,greedy,Greedy
50,50,,0.853,,0.1469999999999999,1.5474341718731492,0.2056586091836224,0.0,1.0,0.0,0.0,,,,baseline_eval_mean,parallel,Parallel,local_only,Local-Only
1500,100,0.008546086298301763,0.9035000000000001,0.9530453692465143,0.09649999999999999,1.6319564695422861,7.271096445269558,0.4343125423758898,0.00046559457696267805,0.9989546821653594,0.000579723257677919,0.0067912228676722895,1.4781715955734254,0.03588608428929,train_tail100,parallel,Parallel,wo_dag,w/o DAG-Feature
