episode_seed,episode_steps,active_ratio,no_task_ratio,decision_events_per_vehicle_mean,decision_events_per_vehicle_p50,decision_events_per_vehicle_p90,ready_subtask_count_mean,ready_subtask_count_p50,ready_subtask_count_p90,ready_subtask_count_p95,inflight_subtask_count_mean,inflight_subtask_count_p95,avg_subtask_service_steps_mean,avg_subtask_service_steps_p50,avg_subtask_service_steps_p90,phase_comm_ratio,phase_compute_ratio,phase_wait_ratio,phase_finished_ratio,queue_len_vehicle_mean,queue_len_vehicle_p95,queue_len_rsu_mean,queue_len_rsu_p95,task_success_rate,deadline_miss_rate,illegal_count,assign_failed_count,run_tag,config_overrides
42000,94,0.21648936170212765,0.7835106382978724,20.35,20.0,24.0,5.627659574468085,6.0,11.0,12.699999999999989,1.1696808510638297,3.0,6.402948402948403,6.0,11.0,0.20212765957446807,0.9787234042553191,0.010638297872340425,0.010638297872340425,1.1505257332595462,3.0,0.34397163120567376,2.0,1.0,0.0,27,0,v1_patched_xxl,
42001,90,0.23,0.77,20.7,20.5,24.0,5.988888888888889,6.0,11.100000000000009,12.0,1.221111111111111,3.0,6.309178743961352,6.0,11.0,0.08888888888888889,0.9666666666666667,0.022222222222222223,0.011111111111111112,1.1784492588369442,3.0,0.44814814814814813,3.0,1.0,0.0,14,0,v1_patched_xxl,
42002,98,0.20612244897959184,0.7938775510204081,20.2,20.0,22.1,5.469387755102041,5.0,10.0,10.0,1.339795918367347,3.0,7.5,7.0,13.0,0.15306122448979592,0.9693877551020408,0.01020408163265306,0.0,1.3296471827277514,3.0,0.282312925170068,2.0,0.95,0.05,44,0,v1_patched_xxl,
42003,86,0.24883720930232558,0.7511627906976744,21.4,21.0,24.0,6.546511627906977,6.0,12.0,13.75,1.3453488372093023,3.0,6.406542056074766,6.0,11.0,0.13953488372093023,0.9767441860465116,0.011627906976744186,0.011627906976744186,1.307875894988067,3.0,0.4263565891472868,2.1499999999999773,1.0,0.0,18,0,v1_patched_xxl,
42004,84,0.24345238095238095,0.756547619047619,20.45,20.5,23.0,6.619047619047619,6.0,13.0,14.0,1.3089285714285714,3.0,6.376528117359413,6.0,11.0,0.2619047619047619,0.9761904761904762,0.011904761904761904,0.011904761904761904,1.2596273291925466,3.0,0.5595238095238095,5.0,1.0,0.0,36,0,v1_patched_xxl,
42005,92,0.22010869565217392,0.779891304347826,20.25,19.0,24.0,5.673913043478261,5.5,11.0,13.0,1.1842391304347826,3.0,6.380246913580247,6.0,11.0,0.15217391304347827,0.9891304347826086,0.0,0.010869565217391304,1.1621773288439956,3.0,0.34057971014492755,2.0,1.0,0.0,21,0,v1_patched_xxl,
42006,95,0.21736842105263157,0.7826315789473685,20.65,20.5,23.0,5.410526315789474,5.0,10.600000000000009,12.299999999999997,1.2373684210526317,3.0,6.6924939467312345,6.0,11.0,0.09473684210526316,0.968421052631579,0.021052631578947368,0.010526315789473684,1.2032345013477088,3.0,0.3824561403508772,2.0,1.0,0.0,29,0,v1_patched_xxl,
42007,96,0.22083333333333333,0.7791666666666667,21.2,21.0,24.0,5.791666666666667,5.0,10.5,13.0,1.3666666666666667,3.0,7.188679245283019,7.0,12.0,0.15625,0.9895833333333334,0.0,0.010416666666666666,1.3651050080775444,3.0,0.25,1.0,1.0,0.0,36,0,v1_patched_xxl,
42008,86,0.2302325581395349,0.7697674418604651,19.8,19.5,21.200000000000003,6.011627906976744,6.0,11.0,12.0,1.297093023255814,3.0,6.633838383838384,6.0,12.0,0.13953488372093023,0.9883720930232558,0.0,0.011627906976744186,1.2588376273217496,3.0,0.45348837209302323,3.0,1.0,0.0,26,0,v1_patched_xxl,
42009,86,0.24476744186046512,0.7552325581395349,21.05,21.5,23.0,6.488372093023256,6.0,13.0,14.0,1.3034883720930233,3.0,6.32541567695962,6.0,11.0,0.23255813953488372,0.9767441860465116,0.011627906976744186,0.011627906976744186,1.2692075015124018,3.0,0.4689922480620155,3.0,1.0,0.0,26,0,v1_patched_xxl,
42010,101,0.20445544554455444,0.7955445544554456,20.65,20.5,23.1,5.326732673267327,5.0,10.0,11.0,1.433168316831683,3.0,7.992718446601942,7.0,14.0,0.10891089108910891,0.9900990099009901,0.009900990099009901,0.0,1.4254992319508448,3.0,0.3201320132013201,2.0,0.95,0.05,51,0,v1_patched_xxl,
42011,114,0.1850877192982456,0.8149122807017544,21.1,21.0,24.0,4.701754385964913,5.0,10.0,11.0,1.1267543859649123,3.0,7.087677725118484,7.0,12.900000000000034,0.10526315789473684,0.9824561403508771,0.008771929824561403,0.008771929824561403,1.114078768673608,3.0,0.2807017543859649,2.0,1.0,0.0,30,0,v1_patched_xxl,
42012,93,0.221505376344086,0.7784946236559139,20.6,20.0,23.1,5.623655913978495,6.0,10.0,12.399999999999991,1.3161290322580645,3.0,6.941747572815534,6.0,12.0,0.0967741935483871,0.978494623655914,0.010752688172043012,0.010752688172043012,1.284046692607004,3.0,0.46236559139784944,3.0,1.0,0.0,22,0,v1_patched_xxl,
42013,102,0.20245098039215687,0.7975490196078432,20.65,20.0,24.0,5.245098039215686,5.0,10.0,11.0,1.2299019607843138,3.0,7.075060532687651,7.0,12.0,0.09803921568627451,0.9803921568627451,0.00980392156862745,0.00980392156862745,1.2246963562753037,3.0,0.25163398692810457,1.0,1.0,0.0,33,0,v1_patched_xxl,
