episode,steps,elapsed_sec,reward_mode,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,2.3556969165802,delta_cft,42,False,True,time_limit,1.0,20.000000000000014,20.208951950073242,,17,True,6.147013632875797,2.1021213741959115,623294950.6880648,17,17,81,-0.991259753704071,-0.9999990463256836,-0.9739661812782288,-1.0613659620285034,-0.32336539030075073,0.9924136382100059,-0.0992248058729591,-0.09719109535217277,0.00033115896082760836,0.0,7.837240536283827e-05,20.000000000000014,0.0007751941270409139,4.9209594727983585e-05,0.21401328660405547,0.0,0.0,0.37037037037037035,1.0,0.0,0.0,0.5333333333333333,0.43333333333333335,0.03333333333333333,0.5333333333333333,0.43333333333333335,0.03333333333333333,0.44119964924951394,0.8581940531730652,0.5677573962344064,0.010134295595344156,0.13350694444444444,-0.0026096433142407073,13.584310029778216,6.778190197547277,16.986735824081634,0.5677573962344064,-0.5677573962344064,1.0,1.0,0.9937807486630993,12.714298319327751,161416161.35115418,1.0,0.0,0.04341073782327472,0.014583671455633659,0.05799440927939008,True,-1.0,0.21401328660405547,0.0
2,200,2.1029067039489746,delta_cft,42,False,True,time_limit,1.0,20.000000000000014,20.17950299580892,,15,True,6.548148747998765,2.3666425408461325,602240245.6834712,15,15,76,-0.9890545606613159,-1.0,-0.9635093212127686,-1.0000064373016357,-0.44536322355270386,0.9897423851121798,-0.0989439398342002,-0.09649468935452923,0.0006059735404094427,0.0,0.00011258904035167968,20.000000000000014,0.001056060165799798,0.0035053106454707716,0.17849700613258132,0.2,0.2,0.47368421052631576,0.8,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0,0.4166666666666667,0.5833333333333334,0.0,0.5553654887610011,0.807588517665863,0.5366670962423086,0.007416558684781194,0.0517578125,0.0007173134828917683,6.3463043630123135,3.163136142492294,21.533810268342496,0.5366670962423086,-0.5366670962423086,1.0,1.0,0.9818311688311658,11.335476190476161,161551805.41489,1.0,0.0,0.054830706452149845,0.013666366785712186,0.06849707323946948,True,-1.0,0.17849700613258132,0.0
3,200,2.058231830596924,delta_cft,42,False,True,time_limit,1.0,20.000000000000014,20.19075584411621,,14,True,6.531843508650103,1.888790697767504,594551276.0483711,14,14,69,-0.9946185350418091,-1.0000020265579224,-0.9999752044677734,-1.0000324249267578,-0.5102274417877197,0.9947241192756853,-0.09945663597073275,-0.0999975204467777,0.0003155191367138325,0.0,7.435662031811167e-05,20.000000000000014,0.0005433640292672655,2.4795532223009786e-06,0.18896898423183361,0.0,0.0,0.3188405797101449,0.9285714285714286,0.0,0.0,0.6363636363636364,0.36363636363636365,0.0,0.6363636363636364,0.36363636363636365,0.0,0.43101695958863606,0.751692533493042,0.5433710166498235,0.006892158107611498,0.0962171052631579,-0.0006938192650283638,6.6197692681300015,3.298323408553475,16.596774302815135,0.5433710166498235,-0.5433710166498235,1.0,1.0,0.9945625208125182,11.24592948717946,172615789.9367713,1.0,0.0,0.0436471405973118,0.013765377970785926,0.057412518568284485,True,-1.0,0.18896898423183361,0.0
4,200,2.2167999744415283,delta_cft,42,False,True,time_limit,1.0,20.000000000000014,20.25336456298828,,15,True,6.825815676908148,2.295521707630751,642195833.7073803,15,15,75,-0.9953145384788513,-1.0000014305114746,-0.9999656677246094,-1.0000324249267578,-0.6487062573432922,0.995801056177053,-0.09957487629521945,-0.0999965667724613,0.00010458644971521257,0.0,2.5449231711256515e-05,20.000000000000014,0.0004251237047805544,3.4332275387072286e-06,0.2573481296608838,0.0,0.0,0.25333333333333335,1.0,0.0,0.0,0.7894736842105263,0.21052631578947367,0.0,0.7894736842105263,0.21052631578947367,0.0,0.49129379305400345,0.8074101209640503,0.5516608305448709,0.005528901694180054,0.06804142441860465,-3.0077387427174767e-05,7.180627651685892,3.5792505429234613,15.972628009873768,0.5516608305448709,-0.5516608305448709,1.0,1.0,0.9608831168831183,11.352996336996325,166423301.91300103,1.0,0.0,0.041941571842132895,0.014423128075417839,0.056364699919229384,True,-1.0,0.2573481296608838,0.0
5,200,2.392113208770752,delta_cft,42,False,True,time_limit,1.0,20.000000000000014,20.230806350708008,,16,True,6.543321414914915,2.2872366901100536,610039126.4191861,16,16,83,-0.9926357865333557,-1.000000238418579,-0.9721449017524719,-1.0000419616699219,-0.4521014392375946,0.9935491949529595,-0.09934255344687366,-0.09775861501693754,0.000247320968443682,0.0,5.315294155366792e-05,20.000000000000014,0.0006574465531263371,3.4332275387072286e-06,0.2378589853919798,0.0,0.0,0.3253012048192771,1.0,0.0,0.0,0.5925925925925926,0.4074074074074074,0.0,0.5925925925925926,0.4074074074074074,0.0,0.5771709459799307,0.8288393616676331,0.5557962554422292,0.003528620259285989,0.0654296875,4.4791027903556824e-05,7.194484433667227,3.586171066557819,14.58688594807278,0.5557962554422292,-0.5557962554422292,1.0,1.0,0.9926856060606082,12.772218864468858,163045631.2693354,1.0,0.0,0.04445276256454097,0.013302672926517293,0.05775543549219599,True,-1.0,0.2378589853919798,0.0
