episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,CP-EFT,-5.349614320114581,-1069.9228640229162,0.3,0.3,0.6153846153846154,0.8082191780821918,0.93925,0.04,0.02075,0.93925,0.04,0.02075,0.007779453357694981,0.12805684539415607,0.9734379680822216,20.000000000000014,23.19406843185425,8.066666666666654,8.066666666666654,10.32499999999998,0.7,1.0,0.0,0.92075,0.0,5.926720859861234e-06,3.0553760476531577e-12,1.85098407712303e-08,5.926720859861234e-06,1.85098407712303e-08,0.7144201397895813,0.5,0.08474930375814438,,,,,0.16774919629096985,0.5,243,0.0,0.0,0.0,228,42,0.18421052631578946,42,0.1315,1.715
2,CP-EFT,-2.273972310110041,-454.79446202200813,0.4,0.4,0.6627634660421545,0.7941176470588235,0.939,0.04025,0.02075,0.939,0.04025,0.02075,0.011858879383706862,0.19440785874929284,1.0,20.000000000000014,22.575051498413092,8.737499999999985,8.737499999999985,12.294999999999972,0.6,1.0,0.0,0.91725,0.0,1.8439649238644051e-06,0.0,1.1764626772770015e-10,1.8439649238644051e-06,1.1764626772770015e-10,0.7560663819313049,0.5,0.06867089867591858,,,,,0.15988312661647797,0.5,243,0.0,0.0,0.0,229,32,0.13973799126637554,32,0.1135,1.77
3,CP-EFT,-4.319009385862106,-863.8018771724213,0.25,0.25,0.5799522673031027,0.7894736842105263,0.95325,0.031,0.01575,0.95325,0.031,0.01575,0.00441585245689562,0.09445673704589559,1.0,20.000000000000014,23.31527557373047,6.459999999999992,6.459999999999992,9.67999999999998,0.75,1.0,0.0,0.93125,0.0,6.6299735408392735e-06,0.0,3.2838245260791155e-06,6.6299735408392735e-06,3.2838245260791155e-06,0.7658374905586243,0.5,0.06762893497943878,,,,,0.19739387929439545,0.5,187,0.0,0.0,0.0,175,15,0.08571428571428572,15,0.105,1.4
4,CP-EFT,-8.20913917263571,-1641.8278345271422,0.1,0.1,0.49875311720698257,0.7377049180327869,0.9565,0.02525,0.01825,0.9565,0.02525,0.01825,0.006792038574882535,0.15613881781339164,1.0,20.000000000000014,24.13521327972412,7.899999999999988,7.899999999999988,8.259999999999987,0.9,1.0,0.0,0.93875,0.0,1.0392546755610965e-05,0.0,0.00019952624279540032,1.0392546755610965e-05,0.00019952624279540032,0.7078068256378174,0.5,0.08641481399536133,,,,,0.21656900644302368,0.5,172,0.0,0.0,0.0,156,22,0.14102564102564102,22,0.10925,1.35
5,CP-EFT,-3.486079389013865,-697.215877802773,0.3,0.3,0.5687203791469194,0.8,0.9385,0.03475,0.02675,0.9385,0.03475,0.02675,0.01222944819227311,0.19885281613452208,1.0,20.000000000000014,23.648737525939946,7.266666666666656,7.266666666666656,8.149999999999988,0.7,1.0,0.0,0.92125,0.0,1.690380486252252e-06,0.0,2.3234800194948946e-10,1.690380486252252e-06,2.3234800194948946e-10,0.6800035238265991,0.34333959221839905,0.10761983692646027,,,,,0.1791819930076599,0.5,245,0.0,0.0,0.0,228,53,0.2324561403508772,53,0.1255,1.725
6,CP-EFT,-6.424611241264211,-1284.922248252842,0.15,0.15,0.5253012048192771,0.7068965517241379,0.9495,0.03075,0.01975,0.9495,0.03075,0.01975,0.008573913159665925,0.16978045860724603,1.0,20.000000000000014,23.627263641357423,7.133333333333323,7.133333333333323,9.049999999999983,0.85,1.0,0.0,0.92675,0.0,6.200817097123945e-06,0.0,1.1672743767121574e-06,6.200817097123945e-06,1.1672743767121574e-06,0.6318626999855042,0.4724999964237213,0.11987323313951492,,,,,0.19051212072372437,0.5,202,0.0,0.0,0.0,183,53,0.2896174863387978,53,0.1165,1.505
7,CP-EFT,-2.290442516879234,-458.0885033758468,0.35,0.35,0.5777262180974478,0.7115384615384616,0.944,0.03875,0.01725,0.944,0.03875,0.01725,0.006528973821657496,0.11658881824388387,1.0,20.000000000000014,23.56865911483765,7.84285714285713,7.84285714285713,11.109999999999976,0.65,1.0,0.0,0.92275,0.0,4.1908269849955104e-06,0.0,1.2050955788822648e-09,4.1908269849955104e-06,1.2050955788822648e-09,0.7166724801063538,0.5,0.08295875042676926,,,,,0.16768060624599457,0.5,222,0.0,0.0,0.0,207,43,0.20772946859903382,43,0.12125,1.66
8,CP-EFT,-2.6489067620820155,-529.7813524164031,0.1,0.1,0.46731234866828086,0.6727272727272727,0.9515,0.0315,0.017,0.9515,0.0315,0.017,0.007751245474150766,0.1598194943123869,1.0,20.000000000000014,24.30997724533081,5.299999999999997,5.299999999999997,6.109999999999994,0.9,1.0,0.0,0.93325,0.0,1.394393848386244e-06,0.0,3.478019294789192e-08,1.394393848386244e-06,3.478019294789192e-08,0.6384933590888977,0.5,0.11444168537855148,,,,,0.20490215718746185,0.5,194,0.0,0.0,0.0,175,49,0.28,49,0.107,1.595
9,CP-EFT,-3.8887592719276274,-777.7518543855255,0.3,0.3,0.5807962529274004,0.8333333333333334,0.93875,0.034,0.02725,0.93875,0.034,0.02725,0.005663588454218788,0.0924667502729598,0.9226399254264241,20.000000000000014,22.534720230102543,8.583333333333318,8.583333333333318,9.599999999999982,0.7,1.0,0.0,0.91775,0.0,9.259421858587302e-06,0.0,5.043424152972875e-06,9.259421858587302e-06,5.043424152972875e-06,0.6455144286155701,0.5,0.11145072430372238,,,,,0.1566130369901657,0.5,244,0.0,0.0,0.0,231,64,0.27705627705627706,64,0.1335,1.56
10,CP-EFT,-2.115520053552641,-423.1040107105282,0.25,0.25,0.667458432304038,0.8072289156626506,0.927,0.04175,0.03125,0.927,0.04175,0.03125,0.01248579833392119,0.1710383333413862,1.0,20.000000000000014,23.508763027191165,6.999999999999991,6.999999999999991,8.119999999999987,0.75,1.0,0.0,0.90675,0.0,1.0756801884781453e-06,0.0,1.4627852262805163e-09,1.0756801884781453e-06,1.4627852262805163e-09,0.6643757224082947,0.5,0.10763242095708847,,,,,0.16628430783748627,0.5,291,0.0,0.0,0.0,275,71,0.2581818181818182,71,0.213,2.32
11,CP-EFT,-5.010473095351365,-1002.094619070273,0.2,0.2,0.5776699029126213,0.6851851851851852,0.9475,0.03475,0.01775,0.9475,0.03475,0.01775,0.0062128621350965516,0.11834023114469623,1.0,20.000000000000014,22.91160173416138,5.649999999999995,5.649999999999995,6.354999999999993,0.8,1.0,0.0,0.92675,0.0,4.863286449108273e-06,0.0,2.23595737480764e-08,4.863286449108273e-06,2.23595737480764e-08,0.7183452844619751,0.5,0.08664706349372864,,,,,0.17457282543182373,0.5,210,0.0,0.0,0.0,192,34,0.17708333333333334,34,0.1,1.4
12,CP-EFT,-1.954117797502881,-390.8235595005762,0.3,0.3,0.6039119804400978,0.8285714285714286,0.946,0.0325,0.0215,0.946,0.0325,0.0215,0.00798378641320081,0.14784789654075578,0.9287509312061815,20.000000000000014,23.28146772384644,6.966666666666659,6.966666666666659,9.64999999999998,0.7,1.0,0.0,0.923,0.0,2.1661694518115837e-06,0.0,1.446409103600388e-10,2.1661694518115837e-06,1.446409103600388e-10,0.6609966158866882,0.5,0.10699547082185745,,,,,0.18480822443962097,0.5,216,0.0,0.0,0.0,204,46,0.22549019607843138,46,0.12725,1.465
13,CP-EFT,-3.4198716343244464,-533.4999749546137,0.1,0.1,0.6238317757009346,0.8555555555555555,0.9134615384615384,0.05032051282051282,0.03621794871794872,0.9134615384615384,0.05032051282051282,0.03621794871794872,0.00838018582967666,0.0968377029207081,1.0,15.59999999999996,18.964147100448606,7.39999999999999,7.39999999999999,8.119999999999987,0.9,0.0,0.0,0.882051282051282,0.0,2.0701754692709073e-06,0.0,2.358085060549797e-09,2.0701754692709073e-06,2.358085060549797e-09,0.6306578516960144,0.4164634048938751,0.11943123489618301,,,,,0.16047561168670654,0.5,270,0.0,0.0,0.0,255,82,0.3215686274509804,82,0.1996794871794872,2.7115384615384617
