episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
11,EFT,-1.8007517092262615,-360.1503418452523,0.15,0.15,0.44660194174757284,0.6944444444444444,0.949,0.0285,0.0225,0.949,0.0285,0.0225,0.010085685686016298,0.19775854286306466,1.0,20.000000000000014,23.90446662902832,6.933333333333326,6.933333333333326,10.629999999999978,0.85,1.0,0.0,0.9405,0.0,2.854412514352589e-06,0.0,1.979378050354086e-10,2.854412514352589e-06,1.979378050354086e-10,0.677903950214386,0.5,0.10275473445653915,,,,,0.23547455668449402,0.5,203,0.0,0.0,0.0,181,30,0.16574585635359115,30,0.085,1.61
12,EFT,-4.477832492878611,-895.5664985757222,0.2,0.2,0.5550122249388753,0.7205882352941176,0.94275,0.03775,0.0195,0.94275,0.03775,0.0195,0.007171304554776104,0.1252629616554778,1.0,20.000000000000014,26.605991935729982,8.899999999999984,8.899999999999984,12.119999999999973,0.8,1.0,0.0,0.93125,0.0,3.484233729977859e-06,5.6099083576210615e-14,2.3781177915793705e-08,3.484233729977859e-06,2.3781177915793705e-08,0.7220922112464905,0.5,0.08165334165096283,,,,,0.18891975283622742,0.5,226,0.0,0.0,0.0,205,27,0.13170731707317074,27,0.07625,1.64
13,EFT,-3.395616011543439,-679.1232023086878,0.3,0.3,0.5654205607476636,0.7590361445783133,0.93675,0.03525,0.028,0.93675,0.03525,0.028,0.01129205913883139,0.17853057927006147,1.0,20.000000000000014,23.61256084442139,7.766666666666655,7.766666666666655,9.599999999999982,0.7,1.0,0.0,0.92375,0.0,3.3650103432592005e-06,0.0,5.646430545347414e-10,3.3650103432592005e-06,5.646430545347414e-10,0.6857462525367737,0.5,0.10018084943294525,,,,,0.19524826109409332,0.5,253,0.0,0.0,0.0,233,43,0.18454935622317598,43,0.119,1.765
14,EFT,-2.6368351394275265,-527.3670278855053,0.25,0.25,0.636150234741784,0.87,0.91525,0.052,0.03275,0.91525,0.052,0.03275,0.013618339538362742,0.16068837213407366,1.0,20.000000000000014,23.50316534042359,9.633333333333313,9.633333333333313,11.599999999999975,0.75,1.0,0.0,0.90375,0.0,7.249054306157632e-06,0.0,3.882124399723352e-09,7.249054306157632e-06,3.882124399723352e-09,0.625835120677948,0.5,0.12122643738985062,,,,,0.15299858152866364,0.5,336,0.0,0.0,0.0,321,97,0.30218068535825543,97,0.16275,2.51
15,EFT,-1.73720335663331,-347.440671326662,0.3,0.3,0.5714285714285714,0.8085106382978723,0.9325,0.04175,0.02575,0.9325,0.04175,0.02575,0.010573910102519563,0.15665052003732685,1.0,20.000000000000014,23.891172313690188,7.516666666666656,7.516666666666656,10.799999999999978,0.7,1.0,0.0,0.9215,0.0,1.7309927216047072e-06,0.0,1.2686737771439027e-10,1.7309927216047072e-06,1.2686737771439027e-10,0.6485460996627808,0.5,0.10810666531324387,,,,,0.17269431054592133,0.5,270,0.0,0.0,0.0,249,52,0.20883534136546184,52,0.1015,1.89
16,EFT,-3.6771269388651806,-735.4253877730362,0.2,0.2,0.4843373493975904,0.7052631578947368,0.94175,0.031,0.02725,0.94175,0.031,0.02725,0.014309588406239894,0.24565817006420423,1.0,20.000000000000014,24.63870840072632,6.224999999999994,6.224999999999994,7.019999999999991,0.8,1.0,0.0,0.933,0.0,2.8798303901567124e-06,5.419036530271426e-13,6.810422781278191e-10,2.8798303901567124e-06,6.810422781278191e-10,0.6520401239395142,0.48027583956718445,0.11478327214717865,,,,,0.21686352789402008,0.5,232,0.0,0.0,0.0,204,38,0.18627450980392157,38,0.118,1.665
17,EFT,-4.095056499620801,-819.0112999241603,0.25,0.25,0.569377990430622,0.782051282051282,0.935,0.038,0.027,0.935,0.038,0.027,0.009503503789639631,0.14620775060984045,1.0,20.000000000000014,24.946126461029056,7.23999999999999,7.23999999999999,8.859999999999985,0.75,1.0,0.0,0.926,0.0,1.0115641089214478e-05,0.0,2.4649091301398585e-06,1.0115641089214478e-05,2.4649091301398585e-06,0.71780925989151,0.5,0.08853091299533844,,,,,0.18282292783260345,0.5,256,0.0,0.0,0.0,238,39,0.1638655462184874,39,0.1045,1.83
18,EFT,-2.8913212017889527,-578.2642403577905,0.2,0.2,0.43309002433090027,0.589041095890411,0.9275,0.0435,0.029,0.9275,0.0435,0.029,0.013277985924623899,0.18314463344308823,1.0,20.000000000000014,24.39223165512085,8.499999999999986,8.499999999999986,13.214999999999968,0.8,1.0,0.0,0.91725,0.0,5.074426098872209e-06,3.253388877744179e-12,3.9882877445052145e-07,5.074426098872209e-06,3.9882877445052145e-07,0.5087708234786987,0.29411765933036804,0.18194645643234253,,,,,0.17167659103870392,0.5,281,0.0,0.0,0.0,251,121,0.4820717131474104,121,0.1175,1.955
19,EFT,-1.874315551628269,-374.8631103256538,0.25,0.25,0.5643564356435643,0.7945205479452054,0.932,0.042,0.026,0.932,0.042,0.026,0.007880378807573757,0.11588792364079052,1.0,20.000000000000014,22.761642551422124,6.619999999999993,6.619999999999993,8.159999999999988,0.75,1.0,0.0,0.92,0.0,2.659656274772715e-06,0.0,3.191127639912139e-10,2.659656274772715e-06,3.191127639912139e-10,0.6283581852912903,0.5,0.12077847123146057,,,,,0.1649971306324005,0.5,265,0.0,0.0,0.0,247,73,0.29554655870445345,73,0.1045,1.995
20,EFT,-4.433727667794239,-886.7455335588477,0.2,0.2,0.48201438848920863,0.65,0.9385,0.038,0.0235,0.9385,0.038,0.0235,0.011034443049720326,0.17942183820683458,1.0,20.000000000000014,23.89443283081055,9.324999999999983,9.324999999999983,12.129999999999972,0.8,1.0,0.0,0.9275,0.0,5.150891865923768e-06,0.0,5.920767431888407e-09,5.150891865923768e-06,5.920767431888407e-09,0.6424365043640137,0.4285714328289032,0.1146431714296341,,,,,0.18472835421562195,0.5,245,0.0,0.0,0.0,223,66,0.29596412556053814,66,0.0825,1.55
