episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
11,Random,-10.372456949600947,-2074.4913899201892,0.0,0.0,0.10679611650485436,0.46774193548387094,0.0875,0.122,0.7905,0.0875,0.122,0.7905,0.6324069878735692,0.5971583428751447,0.9558061051965724,20.000000000000014,24.729000091552734,0.0,0.0,0.0,1.0,1.0,0.0,0.9755,0.0,7.639245268364903e-06,1.9327751205056032e-11,4.4819083996117115e-05,7.639245268364903e-06,4.4819083996117115e-05,0.5192640423774719,0.3333333432674408,0.17085039615631104,,,,,0.40219154953956604,0.5,88,0.0,0.0,0.0,55,17,0.3090909090909091,17,0.05575,0.08
12,Random,-7.636311423009036,-1527.262284601807,0.0,0.0,0.1100244498777506,0.5072463768115942,0.0685,0.1175,0.814,0.0685,0.1175,0.814,0.6260345416426751,0.5985341295144121,0.9583801075215231,20.000000000000014,25.473636627197266,0.0,0.0,0.0,1.0,1.0,0.0,0.97575,0.0,3.5629363992484286e-06,1.475620146906831e-11,4.7449439932734094e-08,3.5629363992484286e-06,4.7449439932734094e-08,0.5637101531028748,0.5,0.14684337377548218,,,,,0.40834641456604004,0.5,91,0.0,0.0,0.0,57,14,0.24561403508771928,14,0.052,0.06
13,Random,-8.690837818819304,-1738.167563763861,0.0,0.0,0.10981308411214953,0.46153846153846156,0.07275,0.12925,0.798,0.07275,0.12925,0.798,0.6289175209183452,0.5998032040100784,0.9600793021369876,20.000000000000014,25.126264572143555,0.0,0.0,0.0,1.0,1.0,0.0,0.977,0.0,4.022569555672817e-06,1.5536402026006257e-11,4.517855268204585e-05,4.022569555672817e-06,4.517855268204585e-05,0.5604990720748901,0.5,0.15013942122459412,,,,,0.4163636267185211,0.5,85,0.0,0.0,0.0,50,7,0.14,7,0.05575,0.08
14,Random,-8.334268592124895,-1666.853718424979,0.0,0.0,0.10328638497652583,0.463768115942029,0.077,0.121,0.802,0.077,0.121,0.802,0.6245642597274444,0.5932440517090405,0.9562734529817233,20.000000000000014,25.613643646240234,0.0,0.0,0.0,1.0,1.0,0.0,0.97625,0.0,8.511329724569805e-06,1.4257452857213693e-11,0.00010801872849697247,8.511329724569805e-06,0.00010801872849697247,0.5287878513336182,0.44999995827674866,0.16635598242282867,,,,,0.41874998807907104,0.5,88,0.0,0.0,0.0,51,12,0.23529411764705882,12,0.077,0.07
15,Random,-6.6151054481721765,-1323.0210896344354,0.0,0.0,0.1380952380952381,0.47368421052631576,0.074,0.1265,0.7995,0.074,0.1265,0.7995,0.627256901058152,0.5974696555703585,0.9588202090156964,20.000000000000014,24.57053565979004,0.0,0.0,0.0,1.0,1.0,0.0,0.97,0.0,6.263480372581398e-06,5.859627019710878e-12,8.05988065621932e-07,6.263480372581398e-06,8.05988065621932e-07,0.5318578481674194,0.3333333432674408,0.1654036045074463,,,,,0.3827633559703827,0.5,110,0.0,0.0,0.0,69,18,0.2608695652173913,18,0.08775,0.13
16,Random,-7.30437194198312,-1460.874388396624,0.0,0.0,0.12771084337349398,0.5,0.06725,0.11825,0.8145,0.06725,0.11825,0.8145,0.6270295689857251,0.6001389107324862,0.9620994777168705,20.000000000000014,25.318836212158203,0.0,0.0,0.0,1.0,1.0,0.0,0.975,0.0,6.714411028951872e-06,1.4902863665344768e-11,6.262987461980174e-09,6.714411028951872e-06,6.262987461980174e-09,0.5678440928459167,0.5,0.14607933163642883,,,,,0.41310828924179077,0.5,91,0.0,0.0,0.0,54,8,0.14814814814814814,8,0.058,0.085
17,Random,-7.257096255928907,-1451.4192511857814,0.0,0.0,0.12200956937799043,0.5,0.08,0.13,0.79,0.08,0.13,0.79,0.6255850226114934,0.5930271984907548,0.9545405263157817,20.000000000000014,25.09011459350586,0.0,0.0,0.0,1.0,1.0,0.0,0.97225,0.0,1.0752195521490648e-05,5.828479192337976e-12,4.74326079711318e-05,1.0752195521490648e-05,4.74326079711318e-05,0.5646787285804749,0.5,0.14794781804084778,,,,,0.3882107734680176,0.5,103,0.0,0.0,0.0,66,19,0.2878787878787879,19,0.066,0.105
18,Random,-6.551817228774456,-1310.3634457548912,0.0,0.0,0.09732360097323602,0.3559322033898305,0.07425,0.11475,0.811,0.07425,0.11475,0.811,0.6245159307559096,0.594400141243218,0.9574804994953321,20.000000000000014,25.214881896972656,0.0,0.0,0.0,1.0,1.0,0.0,0.97725,0.0,5.705354851670563e-06,1.1853329082156527e-11,1.3308409734236193e-06,5.705354851670563e-06,1.3308409734236193e-06,0.5374847054481506,0.5,0.16066575050354004,,,,,0.4208486080169678,0.5,78,0.0,0.0,0.0,40,10,0.25,10,0.0325,0.07
19,Random,-7.121364985982329,-1424.272997196466,0.0,0.0,0.14603960396039603,0.5,0.07125,0.1175,0.81125,0.07125,0.1175,0.81125,0.6323970756499429,0.6041960437684428,0.9577403292295591,20.000000000000014,24.08392333984375,0.0,0.0,0.0,1.0,1.0,0.0,0.9695,0.0,6.728430435032351e-06,7.366596915803214e-12,1.4736436924067675e-06,6.728430435032351e-06,1.4736436924067675e-06,0.5230394601821899,0.4444444477558136,0.167714923620224,,,,,0.3811475336551666,0.5,110,0.0,0.0,0.0,70,21,0.3,21,0.048,0.105
20,Random,-3.8800314785270857,-776.0062957054172,0.0,0.0,0.15347721822541965,0.5679012345679012,0.0815,0.1285,0.79,0.0815,0.1285,0.79,0.6313743082781876,0.5986655506567101,0.9594884237639508,20.000000000000014,24.471271514892578,0.0,0.0,0.0,1.0,1.0,0.0,0.96875,0.0,1.550247702652996e-06,6.617857303825581e-13,5.079063836177511e-10,1.550247702652996e-06,5.079063836177511e-10,0.54548180103302,0.5,0.15794506669044495,,,,,0.38441240787506104,0.5,114,0.0,0.0,0.0,79,21,0.26582278481012656,21,0.066,0.085
