window,ep_start,ep_end,n,task_success_rate_mean,deadline_miss_rate_mean,decision_frac_local_mean,decision_frac_rsu_mean,decision_frac_v2v_mean,power_ratio_mean,I_caused_p95_nonzero_ratio,trust_failure_rate_mean
first100,1,100,100,0.10566666666666663,0.8846666666666668,0.20597133783749158,0.7095978290636247,0.08443083309888362,0.4994247795041325,0.01,0.21110805475238636
mid201_300,201,300,100,0.22500000000000003,0.7733333333333334,0.462625331248468,0.5091071386107852,0.028267530140746792,0.5114735342396318,0.0,0.22378513949676573
last100,501,600,100,0.09699999999999996,0.9030000000000001,0.19846581136173141,0.7783361137048728,0.023198074933396044,0.5186028195827257,0.0,0.2289648490331465
