component,abs_share_p50_over_ep,abs_share_p95_over_ep,abs_share_mean_over_ep
r_time,0.27911153686438,0.3573711128314039,0.2701522047173124
r_energy,2.860714031693344e-07,5.86164816913807e-07,3.0362262762995494e-07
r_interf,0.0,1.0845642196027763e-09,2.687780499099445e-07
r_risk,0.0224380048657467,0.048855357904999785,0.024722258747242303
r_illegal,0.0,0.0,0.01239634834915587
r_term,0.5278958612550537,0.7533552737045119,0.5307379955746071
r_pbrs,0.1555392177757728,0.2899014471288682,0.1619906202110047
