component,abs_mean_p50_over_ep,abs_mean_p95_over_ep,abs_mean_mean_over_ep,mean_nonzero_count
r_time,0.01087692231277025,0.012038414342342561,0.010917338135030204,2128.75
r_energy,1.2057603137676871e-08,2.190506044567952e-08,1.211899780413778e-08,60.185
r_interf,0.0,3.7339830098869954e-11,8.805570146724066e-09,3.901666666666667
r_risk,0.0009143283208970761,0.0017264605346715982,0.0009825365750207795,246.35
r_illegal,0.0,0.0,0.0011875294209927438,0.07
r_term,0.020304945574381044,0.04823633257469197,0.023865231975241406,30.14
r_pbrs,0.006223145281449455,0.009308307854669634,0.0063646558354464875,2128.75
r_step,0.01185276173165366,0.01346953134024184,0.013087425055611676,2128.75
