policy,episodes,reward_mean_last100,task_sr_last100,subtask_sr_last100,deadline_miss_last100,mean_cft_est_last100,ratio_local_last100,ratio_rsu_last100,ratio_v2v_last100
CP-EFT,1500,-2.780921249215772,0.1696666666666666,0.5125054515863995,0.8303333333333335,23.96280328845978,0.5956025163398693,0.2882147821350763,0.11618270152505442
EFT,1500,-2.754893805819131,0.18799999999999994,0.5051471595565306,0.8119999999999998,23.989843851725258,0.9380699375780276,0.032275856315968646,0.02965420610600383
Greedy,1500,-1.7092286378065957,0.27099999999999996,0.7408486866838253,0.7289999999999998,15.366683017476388,0.0,1.0,0.0
Local-Only,1500,-2.0415342139346904,0.7036666666666666,0.9244088410167518,0.29633333333333334,16.301896517372107,1.0,0.0,0.0
Random,1500,-4.205813365943811,0.001,0.12708897955224446,0.9990000000000001,25.19478214263916,0.059553333333333305,0.10660166666666664,0.8338449999999998
Static,1500,-1.775927337670047,0.3503333333333332,0.7663492084132987,0.6496666666666665,16.07754980926512,0.2105275959932869,0.789472404006713,0.0
