episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,termination_reason_raw,termination_reason_bucket,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,r_time,r_prog,r_interf,r_risk,r_illegal,r_pbrs,r_term,r_step,r_margin,r_margin_raw,r_margin_norm,r_total,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,abs_ratio_r_pbrs,abs_ratio_r_term,abs_ratio_r_margin,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,uncertainty_selected_mean,uncertainty_selected_p90,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,risk_penalty_mean,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,margin_pre_mean,margin_post_mean,r_margin_abs_mean,r_prog_abs_mean,r_margin_nonzero_rate,margin_valid_count,margin_skip_count,reward_clip_hit_count,reward_clip_hit_rate,abs_ratio_basis,r_prog_on_task_mean,r_margin_on_task_mean,r_time_on_task_mean,r_prog_on_task_abs_mean,r_margin_on_task_abs_mean,r_time_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_margin,abs_ratio_on_task_r_time,abs_ratio_on_task_r_term,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,v2v_link_break_rate,top_illegal_reason,top_illegal_reason_count,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,actor_update_active_frac,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,mode_aux_loss,mode_aux_acc,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,best_mode_compare_rate,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,oracle_match_rate,oracle_match_eps_abs_rate,oracle_match_eps_rel_rate,action_regret_mean,action_regret_p50,action_regret_p95,oracle_match_rate_on_task,action_regret_mean_on_task,target_match_within_mode_rate,target_regret_within_mode_mean,oracle_local_chosen_local_rate,oracle_local_chosen_rsu_rate,oracle_local_chosen_v2v_rate,oracle_rsu_chosen_local_rate,oracle_rsu_chosen_rsu_rate,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_local_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,oracle_v2v_chosen_rsu_count,oracle_v2v_chosen_rsu_adv_mean,oracle_v2v_chosen_rsu_ret_mean,oracle_v2v_chosen_rsu_rew_mean,oracle_v2v_chosen_v2v_count,oracle_v2v_chosen_v2v_adv_mean,oracle_v2v_chosen_v2v_ret_mean,oracle_v2v_chosen_v2v_rew_mean,oracle_rsu_chosen_rsu_count,oracle_rsu_chosen_rsu_adv_mean,oracle_rsu_chosen_rsu_ret_mean,oracle_rsu_chosen_rsu_rew_mean,oracle_rsu_chosen_v2v_count,oracle_rsu_chosen_v2v_adv_mean,oracle_rsu_chosen_v2v_ret_mean,oracle_rsu_chosen_v2v_rew_mean,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,13.458125352859497,123,False,True,time_limit,time_limit,time_limit,1.0,20.000000000000014,,3.3461056352483807,2,,3.6802854632036874,3.116299926353394,2171251435.4267025,-0.011546172916320025,0.0,-7.4840192262661495e-06,0.0,0.0,0.0,-0.10751741278116987,-0.011652716517135595,0.0,0.0,0.0,-0.011917012929830443,0.09453960630903233,0.000811095928708399,6.127885286217722e-05,0.0,0.0,0.0,0.9045880189093971,0.0,2.4580359449244416e-12,0.0,0.0,2.169355407116713e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,0.0,0.0,0.0,0,0,0.0,0,20,20,253,-0.01191701553761959,-0.0011546172900125384,-0.0011546172900125384,-0.24115532636642456,-0.0011546172900125384,0.01191701553761959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.011244578401296643,0.0,0.0,0.011244578401296643,0.0,0.0,0.011773628726090878,0.9882263712739091,0.10000000000000561,0.10000000000000561,0.0,0.0,0.002819260933403698,0.0,0.0005709174405195301,-0.008717511981398142,3.3461056352483807,,,0.0,0.1,0.1,0.5454545454545454,0.55,0.0,0.8120204603580563,,0,0.9555,0.044499999999999984,0.044499999999999984,0.0,0.0,0.30337078651685395,0.2640449438202247,0.43258426966292135,0.30337078651685395,0.2640449438202247,0.43258426966292135,0.49669329482509517,0.8577307820320129,1.9801154136657715,0.020439703948795795,0.0,-0.15998591855168343,1.1553962528705597,0.39395081251859665,2.4589193761348724,1.9801154136657715,-1.9801154136657715,0.0445,0.0341796875,178,4000,-0.4493882656097412,1.3273588418960571,0.2698993347585201,0.9743006080389023,0.19371167942881584,0.06297785323113203,0.275033924728632,0.0,0.0,0,1.0,1.0,0.2671315789473684,5.075500000000011,20971077.654447973,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.905958158930493e-05,0.0,0.4977440003944212,0.08,0.0,True,-1.0,0.0,0.0
2,200,14.144569158554077,123,False,True,time_limit,time_limit,time_limit,1.0,20.000000000000014,,2.6754425599945573,1,,3.5221776158948757,3.1276590634600474,2266341671.129229,-0.011596578940958835,0.0,-2.8234782647531924e-06,0.0,0.0,0.0,-0.11452446339752456,-0.011717587948117366,0.0,0.0,0.0,-0.012624205134564562,0.09010277068121697,0.0009182745758011735,2.1937781470525874e-05,0.0,0.0,0.0,0.9089570169615114,0.0,1.7922520021904087e-12,0.0,0.0,1.094207732234287e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0,0,0.0,0,20,20,250,-0.012624206952750683,-0.001159657840617001,-0.001159657840617001,-0.3654543459415436,0.02345893532037735,0.012858795933425426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.011264175904814183,0.0,0.0,0.011264175904814183,0.0,0.0,0.024707019376157175,0.9752929806238428,0.10000000000000561,0.10000000000000561,0.0,0.0,0.0029498646988210704,0.0,0.0004601002806177067,-0.008861465507226402,2.6754425599945573,,,0.0,0.05,0.05,0.536,0.75,0.0,0.9085014409221902,,0,0.95675,0.04325000000000001,0.04325000000000001,0.0,0.0,0.3583815028901734,0.27167630057803466,0.3699421965317919,0.3583815028901734,0.27167630057803466,0.3699421965317919,0.505138238974895,0.8769224882125854,1.9351555017324595,0.017577033382482253,0.035222671926021576,0.025371864151496153,1.1090871691703796,0.5566935757031808,1.9945872242634113,1.9351555017324595,-1.9351555017324595,0.04325,0.04176682692307692,173,4000,0.3316841721534729,1.3331879377365112,-0.0799713283777237,1.1818001453693097,0.13267164075603852,0.07767618304261795,0.45657543913246346,0.0,0.0,0,1.0,1.0,0.27589473684210586,5.242000000000013,18975684.89225709,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011818552889377106,0.0,0.5033321479752194,0.08,0.0,True,-1.0,0.0,0.0
3,200,14.243257999420166,123,False,True,time_limit,time_limit,time_limit,1.0,20.000000000000014,,3.3010322248781265,1,,3.6839753489350664,3.196709265931304,2312341332.0074167,-0.01091569152603582,0.0,-1.1653610044168691e-05,0.0,0.0,0.0,-0.12084327320129051,-0.011057421605655204,0.0,0.0,0.0,-0.01319006948069478,0.0824605062345614,0.0009826378388206086,8.803497070343706e-05,0.0,0.0,0.0,0.9164688209559145,0.0,2.2396403308311275e-12,0.0,0.0,1.956597861160758e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,0.0,0.0,0.0,0,0,0.0,0,20,20,252,-0.013190068304538727,-0.0010843954514712095,-0.0010843954514712095,-0.2479730248451233,-0.0010843954514712095,0.013190068304538727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.010824454295545955,0.0,0.0,0.010824454295545955,0.0,0.0,0.010203949143400604,0.9897960508565994,0.10000000000000561,0.10000000000000561,0.0,0.0,0.0038462149119838822,0.0,0.0008406128580153005,-0.00853697702785041,3.3010322248781265,,,0.0,0.05,0.05,0.5436507936507936,0.6,0.0,0.8210678210678211,,0,0.95425,0.04574999999999996,0.04574999999999996,0.0,0.0,0.3825136612021858,0.28415300546448086,0.3333333333333333,0.3825136612021858,0.28415300546448086,0.3333333333333333,0.494838596991988,0.8646079301834106,1.900391156608994,0.002437812411478041,0.14516000107333465,-0.028871183006747347,10.520040550747433,5.2083445175274,2.046036729941497,1.900391156608994,-1.900391156608994,0.04575,0.0472972972972973,183,4000,2.9159421920776367,3.9422414302825928,7.286224120372051,2.122420642827008,0.9666739484748325,0.2918667225418864,0.8004372110464484,0.0,0.0,0,1.0,1.0,0.2747368421052637,5.22000000000001,14107562.753294852,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013007646957520917,0.0,0.49662702313426416,0.075,0.0,True,-1.0,0.0,0.0
4,200,12.53426456451416,123,False,True,time_limit,time_limit,time_limit,1.0,20.000000000000014,,2.4973801425847486,2,,3.632374390720424,3.1210361636867128,2306020278.8101263,-0.011435431943289213,0.0,-1.0495086741559575e-05,0.0,0.0,0.0,-0.1071197694058451,-0.011540022786503477,0.0,0.0,0.0,-0.011865979219235559,0.09309362862796736,0.0007660152630857381,8.54384611252407e-05,0.0,0.0,0.0,0.9060549176478216,0.0,2.6194428570658346e-12,0.0,0.0,2.5627202183270414e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,0.0,0.0,0.0,0,0,0.0,0,20,20,246,-0.011865979060530663,-0.0011435431661084294,-0.0011435431661084294,-0.36557167768478394,0.02934289537370205,0.012159408070147038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.011302283098463754,0.0,0.0,0.011302283098463754,0.0,0.0,0.013464630837774178,0.9865353691622258,0.10000000000000561,0.10000000000000561,0.0,0.0,0.0025624415086046588,0.0,0.00046317825279811384,-0.009651822611359807,2.4973801425847486,,,0.0,0.1,0.1,0.6056910569105691,0.65,0.0,0.6146496815286624,,0,0.9565,0.04349999999999998,0.04349999999999998,0.0,0.0,0.4425287356321839,0.25862068965517243,0.2988505747126437,0.4425287356321839,0.25862068965517243,0.2988505747126437,0.4991252486056168,0.8720410615205765,1.715328506061009,-0.0047830987189497265,0.133805085505758,0.045768639871052334,1.7793735095432825,0.9148714457239423,1.510420526776995,1.715328506061009,-1.715328506061009,0.0435,0.04241071428571429,174,4000,-1.0559073686599731,4.187962055206299,0.9482653651918683,1.5291938952037267,0.8712969762938363,0.2011104758296694,0.14260385212089335,0.0,0.0,0,1.0,1.0,0.24584210526315828,4.671000000000012,22740323.948978443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.409575647270591e-05,0.0,0.49951757460599766,0.075,0.0,True,-1.0,0.0,0.0
5,200,13.107302904129028,123,False,True,time_limit,time_limit,time_limit,1.0,20.000000000000014,,2.7036744992588617,1,,3.413984550904716,2.9953117597891996,2086280612.0006356,-0.01214525628270385,0.0,-1.078122474044496e-05,0.0,0.0,0.0,-0.11414137327049759,-0.012221302525861467,0.0,0.0,0.0,-0.012636267579635608,0.09451743326651806,0.0005079087570731458,8.390219738611239e-05,0.0,0.0,0.0,0.9048907557790228,0.0,2.6721253248290777e-12,0.0,0.0,2.481663529188549e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,0.0,0.0,0.0,0,0,0.0,0,20,20,251,-0.012636266648769379,-0.0012145256623625755,-0.0012145256623625755,-0.37039220333099365,0.0201339703053236,0.012837606482207775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.011864172335820017,0.0,0.0,0.011864172335820017,0.0,0.0,0.010395533587234915,0.9896044664127651,0.10000000000000561,0.10000000000000561,0.0,0.0,0.001661869819165502,0.0,0.00027841079046049116,-0.00857790310545468,2.7036744992588617,,,0.0,0.05,0.05,0.5378486055776892,0.55,0.0,0.8556998556998557,,0,0.9575,0.04249999999999998,0.04249999999999998,0.0,0.0,0.48823529411764705,0.2411764705882353,0.27058823529411763,0.48823529411764705,0.2411764705882353,0.27058823529411763,0.49710306097033086,0.8663954496383666,1.7906266450881958,0.036258007399737835,0.03333333507180214,-0.19980484247207642,5.781872510910034,2.669643759727478,10.56895637512207,1.7906266450881958,-1.7906266450881958,0.0425,0.052734375,170,4000,-1.6007448434829712,2.536144971847534,-1.4079639911651611,0.9863144159317017,0.7276095747947693,0.16215837746858597,0.0,0.0,0.0,0,1.0,1.0,0.2770526315789481,5.264000000000005,18657926.797597807,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.52650184171699e-05,0.0,0.4984660707837902,0.08,0.0,True,-1.0,0.0,0.0
6,200,13.496934175491333,123,False,True,time_limit,time_limit,time_limit,1.0,20.000000000000014,,2.5964621667083865,4,,3.448245935221326,2.772591098130954,1892686928.1691487,-0.012875108346339566,0.0,-1.9406735627533918e-05,0.0,0.0,0.0,-0.09614508301981121,-0.013050369288836905,0.0,0.0,0.0,-0.010919545230864487,0.11431520224369197,0.0013837945825066846,0.00017230805741391098,0.0,0.0,0.0,0.8841286951163874,0.0,4.350482647741405e-12,0.0,0.0,4.0030882254848965e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,0.0,0.0,0.0,0,0,0.0,0,20,20,217,-0.010919544845819473,-0.0012875108513981104,-0.0012875108513981104,-0.37074002623558044,0.011610775254666805,0.011211314238607883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.012646866931605768,0.0,0.0,0.012646866931605768,0.0,0.0,0.04262933259374395,0.9573706674062561,0.10000000000000561,0.10000000000000561,0.0,0.0,0.0038806804261459446,0.0,0.0006309144088714486,-0.010161931215418899,2.5964621667083865,,,0.0,0.2,0.2,0.6728110599078341,0.65,0.0,0.7981308411214953,,0,0.95775,0.04225000000000001,0.04225000000000001,0.0,0.0,0.4970414201183432,0.21893491124260356,0.28402366863905326,0.4970414201183432,0.21893491124260356,0.28402366863905326,0.5045131699906954,0.8648505270481109,1.851295272509257,0.019431474901891004,0.03886964991688728,0.012392672896385192,4.045463196436564,2.0129087448120115,3.525791335105896,1.851295272509257,-1.851295272509257,0.04225,0.04140625,169,4000,0.11816605180501938,3.626150369644165,3.679485829671224,1.6717177788416544,1.139033838113149,0.21702067752679188,0.5422212322552998,0.0,0.0,0,1.0,1.0,0.2832105263157906,5.38100000000002,19795884.65485091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001558542068697991,0.0,0.5023412069326733,0.055,0.0,True,-1.0,0.0,0.0
7,200,11.651700735092163,123,False,True,time_limit,time_limit,time_limit,1.0,20.000000000000014,,2.045496657682923,2,,3.445722276686351,2.9223637538957727,2130207129.780465,-0.01219569450356833,0.0,-6.991680637848122e-06,0.0,0.0,0.0,-0.1062490829527853,-0.012307426531771316,0.0,0.0,0.0,-0.011855650948455308,0.09762070815628643,0.0008383964438312538,5.5965063315551915e-05,0.0,0.0,0.0,0.9014849303365667,0.0,1.7722621330554245e-12,0.0,0.0,1.7722621330554245e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,0.0,0.0,0.0,0,0,0.0,0,20,20,234,-0.011855652555823326,-0.0012195694725960493,-0.0012195694725960493,-0.3708439767360687,-0.0012195694725960493,0.011855652555823326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.012302497633735704,0.0,0.0,0.012302497633735704,0.0,0.0,0.008924690034348455,0.9910753099656515,0.10000000000000561,0.10000000000000561,0.0,0.0,0.0028288378455180417,0.0,0.0006337909518594425,-0.009915678877556702,2.045496657682923,,,0.0,0.1,0.1,0.5641025641025641,0.6,0.0,0.8702865761689291,,0,0.959,0.041000000000000036,0.041000000000000036,0.0,0.0,0.5548780487804879,0.2073170731707317,0.23780487804878048,0.5548780487804879,0.2073170731707317,0.23780487804878048,0.5115995336556327,0.8819791793823237,1.813391272838299,0.01278523181994947,0.07388978680739036,-0.035127600511679284,10.691965836745043,5.289094539789053,4.438557643156785,1.813391272838299,-1.813391272838299,0.041,0.040865384615384616,164,4000,-1.9090858697891235,2.8627994060516357,-4.1303893602811375,1.608013391494751,0.785044903938587,0.35149821409812343,0.6936522389833744,0.0,0.0,0,1.0,1.0,0.2434999999999997,4.626499999999992,19177104.085726768,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00010474034756513506,0.0,0.5056315735898097,0.025,0.0,True,-1.0,0.0,0.0
8,200,14.674459457397461,123,False,True,time_limit,time_limit,time_limit,1.0,20.000000000000014,,2.246110845584658,1,,3.556104883430753,2.938481903245509,1936167187.8374684,-0.012183999520083765,0.0,-6.074165727439507e-07,0.0,0.0,0.0,-0.11424970712644701,-0.01221886117476723,0.0,0.0,0.0,-0.012646856830122859,0.09342116552858973,0.00026264535248234744,4.657383980817093e-06,0.0,0.0,0.0,0.906311531734947,0.0,2.8370413115118287e-13,0.0,7.439239382931585e-14,2.7254725711543804e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,0.0,0.0,0.0,0,0,0.0,0,20,20,218,-0.012646857649087906,-0.001218399964272976,-0.001218399964272976,-0.3671868145465851,-0.001218399964272976,0.012646857649087906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.012149538069750315,0.0,0.0,0.012149538069750315,0.0,0.0,0.01965478307398973,0.9803452169260103,0.10000000000000561,0.10000000000000561,0.0,0.0,0.0011434932905645054,0.0,0.0002522533680263048,-0.009829500737753839,2.246110845584658,,,0.0,0.05,0.05,0.5412844036697247,0.95,0.0,0.863849765258216,,0,0.95975,0.04025000000000001,0.04025000000000001,0.0,0.0,0.5279503105590062,0.13664596273291926,0.33540372670807456,0.5279503105590062,0.13664596273291926,0.33540372670807456,0.5083700773386878,0.8708689749240873,1.8013888826737037,0.028203957409669574,0.10600439172524673,-0.017181156140465576,1.2909778494101305,0.6066911002764335,1.6832161442591593,1.8013888826737037,-1.8013888826737037,0.04025,0.03936298076923077,161,4000,-0.06591306626796722,1.9117106199264526,1.3854064345359802,1.4909481085263765,0.7438329079976449,0.22708143809667,0.50437322518645,0.0,0.0,0,1.0,1.0,0.2565526315789479,4.874500000000013,15098931.544119965,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4254238110718426e-05,0.0,0.5042750170007348,0.05,0.0,True,-1.0,0.0,0.0
9,58,3.0586588382720947,123,True,False,idle,idle,terminated,0.0,5.799999999999995,,1.92909160158044,4,,3.6269426556395374,2.932681212992293,2120524329.8540063,-0.012104504338185464,0.0,-2.5748218314514522e-05,0.0,0.0,0.0,-0.31111700776941614,-0.012371170477277574,0.0,0.0,0.0,-0.032348817824669376,0.0325486185755171,0.0006478204552877988,6.923612181908708e-05,0.0,0.0,0.0,0.966734324847376,0.0,6.808531603091916e-12,0.0,0.0,6.808531603091916e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,0.0,0.0,0.0,0,0,0.0,0,20,20,215,-0.03234881907701492,-0.0012104504276067019,-0.0012104504276067019,-0.3657500147819519,0.08158890902996063,0.03596978262066841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.012137019212439275,0.0,0.0,0.012137019212439275,0.0,0.0,0.039838143833354545,0.9601618561666455,0.09999999999999801,0.09999999999999801,0.0,0.0,0.006555429480617315,0.0,0.001837573479039704,-0.010089416432143398,1.92909160158044,,,0.0,0.2,0.2,0.6744186046511628,0.75,0.0,0.0,,0,0.8577586206896551,0.14224137931034486,0.14224137931034486,0.0,0.0,0.6,0.20606060606060606,0.19393939393939394,0.6,0.20606060606060606,0.19393939393939394,0.5126351213755195,0.8744320750236511,1.6557210624217986,-0.0006888941919896751,0.0498960348777473,-0.006713514495640993,1.4847544312477112,0.7157950341701508,0.9416807591915131,1.6557210624217986,-1.6557210624217986,0.14224137931034483,0.1396484375,165,1160,2.0828771591186523,4.054689884185791,-0.646220126748085,3.092178750038147,0.596692506968975,0.24322305917739867,0.16264909654855728,0.0,0.0,0,1.0,1.0,0.21361161524500924,4.058620689655169,29457914.905530706,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024091792077759065,0.0,0.5057620510410774,0.25862068965517243,2.0,False,0.0,0.0,0.0
