episode,steps,wall_time,sim_time,termination_reason_raw,termination_reason_bucket,reward_mean,reward_total,episode_reward,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_est,episode_time_seconds,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,illegal_action_ratio,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,actor_loss,critic_loss,critic_loss_raw_mean,normalized_value_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,actor_update_active_frac,value_clip_fraction,critic_loss_active,critic_loss_inactive,ppo_epochs_executed,num_minibatches_executed,mb_kl_max,mb_kl_p95,early_stop_epoch_idx,early_stop_batch_idx,skipped_update_count,early_stop,lr,bias_rsu,bias_local
11,68,4.971792697906494,6.800000000000001,idle,terminated,0.00010899847984546795,0.007411897248973996,0.007411897248973996,0.001815583428833633,0.004773555789142847,0.15,0.15,0.6578947368421053,1.6000000000000003,1.8700000000000006,3,7.815018982887267,6.799999999999992,0.006347478113806411,0.0,0.0020859659605204062,-0.09098175507257936,17,0.85,0.4943820224719101,0.2808988764044944,0.2247191011235955,0.4943820224719101,0.2808988764044944,0.2247191011235955,0.49444752920501156,0.0,0.0,0.4902563093146009,0.8625494837760925,0.0,0.0,9.018345965838837e-12,0.0,0.03571428571428571,0.800000011920929,0.20000000298023224,87,88,8.308422749850758,0.014705882352941195,0.0,0.0,0.0,0.8691176470588236,0.13088235294117645,0.13088235294117645,0.0,0.0,-0.004686850160360336,2.0710146760940553,2.0710146760940553,2.071014699935913,1.8339079475402833,0.005429433011449873,0.15135326646268368,1.2042318058013917,0.13088235294117648,0.13140625,0.2191781436651945,3.5115940237045287,1.0404052138328552,5,25,0.04547775536775589,0.040421627461910234,-1,-1,0,False,0.0002,0.0,0.09876900000000001
12,84,6.091842412948608,8.4,idle,terminated,-0.0017352602444589138,-0.14576186753947074,-0.14576186753947074,0.0006639252649620151,0.0034867599606513977,0.1,0.1,0.7103174603174603,1.8000000000000003,2.1600000000000006,2,9.598650588989255,8.399999999999986,0.005016367138496591,0.0,0.00175801839372093,-0.09064160918196015,18,0.9,0.37623762376237624,0.38613861386138615,0.2376237623762376,0.37623762376237624,0.38613861386138615,0.2376237623762376,0.5086834017370295,0.023809523809523808,0.0,0.5147503689769561,0.8683630347251892,0.0,1.0113511313136727e-10,1.6019579759940505e-11,0.0,0.024793388429752067,0.800000011920929,0.20000000298023224,123,76,7.482860670771053,0.011904761904761925,0.0,0.0,0.0,0.8797619047619047,0.12023809523809526,0.12023809523809526,0.0,0.0,0.0061008838238194585,1.978453442454338,1.978453442454338,1.9784533828496933,1.8768631517887115,0.03196681017288938,0.09446572931483388,1.072634994983673,0.12023809523809524,0.12353515625,0.18435438035521656,3.8535431623458862,0.6481718979775906,2,8,0.076492540538311,0.07490160427987576,1,1,0,True,0.0002,0.0,0.09868500000000001
13,200,14.426217555999756,20.0,time_limit,time_limit,-0.0019378939177840948,-1.387578774446582,-1.387578774446582,-0.0013272232987219567,0.002073541982099414,0.05,0.05,0.5887445887445888,2.0000000000000004,2.0000000000000004,1,21.559230041503906,20.000000000000014,0.000978075506218363,0.0,0.0003402409381201844,-0.09819117271900203,19,0.95,0.4556213017751479,0.3076923076923077,0.23668639053254437,0.4556213017751479,0.3076923076923077,0.23668639053254437,0.5136766444179229,0.0,0.0,0.5240892019690409,0.8817342221736908,0.0,0.0,5.019150026153163e-12,0.0,0.038461538461538464,0.800000011920929,0.20000000298023224,89,77,2.4899023939999982,0.0,1.0,0.0,0.0,0.95775,0.04225000000000001,0.04225000000000001,0.0,0.0,0.14974817633628845,7.322281837463379,7.322281837463379,7.322281837463379,1.7808037996292114,0.09440558403730392,0.0,10.766698837280273,0.04225,0.05078125,0.0,19.058462142944336,4.182974338531494,1,1,0.09440558403730392,0.09440558403730392,0,0,0,True,0.0002,0.0,0.098485
14,68,4.644376516342163,6.800000000000001,idle,terminated,0.002091603120788932,0.14222901286238931,0.14222901286238931,0.0019173267355654382,0.005206688307225704,0.2,0.2,0.6652719665271967,1.8250000000000004,2.1000000000000005,4,8.075198326110838,6.799999999999992,0.0037979714648571083,0.0,0.0014968066643754967,-0.09277634503210223,16,0.8,0.35978835978835977,0.37037037037037035,0.2698412698412698,0.35978835978835977,0.37037037037037035,0.2698412698412698,0.5104159451692419,0.029411764705882353,0.0,0.5173174638510625,0.8709190160036087,0.0,9.707778886314236e-11,2.4318306049431193e-11,2.5040542035725576e-11,0.009615384615384616,0.800000011920929,0.20000000298023224,120,68,9.02171025737386,0.014705882352941195,0.0,0.0,0.0,0.8610294117647059,0.13897058823529407,0.13897058823529407,0.0,0.0,-0.00918064871802926,1.9346428290009499,1.9346428290009499,1.934642843902111,1.870716579258442,0.01772615866502747,0.11076572712045163,1.1163625083863735,0.13897058823529412,0.13916015625,0.13720008730888367,3.6143204420804977,0.5905822031199932,4,16,0.1523623913526535,0.08677635714411736,3,0,0,True,0.0002,0.0,0.098417
15,200,15.17749309539795,20.0,time_limit,time_limit,-0.0014519046526402235,-1.2903809204863848,-1.2903809204863848,8.19182769191503e-06,0.002145277801901102,0.1,0.1,0.6194029850746269,1.8500000000000005,1.8950000000000005,2,21.28929224014282,20.000000000000014,0.002075553765434204,0.0,0.0006465948359834426,-0.09722540514171173,18,0.9,0.375,0.375,0.25,0.375,0.375,0.25,0.5146582105511334,0.005,0.0,0.5230203542224316,0.8753397285938261,0.0,0.0,8.45202727250971e-12,0.0,0.045871559633027525,0.800000011920929,0.20000000298023224,120,75,3.0829145119999977,0.0,1.0,0.0,0.0,0.95,0.050000000000000044,0.050000000000000044,0.0,0.0,0.3881192107995351,3.707977294921875,3.707977294921875,3.7079771359761557,2.1189351081848145,0.0484924657891194,0.08860399201512337,1.870133638381958,0.05,0.059895833333333336,0.0,4.208740711212158,3.5479751427968345,1,3,0.09029507637023926,0.08484428524971008,0,2,0,True,0.0002,0.0,0.098217
16,80,5.87528133392334,8.0,idle,terminated,-0.0012231514556333423,-0.0978521122434325,-0.0978521122434325,0.001148195023415607,0.00355848902836442,0.1,0.1,0.6637554585152838,2.0000000000000004,2.4500000000000006,2,9.530392122268676,7.999999999999988,0.0032595274651533775,0.0,0.001348181112335845,-0.09042332269251321,18,0.9,0.292817679558011,0.4088397790055249,0.2983425414364641,0.292817679558011,0.4088397790055249,0.2983425414364641,0.5185851701133651,0.05,0.0,0.5300063291436774,0.8838048875331879,0.0,2.080987318228693e-11,1.924363793315287e-11,0.0,0.017699115044247787,0.800000011920929,0.20000000298023224,126,53,7.334804810126595,0.01250000000000002,0.0,0.0,0.0,0.886875,0.11312500000000003,0.11312500000000003,0.0,0.0,-0.026860332461418928,1.4755204651090834,1.4755204651090834,1.4755205180909898,1.9181744213457461,0.017841627674729185,0.1091828851926106,1.0805873031969424,0.113125,0.11443865740740741,0.06410524235279472,2.6510775685310364,0.714167422718472,5,27,0.09325041621923447,0.06274460032582282,4,2,0,True,0.0002,0.0,0.098137
17,149,10.597930669784546,14.9,idle,terminated,-0.0016621029935777187,-0.24765334962191562,-0.24765334962191562,0.0011044042184948921,0.002225754549726844,0.05,0.05,0.6529680365296804,2.1000000000000005,2.1000000000000005,1,16.458856983184813,14.899999999999963,0.002138159921724719,0.0,0.0006348901488059203,-0.09866569589048417,19,0.95,0.4057142857142857,0.30857142857142855,0.2857142857142857,0.4057142857142857,0.30857142857142855,0.2857142857142857,0.5105715743734832,0.0,0.0,0.5174147549104368,0.8831519603729248,0.0,0.0,9.114834755019618e-12,0.0,0.03571428571428571,0.800000011920929,0.20000000298023224,101,71,3.4098845621621705,0.0067114093959731716,0.0,0.0,0.0,0.9412751677852349,0.0587248322147651,0.0587248322147651,0.0,0.0,0.06815024062991143,1.3291355419158934,1.3291355419158934,1.3291355776786804,1.763851399421692,0.010187737159430981,0.123576131016016,1.5903564953804017,0.0587248322147651,0.05796875,0.4901450106501579,3.2811272144317627,0.7327144145965576,3,25,0.07527471333742142,0.06527259275317189,2,2,0,True,0.0002,0.0,0.097988
18,41,3.164902925491333,4.1000000000000005,idle,terminated,6.777115231670905e-06,0.00027785654417929683,0.00027785654417929683,0.001665580552071333,0.00540209049358964,0.1,0.1,0.7637130801687764,1.8000000000000005,1.8900000000000006,2,5.003114876747131,4.100000000000001,0.009813543959149634,0.0,0.0035918536162621566,-0.0774518271190365,18,0.9,0.39195979899497485,0.35175879396984927,0.2562814070351759,0.39195979899497485,0.35175879396984927,0.2562814070351759,0.5055665074734063,0.024390243902439025,0.0,0.5092399516765044,0.8475312799215317,0.0,2.1743762484982546e-10,1.901783244773192e-11,1.1408038541604881e-10,0.017543859649122806,0.800000011920929,0.20000000298023224,119,78,16.931709672989097,0.02439024390243902,0.0,0.0,0.0,0.7573170731707317,0.2426829268292683,0.2426829268292683,0.0,0.0,-0.005055093998089432,2.4585782210032145,2.4585782210032145,2.4585782527923583,1.7808891693751017,0.016088032241289813,0.1243005241577824,0.7840606172879537,0.2426829268292683,0.240625,0.03292349576950073,3.6048388799031574,0.6640515764554341,5,15,0.05291727930307388,0.03496606554836032,-1,-1,0,False,0.0002,0.0,0.097947
19,61,4.756123304367065,6.1000000000000005,idle,terminated,-0.0018344256095588207,-0.11189997056178017,-0.11189997056178017,0.0024025277234613895,0.0033072519581764936,0.1,0.1,0.6294820717131474,2.1000000000000005,2.4500000000000006,3,7.313014760017394,6.099999999999994,0.006079935773073198,0.0,0.0020052999600239296,-0.0846919837936024,18,0.9,0.44565217391304346,0.33695652173913043,0.21739130434782608,0.44565217391304346,0.33695652173913043,0.21739130434782608,0.4976160166357629,0.0,0.0,0.4957787232157194,0.8569986820220948,0.0,0.0,1.620931514012547e-11,0.0,0.010869565217391304,0.800000011920929,0.20000000298023224,101,82,10.271012136000012,0.016393442622950834,0.0,0.0,0.0,0.8491803278688524,0.15081967213114755,0.15081967213114755,0.0,0.0,-0.017338039900641887,2.312744790315628,2.312744790315628,2.31274476647377,1.7807790815830231,0.02080573050188832,0.11133359186351299,1.0698967397212982,0.15081967213114755,0.1537109375,0.6018148139119148,3.9732471346855163,0.8336548417806625,5,20,0.05103784799575806,0.04682862982153893,-1,-1,0,False,0.0002,0.0,0.097886
20,200,13.743510246276855,20.0,time_limit,time_limit,-0.0019439198076725006,-1.388783976087087,-1.388783976087087,-0.0011946018494199977,0.0020495476201176643,0.0,0.0,0.7446808510638298,0.0,0.0,0,20.932697296142578,20.000000000000014,0.0013749722529629539,0.0,0.0005155770336067575,-0.09575397050380707,20,1.0,0.46733668341708545,0.2914572864321608,0.24120603015075376,0.46733668341708545,0.2914572864321608,0.24120603015075376,0.5026786682980601,0.01,0.0,0.5051340072794634,0.862489539384842,0.0,0.0,6.052531306005582e-12,0.0,0.0,0.800000011920929,0.20000000298023224,106,93,3.219941904799996,0.0,1.0,0.0,0.0,0.95025,0.04974999999999996,0.04974999999999996,0.0,0.0,0.11515435617831019,2.8107267485724554,2.8107267485724554,2.810726801554362,1.6876654757393732,-0.017706652948011953,0.13155480474233627,1.9954050381978352,0.04975,0.04904513888888889,0.015632720172612205,11.539972888098823,0.6727114551597171,1,9,0.08921124786138535,0.07319461554288863,0,8,0,True,0.0002,0.0,0.09768600000000001
21,139,10.565457105636597,13.9,idle,terminated,-0.0022417823784053326,-0.3116077331567344,-0.3116077331567344,3.979007306041501e-06,0.0023613846860826015,0.0,0.0,0.5752212389380531,0.0,0.0,0,15.347712516784668,13.899999999999967,0.0031511235238919372,0.0,0.0010399817075282998,-0.0964459269810066,20,1.0,0.4727272727272727,0.3212121212121212,0.20606060606060606,0.4727272727272727,0.3212121212121212,0.20606060606060606,0.5035537149311586,0.007194244604316547,0.0,0.5062330142010226,0.8672960638999938,0.0,0.0,1.1105726581417397e-11,0.0,0.0136986301369863,0.800000011920929,0.20000000298023224,86,78,3.718156838840588,0.0071942446043165645,0.0,0.0,0.0,0.9406474820143885,0.059352517985611475,0.059352517985611475,0.0,0.0,-0.003470627185052786,2.631376174780039,2.631376174780039,2.631376183949984,1.838221360475589,0.013663898329608716,0.10121007951406333,1.8994255065917969,0.05935251798561151,0.05839342948717949,0.6989897149017988,8.144486029942831,1.0190378863077898,4,39,0.08910710364580154,0.06561846509575846,3,8,0,True,0.0002,0.0,0.09754700000000001
22,179,12.695152044296265,17.900000000000002,idle,terminated,-0.0016148366266861558,-0.2890557666823516,-0.2890557666823516,-0.00019911777053494074,0.002449881983920932,0.05,0.05,0.6233766233766234,1.8000000000000005,1.8000000000000005,1,27.880611629486083,17.899999999999984,0.002014294668744049,0.0,0.0006005322413524199,-0.05530827026127434,19,0.95,0.41621621621621624,0.31351351351351353,0.2702702702702703,0.41621621621621624,0.31351351351351353,0.2702702702702703,0.5021385768051233,0.00558659217877095,0.0,0.5039302386870336,0.8691647320985794,0.0,0.0,5.6041603649359395e-12,0.0,0.021505376344086023,0.800000011920929,0.20000000298023224,101,74,3.3223544739959037,0.01675977653631287,0.0,0.0,0.0,0.9483240223463687,0.0516759776536313,0.0516759776536313,0.0,0.0,-0.02224855072796345,2.1158868145942686,2.1158868145942686,2.1158868217468263,1.7756946206092834,0.011122637029911857,0.13753727406263352,1.7063575172424317,0.051675977653631286,0.05078125,0.40067649990320203,7.813544673919678,0.6400389790534973,4,50,0.12005484104156494,0.06402005292475224,3,10,0,True,0.0002,0.0,0.09736800000000001
23,169,11.298328638076782,16.900000000000002,idle,terminated,-0.0015214051818475127,-0.25711747822578007,-0.25711747822578007,-0.00028029532986693147,0.002570315031334758,0.15,0.15,0.8135593220338984,2.0333333333333337,2.400000000000001,3,17.560733566284178,16.89999999999997,0.0007714276204526205,0.0,0.00035977590615039284,-0.09352014687639738,17,0.85,0.3444976076555024,0.40669856459330145,0.24880382775119617,0.3444976076555024,0.40669856459330145,0.24880382775119617,0.48586542511444275,0.0,0.0,0.47557522335726815,0.8574980795383453,0.0,0.0,8.9081519938361e-12,0.0,0.007518796992481203,0.800000011920929,0.20000000298023224,136,72,3.909209035238103,0.005917159763313621,0.0,0.0,0.0,0.9381656804733728,0.06183431952662721,0.06183431952662721,0.0,0.0,-0.012289648875594139,8.270890281313942,8.270890281313942,8.270890167781285,1.8551609572910128,0.011158987574855842,0.13339185555066382,3.8097057143847146,0.06183431952662722,0.0626860119047619,0.5709489626543862,2.9987714120319913,9.995960780552455,2,21,0.10491450130939484,0.07185260951519012,1,7,0,True,0.0002,0.0,0.09719900000000001
24,200,14.804893255233765,20.0,time_limit,time_limit,-0.001550874556414783,-1.3101749195629235,-1.3101749195629235,-0.000484313128981742,0.0019712888170033693,0.1,0.1,0.680672268907563,2.0000000000000004,2.2600000000000007,3,21.25235290527344,20.000000000000014,0.0007727343168892289,0.0,0.00045627337641169276,-0.09489174102246828,18,0.9,0.4021164021164021,0.37566137566137564,0.2222222222222222,0.4021164021164021,0.37566137566137564,0.2222222222222222,0.49382888164231553,0.01,0.0,0.4867073379479064,0.8604856014251708,0.0,0.0,4.655128279379417e-12,0.0,0.01020408163265306,0.800000011920929,0.20000000298023224,112,76,3.0696554583999975,0.0,1.0,0.0,0.0,0.95275,0.047250000000000014,0.047250000000000014,0.0,0.0,0.03119515683501959,2.359702730178833,2.359702730178833,2.3597028255462646,1.7865764141082763,0.028745301510207356,0.10769231021404266,1.7129670143127442,0.04725,0.0484375,0.0,9.504312324523926,0.5711893677711487,1,5,0.07946988195180893,0.0761437028646469,0,4,0,True,0.0002,0.0,0.096999
