episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,termination_reason_raw,termination_reason_bucket,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,r_time,r_interf,r_risk,r_illegal,r_pbrs,r_term,r_step,r_total,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,abs_ratio_r_pbrs,abs_ratio_r_term,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,uncertainty_selected_mean,uncertainty_selected_p90,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,risk_penalty_mean,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,top_illegal_reason,top_illegal_reason_count,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,actor_update_active_frac,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,140,10.873427629470825,42,True,False,idle,idle,terminated,0.0,13.999999999999966,15.287015819549552,1.7000000000000004,20,True,2.7185497923439077,2.257715243097942,2004938475.953219,-0.01579559820203967,-5.384874115107936e-05,-0.00016945838597267444,0.0,0.0,0.009609856079830144,-0.010713511931389228,-0.00011036558515591072,0.41361131817280955,0.0011912977559972466,0.0014100414890629673,0.004437306235641266,0.0,0.0,0.5793500363464891,1.0130486727266685e-11,0.0,0.0,7.942262299220904e-12,0.0,0.8544425964355469,0.800000011920929,0.14555738866329193,0.20000000298023224,0.8333333134651184,0.949999988079071,0.0,0.0,0.005391858052462339,88,0.0,0.0,0.0,73,0,0.0,0,20,20,228,-0.00011036539945052937,-0.0015647985273972154,0.00025900872715281384,-0.02264133282005787,0.11642937362194061,0.003400359069928527,0.004873274096420618,1.5265108374272096,1.521637563330787,-0.09512672590357855,0.000247955322265625,0.004873274096420618,0.10024795532226616,0.09999999999999827,0.09999999999999827,-0.09512672590357855,0.00024795532226615236,0.001366540411302694,0.0,0.00029762447242096,0.035856066498805975,15.287015819549552,0.004873274096420618,0.10024795532226616,1.2870158195495858,0.2,0.2,0.6008771929824561,0.8,0.0,,0,0.9425,0.057499999999999996,0.057499999999999996,0.0,0.0,0.453416149068323,0.3105590062111801,0.2360248447204969,0.453416149068323,0.3105590062111801,0.2360248447204969,0.5107748672271867,0.8745350360870361,1.9526331901550293,0.013834691094234585,0.11194662246853113,-0.012098993826657533,2.6635407328605654,1.2962397515773774,1.7545060157775878,1.9526331901550293,-1.9526331901550293,0.0575,0.0560546875,161,2800,0.5273993611335754,0.6371501088142395,-2.0573308289051058,1.193024903535843,-0.4580831483006477,0.22895653843879699,0.795986708253622,0,1.0,1.0,0.32624060150375944,6.198571428571425,24815789.044008512,0.9500000000000014,0.0,0.2365759025280248,0.03394870214065145,0.27052460466867617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.549503329805406e-05,0.0,0.5062725119929694,0.0,0.0,False,0.0,0.0,0.0
2,57,4.574763059616089,42,True,False,idle,idle,terminated,0.0,5.699999999999996,7.1141157150268555,0.0,20,True,2.749108703662566,2.3684751445625687,2088451330.0378754,-0.015187235523679767,-6.887889512507508e-05,-0.0022743644357125395,0.0,0.0,-0.023386682030010132,-0.011162922164570523,-0.003454960419458068,0.368064003704424,0.00836896669603535,0.0016692861496053024,0.05511942438675526,0.0,0.0,0.5667783190631802,1.348193258421393e-11,0.0,0.0,1.3383999637739397e-11,0.0,0.8393352627754211,0.800000011920929,0.15864448249340057,0.20000000298023224,0.800000011920929,0.9444444179534912,0.0,0.0,0.02357068657875061,110,0.0,0.0,0.0,90,2,0.022222222222222223,2,20,20,236,-0.0034549604170024395,-0.001527518848888576,0.0007675678934901934,-0.03353620693087578,0.0014923212584108114,0.003631599945947528,0.008528478678903837,1.72199385098198,1.713465372303078,-0.09147152132109591,0.09793782234191895,0.008528478678903837,0.19793782234191903,0.09999999999999806,0.09999999999999806,-0.09147152132109591,0.09793782234191903,0.01132134976548553,0.0,0.003695641985447882,0.04355687306678713,7.1141157150268555,0.008528478678903837,0.19793782234191903,1.4141157150268597,0.0,0.0,0.5677966101694916,1.0,0.0,,0,0.85,0.15000000000000002,0.15000000000000002,0.0,0.0,0.3567251461988304,0.25146198830409355,0.391812865497076,0.3567251461988304,0.25146198830409355,0.391812865497076,0.4999918610782459,0.8641354799270627,2.026982605457306,0.034042294952087104,0.1058592957444489,0.0063073714962229134,1.5451669216156005,0.7545670300722123,0.9742305606603623,2.026982605457306,-2.026982605457306,0.15,0.1494140625,171,1140,-0.31687989830970764,5.465287685394287,-0.2299338098615408,3.369508516788483,-0.17192369233816862,0.19269372001290322,0.08683926612138748,0,1.0,1.0,0.274792243767313,5.221052631578949,25475139.23257378,1.0,0.0,0.21903074480755713,0.033176516128891144,0.2522072609364484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003453243648476708,0.0,0.4999948239313406,0.017543859649122806,0.0,False,0.0,0.0,0.0
3,90,7.0448830127716064,42,True,False,idle,idle,terminated,0.0,8.999999999999984,10.043876028060911,2.450000000000001,20,True,2.8084630444862952,2.407403582174023,2177905398.27408,-0.01493093156856655,-7.855695698698564e-05,-0.0014168218560612594,0.0,0.0,-0.005226549013700833,-0.011618386010363557,-0.0016844935024064407,0.450938750353906,0.009704871490146143,0.002372549619736673,0.04279035600105586,0.0,0.0,0.49419347253515533,3.197122427911481e-11,0.0,1.1263838473052346e-10,1.83780282658752e-11,4.469797639655713e-11,0.8646923899650574,0.800000011920929,0.13415029644966125,0.20000000298023224,0.8571428656578064,0.9672234803438187,0.0,0.006944444444444444,0.01771027408540249,144,0.0,0.0,0.0,129,2,0.015503875968992248,2,20,20,247,-0.001684493268840015,-0.0014890798483975232,0.002685779065359384,-0.01632346399128437,0.025856513530015945,0.0028100365307182074,0.007759058740403659,1.272081394235292,1.2643223354948891,-0.09224094125959578,0.1494762897491455,0.007759058740403659,0.2494762897491456,0.0999999999999967,0.0999999999999967,-0.09224094125959578,0.1494762897491456,0.010568095548268602,0.0,0.003389905361827146,0.07343426709599421,10.043876028060911,0.007759058740403659,0.2494762897491456,1.043876028060927,0.1,0.1,0.6963562753036437,0.9,0.0,,0,0.8888888888888888,0.11111111111111116,0.11111111111111116,0.0,0.0,0.28,0.37,0.35,0.28,0.37,0.35,0.4938080037936568,0.8650854617357253,1.9951388972146171,0.00574297757952341,0.1731281103832381,-0.013055548510913338,1.5730389731270926,0.7495222602571759,1.136253024850573,1.9951388972146171,-1.9951388972146171,0.1111111111111111,0.11127232142857142,200,1800,0.7423477172851562,4.891345024108887,0.3401246739285333,2.780854484013149,0.28935302956295866,0.3733447509152549,0.1984383408645434,0,1.0,1.0,0.27649122807017557,5.2533333333333285,21345597.231808424,1.0,0.0,0.23434149487425102,0.03439979054759937,0.26874128542185044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00032133581775214894,0.0,0.4957000026344839,0.05555555555555555,0.5499999999999972,False,0.0,0.0,0.0
4,62,4.661394834518433,42,True,False,idle,idle,terminated,0.0,6.199999999999994,7.458557505607604,2.3500000000000005,20,True,2.690965407037514,2.315282674301266,2133919461.117804,-0.015504513612144144,-0.00011256278685692445,-0.0024403071635546586,0.0,0.0,-0.012086665304466664,-0.00898914599104974,-0.0021075811295516466,0.4220506366782817,0.01717168878258894,0.003064088113156672,0.06642795884045692,0.0,0.0,0.4912856275855158,5.371651040642078e-11,0.0,2.5800592357017025e-10,2.920040251264133e-11,2.359140383045854e-10,0.8602891564369202,0.800000011920929,0.13580968976020813,0.20000000298023224,0.8333333134651184,0.9662643432617187,0.0,0.006756756756756757,0.020445814356207848,148,0.0,0.0,0.0,131,1,0.007633587786259542,1,20,20,242,-0.0021075811237096786,-0.0010752516682259738,0.0011879726080223892,-0.020333463326096535,0.013261713087558746,0.002747445134446025,0.010757290144120264,1.7417291032979538,1.7309718131538385,-0.0892427098558793,0.0001773834228515625,0.010757290144120264,0.10017738342285165,0.09999999999999777,0.09999999999999777,-0.08924270985587929,0.00017738342285164577,0.020135374485479418,0.1505304094440045,0.006305735985771976,0.0379668444972909,7.458557505607604,0.010757290144120264,0.10017738342285165,1.2585575056076097,0.05,0.05,0.6694214876033058,0.95,0.0,,0,0.8451612903225807,0.1548387096774193,0.1548387096774193,0.0,0.0,0.22916666666666666,0.4427083333333333,0.328125,0.22916666666666666,0.4427083333333333,0.328125,0.4907179479092798,0.86295690536499,1.9130805075168609,0.015154398558661342,0.09685185486450791,0.0011055844345719378,2.059135341644287,1.0077162861824036,1.0747177571058273,1.9130805075168609,-1.9130805075168609,0.15483870967741936,0.15390625,192,1240,1.8709025382995605,6.235123157501221,8.660508012771606,6.056371855735779,1.1110432580113412,0.48250842541456224,0.3620501990430057,0,1.0,1.0,0.2452461799660439,4.659677419354835,20059006.70624777,1.0,0.0,0.20946701887628855,0.036471553199734025,0.24593857207602254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006308216581985634,0.0,0.4936373030023289,0.04838709677419355,0.0,False,0.0,0.0,0.0
5,189,14.054444551467896,42,True,False,idle,idle,terminated,0.0,18.9,20.412708873748777,1.4000000000000001,20,True,2.7344990281465007,2.167433650117191,1919357870.1797347,-0.016513468120472163,-2.0422872508509444e-05,-0.0006425590053602782,0.0,0.0,-0.003876574463403846,-0.015519903129947528,-0.0019396477593351528,0.5835615986220754,0.003712575236962865,0.000721714181574345,0.02270708718734809,0.0,0.0,0.3892970247720394,4.903080545737293e-12,0.0,0.0,4.677800681529565e-12,0.0,0.8407300710678101,0.800000011920929,0.15686917304992676,0.20000000298023224,0.800000011920929,0.9545454382896423,0.0,0.0,0.020410699769854546,119,0.0,0.0,0.0,95,2,0.021052631578947368,2,20,20,213,-0.0019396477146074176,-0.0016660800902172923,-0.0009008392109535645,-0.024971023201942444,0.0687308982014656,0.002700378419831395,0.002344793737249972,1.5527722573627225,1.5504274636254738,-0.09765520626275018,-0.026248931884765625,0.002344793737249972,0.07375106811523402,0.10000000000000461,0.10000000000000461,-0.09765520626275018,-0.026248931884765986,0.003572038591744479,0.0,0.0010996492326289342,0.018400905488735006,20.412708873748777,0.002344793737249972,0.07375106811523402,1.5127088737487782,0.05,0.05,0.568075117370892,0.95,0.0,,0,0.9582010582010582,0.041798941798941835,0.041798941798941835,0.0,0.0,0.2468354430379747,0.33544303797468356,0.4177215189873418,0.2468354430379747,0.33544303797468356,0.4177215189873418,0.5017866445249117,0.8691636443138122,2.0005781000310723,0.0008675989837766709,0.06767676906152205,0.02197618172927336,2.9234256094152276,1.4596820527857,2.375414555723017,2.0005781000310723,-2.0005781000310723,0.0417989417989418,0.03977272727272727,158,3780,6.721784591674805,8.353201866149902,3.3165514902635054,2.888724695552479,2.526108156551014,0.4499888853593306,0.460956565358422,0,1.0,1.0,0.2419660261765526,4.597354497354502,24303235.950427014,1.0,0.0,0.27166573851331327,0.03230772455693584,0.3039734630702491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00010505744888834686,0.0,0.5011603736266291,0.005291005291005291,0.0,False,0.0,0.0,0.0
6,200,14.494925737380981,42,False,True,time_limit,time_limit,time_limit,1.0,20.000000000000014,20.901450061798094,2.0750000000000006,20,True,2.7987819567201155,2.2987179111715976,2034415959.1397178,-0.015526800999123198,-3.575617103641507e-05,-0.0006982200959535291,0.0,0.0,0.0030391491726131474,-0.014860789144659914,-0.0011821639972046463,0.505868453095034,0.004521323675838362,0.0011649482035490876,0.02274824800548572,0.0,0.0,0.46569702702009275,7.967952686538382e-12,0.0,0.0,6.778780228117176e-12,0.0,0.8538814783096313,0.800000011920929,0.1461184173822403,0.20000000298023224,0.8333333134651184,0.9599999785423279,0.0,0.0,0.02407655492424965,116,0.0,0.0,0.0,102,2,0.0196078431372549,2,20,20,225,-0.0011821640655398369,-0.0015797463129274547,-0.000615217292215682,-0.026438571512699127,0.07265423238277435,0.0027987577486783266,0.003123373717069638,0.9166121975570913,0.9134888238400215,-0.09687662628293134,0.0,0.003123373717069638,0.10000000000000009,0.10000000000000561,0.10000000000000561,-0.09687662628293135,8.326672684688674e-17,0.004368996262306568,0.0,0.0011458973071324721,0.03303815362560941,20.901450061798094,0.003123373717069638,0.10000000000000009,0.9014500617980801,0.15,0.15,0.68,0.85,0.0,,0,0.95475,0.04525000000000001,0.04525000000000001,0.0,0.0,0.35911602209944754,0.3149171270718232,0.3259668508287293,0.35911602209944754,0.3149171270718232,0.3259668508287293,0.4884622278211423,0.8471766203641891,1.820727813243866,0.0346434511244297,0.046196524798870084,-0.05508876536041498,2.9850204944610597,1.41557275056839,2.0337135791778564,1.820727813243866,-1.820727813243866,0.04525,0.048828125,181,4000,8.81273365020752,12.51105785369873,4.573580741882324,4.307455468177795,3.493958759307861,0.3276642173528671,0.1442478194832802,0,1.0,1.0,0.2591052631578947,4.922999999999995,25208758.414018583,1.0,0.0,0.2293653615389883,0.03392561154132487,0.26329097308031324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013877460145588115,0.0,0.4927600479577668,0.01,0.0,True,-1.0,0.9134888238400215,0.0
7,77,5.839484930038452,42,True,False,idle,idle,terminated,0.0,7.699999999999989,8.771876912117003,2.6333333333333346,20,True,2.7252955111550765,2.3745635409740657,2080747006.6325138,-0.015451927371751283,-7.636056097668173e-05,-0.001712593961538281,0.0,0.0,-0.0004543522770205945,-0.013301548438147941,-0.0013755900715168579,0.40121522720382763,0.006130720766960766,0.001982731285527572,0.04446815978715077,0.0,0.0,0.5462031609565332,3.2212725542546394e-11,0.0,0.0,1.1741568654854984e-11,0.0,0.85166335105896,0.800000011920929,0.14453500509262085,0.20000000298023224,0.8333333134651184,0.954743069410324,0.0,0.008403361344537815,0.02216298319399357,119,0.0,0.0,0.0,104,3,0.028846153846153848,3,20,20,245,-0.0013755901018157601,-0.0015316202770918608,0.0004892523167654885,-0.015290042385458946,0.031235305592417717,0.0033477195538580418,0.005319458184303969,1.2643570769452432,1.2590376187609393,-0.0946805418156954,0.00016927719116210938,0.005319458184303969,0.1001692771911622,0.0999999999999971,0.0999999999999971,-0.0946805418156954,0.00016927719116219264,0.007385249988458748,0.0,0.0017698961844412337,0.0372969512935283,8.771876912117003,0.005319458184303969,0.1001692771911622,1.0718769121170144,0.15,0.15,0.673469387755102,0.85,0.0,,0,0.8746753246753247,0.12532467532467528,0.12532467532467528,0.0,0.0,0.38341968911917096,0.30569948186528495,0.31088082901554404,0.38341968911917096,0.30569948186528495,0.31088082901554404,0.4942990902782975,0.8515853881835938,1.9595251480738323,0.019394101582292933,0.11086513831590612,-0.0015248565954000999,2.4081431329250336,1.1790323853492737,1.743980052570502,1.9595251480738323,-1.9595251480738323,0.1253246753246753,0.12532552083333334,193,1540,-1.848861813545227,8.466229438781738,0.3201808153341214,4.339813401301702,3.4467711647351584,0.6257719844579697,0.46697227175657946,0,1.0,1.0,0.24210526315789468,4.600000000000003,21684415.488735314,1.0,0.0,0.2190200333718553,0.02950427919480985,0.2485243125666652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00023611130785781235,0.0,0.4965905598352675,0.06493506493506493,1.0,False,0.0,0.0,0.0
8,85,6.848206043243408,42,True,False,idle,idle,terminated,0.0,8.499999999999986,10.196136474609375,2.2000000000000006,20,True,2.709813931438731,2.2196485879841252,1993284363.9359124,-0.01614251015606367,-5.932405793812704e-05,-0.0015493803933787664,0.0,0.0,-0.008720026823102264,-0.012898117233094569,-0.002161814405619678,0.43078071750477975,0.004510559308389978,0.0015831280263610009,0.04134692752829576,0.0,0.0,0.5217786676321735,1.3491904642115582e-11,0.0,0.0,1.083545666386021e-11,0.0,0.8210089802742004,0.800000011920929,0.17383649945259094,0.20000000298023224,0.800000011920929,0.9190476298332213,0.0,0.030927835051546393,0.027154089882969856,97,0.0,0.0,0.0,70,2,0.02857142857142857,2,20,20,235,-0.002161813899874687,-0.0016292216023430228,0.0008478558040224015,-0.023428579792380333,0.03834928572177887,0.0032291060779243708,0.003546275776975062,1.8695376977640024,1.8659914219870262,-0.09645372422302453,0.0001506805419921875,0.003546275776975062,0.10015068054199205,0.09999999999999684,0.09999999999999684,-0.09645372422302455,0.00015068054199204872,0.006104427346890735,0.0,0.0019337641497197608,0.03589703034921948,10.196136474609375,0.003546275776975062,0.10015068054199205,1.6961364746093892,0.05,0.05,0.39148936170212767,0.95,0.0,,0,0.92,0.07999999999999996,0.07999999999999996,0.0,0.0,0.2867647058823529,0.2426470588235294,0.47058823529411764,0.2867647058823529,0.2426470588235294,0.47058823529411764,0.49821892107569576,0.8668483585119248,2.1292836105122284,0.014198594096609774,0.12413326278328896,-0.004590661121148835,2.1950462495579437,1.0673811067553127,1.645156527266783,2.1292836105122284,-2.1292836105122284,0.08,0.07858455882352941,136,1700,-2.7226028442382812,12.021839141845703,-0.4396872489767916,5.509963680716122,2.482497636009665,0.6400969799827126,0.24541583925704746,0,1.0,1.0,0.3027244582043344,5.7517647058823504,28331398.413659044,1.0,0.0,0.3216153519376141,0.031182459578393402,0.3527978115160074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001690227683981813,0.0,0.49886849103632436,0.011764705882352941,0.0,False,0.0,0.0,0.0
9,73,5.61029052734375,42,True,False,idle,idle,terminated,0.0,7.29999999999999,8.914823594093322,1.7000000000000004,20,True,2.779258917987801,2.4017959478831696,2223950973.934897,-0.014907882206070063,-5.027398193413155e-05,-0.0019247745807405242,0.0,0.0,-0.01025868621643562,-0.010875442242333708,-0.0021134128458769347,0.433684724293099,0.007220173807717274,0.0014625187999770016,0.05599355574696821,0.0,0.0,0.5016390273522385,1.2974408006294347e-11,0.0,0.0,1.2251502763682698e-11,0.0,0.8546239137649536,0.800000011920929,0.14461278915405273,0.20000000298023224,0.8333333134651184,0.959935873746872,0.0,0.0,0.021451685577630997,131,0.0,0.0,0.0,115,1,0.008695652173913044,1,20,20,249,-0.0021134126000106335,-0.0015026569599285722,0.00043224751716479566,-0.01777823455631733,0.022953107953071594,0.002906914334744215,0.006525369833593254,1.8821871365259801,1.8756617666923818,-0.09347463016640638,0.00020074844360351562,0.006525369833593254,0.10020074844360405,0.09999999999999726,0.09999999999999726,-0.09347463016640638,0.00020074844360404298,0.009079184019840359,0.0,0.003421268935252106,0.036907913867952113,8.914823594093322,0.006525369833593254,0.10020074844360405,1.6148235940933322,0.05,0.05,0.6385542168674698,0.95,0.0,,0,0.8712328767123287,0.12876712328767126,0.12876712328767126,0.0,0.0,0.30319148936170215,0.34574468085106386,0.35106382978723405,0.30319148936170215,0.34574468085106386,0.35106382978723405,0.4886554625657135,0.8474783301353455,1.9299484157562257,0.034488325668498875,0.2003128570318222,0.004514566510915756,1.581854257583618,0.77228231549263,1.0361163926124572,1.9299484157562257,-1.9299484157562257,0.12876712328767123,0.1275,188,1460,-3.700380325317383,7.140557765960693,-1.1909806537628174,5.09351469039917,0.7848804557323455,0.4968640899658203,0.5767582381796091,0,1.0,1.0,0.27404470079307863,5.206849315068489,19740596.73210238,1.0,0.0,0.24487276378051612,0.03217218493559984,0.27704494871611607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002481929719988393,0.0,0.49296794083696627,0.0684931506849315,0.0,False,0.0,0.0,0.0
10,190,13.130233764648438,42,True,False,idle,idle,terminated,0.0,19.0,19.819470977783205,2.5000000000000013,20,True,2.871219097268748,2.3300881559962416,2069288727.7471046,-0.015324555536552225,-2.1862883226560206e-05,-0.0005668209334731309,0.0,0.0,-0.0058382566426521424,-0.013259804216135327,-0.0019098060858787408,0.7035506954966024,0.0013883208874550133,0.0010037254694218725,0.026022762031555492,0.0,0.0,0.2680344961149651,9.818023997965053e-12,0.0,0.0,4.441350499179153e-12,0.0,0.8617364168167114,0.800000011920929,0.13586267828941345,0.20000000298023224,0.8333333134651184,0.9677419066429138,0.0,0.0,0.01810016669332981,119,0.0,0.0,0.0,104,1,0.009615384615384616,1,20,20,216,-0.0019098060438409448,-0.0015606326051056385,-0.0007863936363719405,-0.02032059244811535,0.0032503074035048485,0.002003646921366453,0.005089689791203585,0.8884359337844344,0.8833462439932308,-0.09491031020879798,0.0,0.005089689791203585,0.10000000000000009,0.10000000000000471,0.10000000000000471,-0.09491031020879798,8.326672684688674e-17,0.0009039467869614104,0.0,0.00020302659185407153,0.03374763187018323,19.819470977783205,0.005089689791203585,0.10000000000000009,0.8194709777832045,0.0,0.0,0.7407407407407407,1.0,0.0,,0,0.9523684210526315,0.04763157894736847,0.04763157894736847,0.0,0.0,0.3425414364640884,0.36464088397790057,0.292817679558011,0.3425414364640884,0.36464088397790057,0.292817679558011,0.4973665356061321,0.8633193612098693,1.797227095155155,0.0018932027194429846,0.17492443980539546,-0.021980709752396625,2.2116246223449707,1.0622648807132946,1.8014628466437845,1.797227095155155,-1.797227095155155,0.04763157894736842,0.04848345588235294,181,3800,5.5219573974609375,9.89081859588623,-3.5082225238575653,4.747089820749619,0.30414826510583653,0.7672309244380278,0.15754297996104202,0,1.0,1.0,0.25772853185595557,4.896842105263155,26179355.75342382,1.0,0.0,0.19519337224034045,0.03230962335330499,0.22750299559364556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0240039102431052e-05,0.0,0.49829864339817215,0.02631578947368421,0.0,False,0.0,0.0,0.0
