file,title
algo_deep_01_core_convergence.png,核心收敛指标
algo_deep_02_policy_distribution.png,卸载决策占比
algo_deep_03_reward_ratio.png,奖励分量占比
algo_deep_04_reward_terms.png,奖励分量原值
algo_deep_05_latency_completion.png,时延与完成相关指标
algo_deep_06_power_energy.png,功率与能耗
algo_deep_07_interference.png,干扰与外部性
algo_deep_08_trust_uncertainty.png,信誉与不确定性
algo_deep_09_constraints.png,约束与口径
algo_deep_10_candidate_diagnostics.png,候选与可行性诊断
algo_deep_11_training_diagnostics.png,训练稳定性诊断
algo_deep_12_phase_boxplots.png,分阶段箱线图
algo_deep_13_correlation_heatmap.png,关键指标相关性热图
algo_deep_14_tail_hist.png,尾段分布直方图
deep_window_summary.csv,window统计
deep_phase_summary.csv,phase统计
deep_last200_stability.csv,stability统计
deep_sanity_checks.csv,sanity统计
deep_report_cn.md,文字报告
