episode,step,veh_id,target,power,reward,q_len
1,12,6,12,0.770,-0.052,0
1,12,7,7,0.375,-0.052,0
1,12,8,9,0.259,-0.052,0
1,12,9,3,0.239,-0.052,0
1,12,10,3,0.770,-0.052,0
1,12,11,1,0.625,-0.052,0
1,13,0,5,0.419,-0.003,0
1,13,1,6,0.669,-0.003,0
1,13,2,1,0.707,-0.003,0
1,13,3,7,0.855,-0.003,0
1,13,4,6,0.711,-0.003,0
1,13,5,4,0.691,-0.003,0
1,13,6,10,0.725,-0.003,0
1,13,7,5,0.550,-0.003,0
1,13,8,12,0.844,-0.003,0
1,13,9,7,0.479,-0.003,0
1,13,10,12,0.381,-0.003,0
1,13,11,7,0.656,-0.003,0
1,14,0,4,0.231,0.017,0
1,14,1,12,0.679,0.017,0
1,14,2,10,0.271,0.017,0
1,14,3,12,0.454,0.017,0
1,14,4,10,0.590,0.017,0
1,14,5,0,0.544,0.017,0
1,14,6,2,0.708,0.017,0
1,14,7,11,0.014,0.017,0
1,14,8,7,0.822,0.017,0
1,14,9,4,0.253,0.017,0
1,14,10,2,0.315,0.017,0
1,14,11,12,0.325,0.017,0
1,15,0,2,0.116,-0.016,0
1,15,1,0,0.334,-0.016,0
1,15,2,12,0.079,-0.016,0
1,15,3,8,0.905,-0.016,0
1,15,4,4,0.591,-0.016,0
1,15,5,12,0.613,-0.016,0
1,15,6,11,0.816,-0.016,0
1,15,7,0,0.691,-0.016,0
1,15,8,1,0.417,-0.016,0
1,15,9,11,0.087,-0.016,0
1,15,10,9,0.388,-0.016,0
1,15,11,5,0.622,-0.016,0
1,16,0,0,0.454,-0.204,0
1,16,1,6,0.965,-0.204,0
1,16,2,4,0.269,-0.204,0
1,16,3,6,0.566,-0.204,0
1,16,4,1,0.322,-0.204,0
1,16,5,12,0.104,-0.204,0
1,16,6,12,0.427,-0.204,0
1,16,7,6,0.453,-0.204,0
1,16,8,4,0.664,-0.204,0
1,16,9,1,0.322,-0.204,0
1,16,10,0,0.161,-0.204,0
1,16,11,10,0.718,-0.204,0
1,17,0,11,0.598,-0.315,0
1,17,1,12,0.292,-0.315,0
1,17,2,8,0.596,-0.315,0
1,17,3,2,0.833,-0.315,0
1,17,4,8,0.319,-0.315,0
1,17,5,9,0.416,-0.315,0
1,17,6,12,0.399,-0.315,0
1,17,7,3,0.373,-0.315,0
1,17,8,11,0.349,-0.315,0
1,17,9,5,0.858,-0.315,0
1,17,10,5,0.402,-0.315,0
1,17,11,10,0.464,-0.315,0
1,18,0,5,0.420,-0.011,0
1,18,1,11,0.254,-0.011,0
1,18,2,2,0.715,-0.011,0
1,18,3,12,0.691,-0.011,0
1,18,4,3,0.573,-0.011,0
1,18,5,1,0.448,-0.011,0
1,18,6,2,0.416,-0.011,0
1,18,7,4,0.379,-0.011,0
1,18,8,10,0.797,-0.011,0
1,18,9,2,0.370,-0.011,0
1,18,10,6,0.862,-0.011,0
1,18,11,2,0.511,-0.011,0
1,19,0,3,0.789,0.001,0
1,19,1,2,0.792,0.001,0
1,19,2,7,0.100,0.001,0
1,19,3,11,0.533,0.001,0
1,19,4,10,0.311,0.001,0
1,19,5,5,0.071,0.001,0
1,19,6,2,0.377,0.001,0
1,19,7,6,0.209,0.001,0
1,19,8,1,0.571,0.001,0
1,19,9,6,0.804,0.001,0
1,19,10,3,0.516,0.001,0
1,19,11,1,0.652,0.001,0
1,20,0,0,0.753,-0.192,0
1,20,1,9,0.494,-0.192,0
1,20,2,8,0.375,-0.192,0
1,20,3,9,0.537,-0.192,0
1,20,4,12,0.286,-0.192,0
1,20,5,10,0.772,-0.192,0
1,20,6,5,0.369,-0.192,0
1,20,7,5,0.189,-0.192,0
1,20,8,1,0.569,-0.192,0
1,20,9,4,0.746,-0.192,0
1,20,10,11,0.640,-0.192,0
1,20,11,5,0.670,-0.192,0
1,21,0,9,0.702,-0.032,0
1,21,1,5,0.815,-0.032,0
1,21,2,9,0.601,-0.032,0
1,21,3,11,0.173,-0.032,0
1,21,4,7,0.757,-0.032,0
1,21,5,5,0.392,-0.032,0
