phase,method,policy,metric_id,metric_cn,direction,mean,std,n
前期,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.4817069855944834,0.016570443724468843,333
后期,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.16743443911477432,2.7797219413414745e-17,334
后期,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.20474497763415217,2.7797219413414745e-17,334
后期,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,334
后期,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.16199036068297737,2.7797219413414745e-17,334
后期,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,334
后期,Random,Random,power_ratio_mean,远端功率比例,lower,0.6069709210970852,0.0,334
后期,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,334
后期,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.44833024942754746,0.017706455020910276,334
中期,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-2.4321288049140546,0.0,333
中期,EFT,EFT,reward_mean,平均步奖励,higher,-2.255059471339274,0.0,333
中期,Greedy,Greedy,reward_mean,平均步奖励,higher,-0.016660086345029402,3.474668094037572e-18,333
中期,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,-1.3656041700172847,0.0,333
中期,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.3285329683760716,0.0,333
中期,Random,Random,reward_mean,平均步奖励,higher,-6.495478220202756,0.0,333
中期,Static,Static,reward_mean,平均步奖励,higher,-0.09511871396574959,1.389867237615029e-17,333
中期,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-0.007802023473494291,0.015804053384971692,333
前期,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-2.76449255589395,1.0549362122663644,333
前期,EFT,EFT,reward_mean,平均步奖励,higher,-2.5207265225245727,0.8822584424605247,333
前期,Greedy,Greedy,reward_mean,平均步奖励,higher,-0.01368351700633335,0.009588693152021334,333
前期,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,-1.9892984312621087,1.2049935283847353,333
前期,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.32646497010384906,0.045192250115269866,333
前期,Random,Random,reward_mean,平均步奖励,higher,-6.892454597125465,1.4642096521765096,333
前期,Static,Static,reward_mean,平均步奖励,higher,-0.08670905201103403,0.0285523550413549,333
前期,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-2.3279499652970377,2.935968831189302,333
后期,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-2.432128804914054,4.447555106146359e-16,334
后期,EFT,EFT,reward_mean,平均步奖励,higher,-2.255059471339274,0.0,334
后期,Greedy,Greedy,reward_mean,平均步奖励,higher,-0.016660086345029402,3.474652426676843e-18,334
后期,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,-1.3656041700172847,0.0,334
后期,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.3285329683760716,0.0,334
后期,Random,Random,reward_mean,平均步奖励,higher,-6.495478220202757,8.895110212292718e-16,334
后期,Static,Static,reward_mean,平均步奖励,higher,-0.0951187139657496,0.0,334
后期,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-0.00525497788219004,0.016953562546083736,334
中期,CP-EFT,CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.3235294222831726,0.0,333
中期,EFT,EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.5,0.0,333
中期,Greedy,Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.4159291982650757,0.0,333
中期,LB-Greedy,LB-Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.5,0.0,333
中期,Local-Only,Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,0.0,0.0,333
中期,Random,Random,rho_selected_p10,远端信誉分位数(p10),higher,0.5,0.0,333
中期,Static,Static,rho_selected_p10,远端信誉分位数(p10),higher,0.6666666865348816,0.0,333
中期,当前算法(MAPPO),MAPPO,rho_selected_p10,远端信誉分位数(p10),higher,0.562171026214107,0.1338291849877108,333
前期,CP-EFT,CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.3735008517632613,0.07784206532885246,333
前期,EFT,EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.48515974723540983,0.04412474803648353,333
前期,Greedy,Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.46997716852852534,0.11679651419478915,333
前期,LB-Greedy,LB-Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.48830008667868535,0.04042948618549256,333
前期,Local-Only,Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,0.0,0.0,333
前期,Random,Random,rho_selected_p10,远端信誉分位数(p10),higher,0.4894161267323537,0.037442855299219535,333
前期,Static,Static,rho_selected_p10,远端信誉分位数(p10),higher,0.6416452042870335,0.09795135697667687,333
前期,当前算法(MAPPO),MAPPO,rho_selected_p10,远端信誉分位数(p10),higher,0.4863133339463054,0.09268979565211184,333
后期,CP-EFT,CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.3235294222831726,0.0,334
后期,EFT,EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.5,0.0,334
后期,Greedy,Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.4159291982650757,0.0,334
后期,LB-Greedy,LB-Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.5,0.0,334
后期,Local-Only,Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,0.0,0.0,334
后期,Random,Random,rho_selected_p10,远端信誉分位数(p10),higher,0.5,0.0,334
后期,Static,Static,rho_selected_p10,远端信誉分位数(p10),higher,0.6666666865348816,0.0,334
后期,当前算法(MAPPO),MAPPO,rho_selected_p10,远端信誉分位数(p10),higher,0.5634738079935848,0.1408832227495068,334
中期,CP-EFT,CP-EFT,subtask_success_rate,子任务成功率,higher,76.13365155131265,0.0,333
中期,EFT,EFT,subtask_success_rate,子任务成功率,higher,70.64439140811454,1.4232240513177896e-14,333
中期,Greedy,Greedy,subtask_success_rate,子任务成功率,higher,96.89737470167061,1.4232240513177896e-14,333
