baseline,metric_id,metric_cn,direction,n_total,n_effective,wins,losses,ties,win_rate,p_value_sign_test,mean_oriented_diff,median_oriented_diff
CP-EFT,deadline_miss_rate,超时失败率,lower,1000,969,800,169,31,0.8255933952528379,9.929274490744025e-99,29.92000000000001,40.00000000000001
EFT,deadline_miss_rate,超时失败率,lower,1000,974,854,120,26,0.8767967145790554,4.391366049236925e-137,43.345,55.0
Greedy,deadline_miss_rate,超时失败率,lower,1000,948,495,453,52,0.5221518987341772,0.1829559902161305,-10.4,0.0
LB-Greedy,deadline_miss_rate,超时失败率,lower,1000,986,877,109,14,0.8894523326572008,1.0537516300936013e-149,48.2,60.0
Local-Only,deadline_miss_rate,超时失败率,lower,1000,969,684,285,31,0.7058823529411765,1.671389085933203e-38,7.025,20.0
Random,deadline_miss_rate,超时失败率,lower,1000,957,957,0,43,1.0,1.6418147205193146e-288,72.75,85.0
Static,deadline_miss_rate,超时失败率,lower,1000,830,231,599,170,0.2783132530120482,2.0313929759868408e-38,-19.045,-10.0
CP-EFT,mean_cft_est,平均完工时间估计,lower,1000,1000,865,135,0,0.865,6.273045024473685e-131,8.236965402517336,10.114217514991783
EFT,mean_cft_est,平均完工时间估计,lower,1000,1000,895,105,0,0.895,6.80215902392263e-157,8.763132336616538,10.560372014045743
Greedy,mean_cft_est,平均完工时间估计,lower,1000,1000,626,374,0,0.626,1.4717919244490426e-15,-0.9620768723964783,0.9730698156356778
LB-Greedy,mean_cft_est,平均完工时间估计,lower,1000,1000,905,95,0,0.905,2.003111897284369e-166,8.875196974887864,10.680965867042563
Local-Only,mean_cft_est,平均完工时间估计,lower,1000,1000,772,228,0,0.772,1.1237075651428601e-69,1.3070935662269516,3.1912963819503775
Random,mean_cft_est,平均完工时间估计,lower,1000,1000,984,16,0,0.984,8.0377221628271e-267,11.818446614446655,13.779984612464926
Static,mean_cft_est,平均完工时间估计,lower,1000,1000,482,518,0,0.482,0.2683726998590505,-1.7799810122871496,-0.0999247884750405
CP-EFT,power_ratio_mean,远端功率比例,lower,1000,1000,0,1000,0,0.0,1.8665272370065654e-301,-0.29383927724754966,-0.2946822912862578
EFT,power_ratio_mean,远端功率比例,lower,1000,1000,0,1000,0,0.0,1.8665272370065654e-301,-0.25861670317516794,-0.25857334237743046
Greedy,power_ratio_mean,远端功率比例,lower,1000,1000,1000,0,0,1.0,1.8665272370065654e-301,0.5412249402436223,0.5388254962870631
LB-Greedy,power_ratio_mean,远端功率比例,lower,1000,1000,0,1000,0,0.0,1.8665272370065654e-301,-0.2940744350758528,-0.29624368552787317
Local-Only,power_ratio_mean,远端功率比例,lower,1000,1000,0,1000,0,0.0,1.8665272370065654e-301,-0.45877505975637767,-0.46117450371293695
Random,power_ratio_mean,远端功率比例,lower,1000,1000,1000,0,0,1.0,1.8665272370065654e-301,0.14731663200976017,0.14489070439497637
Static,power_ratio_mean,远端功率比例,lower,1000,1000,1000,0,0,1.0,1.8665272370065654e-301,0.5412249402436223,0.5388254962870631
CP-EFT,reward_mean,平均步奖励,higher,1000,1000,899,101,0,0.899,1.196022946358718e-160,1.7632453591171215,2.418146649088112
EFT,reward_mean,平均步奖励,higher,1000,1000,890,110,0,0.89,2.6488501413742943e-152,1.5639660245107394,2.2409373735862856
Greedy,reward_mean,平均步奖励,higher,1000,1000,520,480,0,0.52,0.2174482932040989,-0.763891686117995,0.0022082272918050984
