window,method,policy,metric_id,metric_cn,direction,mean,std,p10,p50,p90,ci95_low,ci95_high,n,rank
末100,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,11.33592985239027,2.014605270262882,8.990617335319502,10.913370976448043,14.19081600379942,10.960229507653695,11.732502528197749,100,1.0
末100,Static,Static,mean_cft_est,平均完工时间估计,lower,11.682565803527803,3.570611593983174e-15,11.682565803527806,11.682565803527806,11.682565803527806,11.682565803527803,11.682565803527803,100,2.0
末100,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,12.755560407638525,0.0,12.755560407638525,12.755560407638525,12.755560407638525,12.755560407638525,12.755560407638525,100,3.0
末100,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,14.97378697395323,5.355917390974761e-15,14.973786973953224,14.973786973953224,14.973786973953224,14.97378697395323,14.97378697395323,100,4.0
末100,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,21.896708106994623,7.141223187966347e-15,21.89670810699463,21.89670810699463,21.89670810699463,21.896708106994623,21.896708106994623,100,5.0
末100,EFT,EFT,mean_cft_est,平均完工时间估计,lower,22.342862606048588,3.570611593983174e-15,22.34286260604859,22.34286260604859,22.34286260604859,22.342862606048588,22.342862606048588,100,6.0
末100,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,22.463456459045414,3.570611593983174e-15,22.46345645904541,22.46345645904541,22.46345645904541,22.463456459045414,22.463456459045414,100,7.0
末100,Random,Random,mean_cft_est,平均完工时间估计,lower,25.562475204467773,0.0,25.562475204467773,25.562475204467773,25.562475204467773,25.562475204467773,25.562475204467773,100,8.0
末300,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,11.38888203538257,1.8438664001770375,9.207908988952623,11.048148584365823,13.949753590583786,11.183143315575897,11.608538664351284,300,1.0
末300,Static,Static,mean_cft_est,平均完工时间估计,lower,11.682565803527808,1.779324856239247e-15,11.682565803527806,11.682565803527806,11.682565803527806,11.682565803527808,11.682565803527808,300,2.0
末300,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,12.755560407638525,0.0,12.755560407638525,12.755560407638525,12.755560407638525,12.755560407638525,12.755560407638525,300,3.0
末300,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,14.973786973953226,1.779324856239247e-15,14.973786973953224,14.973786973953224,14.973786973953224,14.973786973953226,14.973786973953226,300,4.0
末300,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,21.896708106994627,3.558649712478494e-15,21.89670810699463,21.89670810699463,21.89670810699463,21.896708106994627,21.896708106994627,300,5.0
末300,EFT,EFT,mean_cft_est,平均完工时间估计,lower,22.342862606048588,3.558649712478494e-15,22.34286260604859,22.34286260604859,22.34286260604859,22.342862606048588,22.342862606048588,300,6.0
末300,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,22.463456459045403,7.117299424956988e-15,22.46345645904541,22.46345645904541,22.46345645904541,22.463456459045403,22.463456459045403,300,7.0
