episode,approx_kl__lr_c=2e-4__raw,approx_kl__lr_c=2e-4__smooth,approx_kl__lr_c=2e-4__band_low,approx_kl__lr_c=2e-4__band_high,approx_kl__lr_c=3e-4__raw,approx_kl__lr_c=3e-4__smooth,approx_kl__lr_c=3e-4__band_low,approx_kl__lr_c=3e-4__band_high,approx_kl__lr_c=5e-4__raw,approx_kl__lr_c=5e-4__smooth,approx_kl__lr_c=5e-4__band_low,approx_kl__lr_c=5e-4__band_high,entropy__lr_c=2e-4__raw,entropy__lr_c=2e-4__smooth,entropy__lr_c=2e-4__band_low,entropy__lr_c=2e-4__band_high,entropy__lr_c=3e-4__raw,entropy__lr_c=3e-4__smooth,entropy__lr_c=3e-4__band_low,entropy__lr_c=3e-4__band_high,entropy__lr_c=5e-4__raw,entropy__lr_c=5e-4__smooth,entropy__lr_c=5e-4__band_low,entropy__lr_c=5e-4__band_high,clip_frac__lr_c=2e-4__raw,clip_frac__lr_c=2e-4__smooth,clip_frac__lr_c=2e-4__band_low,clip_frac__lr_c=2e-4__band_high,clip_frac__lr_c=3e-4__raw,clip_frac__lr_c=3e-4__smooth,clip_frac__lr_c=3e-4__band_low,clip_frac__lr_c=3e-4__band_high,clip_frac__lr_c=5e-4__raw,clip_frac__lr_c=5e-4__smooth,clip_frac__lr_c=5e-4__band_low,clip_frac__lr_c=5e-4__band_high
1,0.008530408819206,,,,0.0086552518652752,,,,0.0162446456379257,,,,2.06058452129364,,,,2.1225213527679445,,,,2.0956697940826414,,,,0.03671875,,,,0.028125,,,,0.133203125,,,
2,0.0032046373933553,,,,0.0057296810671687,,,,0.0136775948107242,,,,1.9419595003128052,,,,1.9661673069000245,,,,1.9571834087371829,,,,0.01328125,,,,0.040625,,,,0.0515625,,,
3,0.006867683554689,,,,0.0058058108358333,,,,0.0145028565389414,,,,1.7581300894419352,,,,1.7721515814463298,,,,1.8265850782394408,,,,0.03125,,,,0.0734375,,,,0.0997395833333333,,,
4,0.0052175625072171,,,,0.0033430061458299,,,,0.0120596712144712,,,,1.751376247406006,,,,1.97512636979421,,,,1.9582981189092,,,,0.0325520833333333,,,,0.04921875,,,,0.0932291666666666,,,
5,0.0119813029654324,,,,0.0078642156440764,,,,0.005448875867296,,,,1.8121445178985596,,,,2.069858741760254,,,,2.1003570556640625,,,,0.03046875,,,,0.055078125,,,,0.063671875,,,
6,0.0079546787776052,,,,0.0030358984135091,,,,0.0152141962200403,,,,1.818555188179016,,,,1.995378589630127,,,,2.098809576034546,,,,0.03125,,,,0.046875,,,,0.075,,,
7,0.0033707068534567,,,,0.0048023149371147,,,,0.0066858974751085,,,,1.921553421020508,,,,1.9453117609024049,,,,2.1272786140441893,,,,0.033000000193715,,,,0.0484375,,,,0.06171875,,,
8,0.0047058223513886,,,,0.0110370781039819,,,,0.0052725130226463,,,,1.778612732887268,,,,1.831954050064087,,,,2.073288655281067,,,,0.055078125,,,,0.041015625,,,,0.074609375,,,
9,-0.0004876264836639,,,,0.0065766921266913,,,,0.0018618235364556,,,,1.729347324371338,,,,1.7576387524604795,,,,2.129145860671997,,,,0.038671875,,,,0.028125,,,,0.069140625,,,
10,0.014669477706775,,,,0.0127275985199958,,,,0.0104996236506849,,,,1.6508266568183898,,,,1.7073520064353942,,,,2.0298325538635256,,,,0.040234375,,,,0.047265625,,,,0.05625,,,
11,0.0079324961290694,,,,0.0069287856807932,,,,0.0044157954631373,,,,1.6654640316963196,,,,1.6090970993041993,,,,2.05657901763916,,,,0.076171875,,,,0.038671875,,,,0.070703125,,,
12,0.0100527912843972,0.006999995154910667,0.002852971551210704,0.01114701875861063,0.0088700854917988,0.007114701569339025,0.004205921158765851,0.010023481979912199,0.0133593437960371,0.009936903102789042,0.005008584715527762,0.014865221490050321,1.7738289833068848,1.805198601219389,1.6870293792655182,1.9233678231732598,1.6720962285995484,1.8687211533387502,1.7028296951521786,2.0346126115253216,2.2796223402023315,2.0610541727807785,1.948872978320798,2.173235367240759,0.091015625,0.042474392377254026,0.020858330978508137,0.06409045377599992,0.046484375,0.04527994791666667,0.03324070090954612,0.05731919492378722,0.111328125,0.08001302083333332,0.05550204682720683,0.10452399483945982
13,0.0129435370326973,0.007457190683971177,0.003158119255687832,0.011756262112254522,0.019249374512583,0.008048137949588561,0.003679744075232674,0.012416531823944449,0.0071628829464316,0.009723516936915392,0.0049426976757858225,0.014504336198044962,1.6881157875061037,1.796192230933752,1.6784858486083343,1.9138986132591695,1.5140392422676086,1.841437929410201,1.6546131168785463,2.0282627419418557,2.084539008140564,2.062860698577685,1.9552580592721869,2.1704633378831835,0.081640625,0.04548717950208064,0.02211378032191725,0.06886057868224402,0.061328125,0.04651442307692308,0.03415821321708497,0.05887063293676119,0.1171875,0.08287259615384614,0.057240089136138275,0.108505103171554
14,0.009882169123739,0.007630403429668879,0.0034494515229181308,0.011811355336419627,0.0045494779013097,0.007798233660425785,0.0034983170916541772,0.012098150229197392,0.0207146402448415,0.010508597173195829,0.005056352246862115,0.015960842099529544,1.6474670886993408,1.7855690064884369,1.665698327245642,1.9054396857312317,1.501446533203125,1.8171528296811241,1.6159679641659286,2.0183376951963194,2.2046993732452393,2.0729920324825106,1.9628798063452007,2.183104258619821,0.0625,0.04670238096621774,0.02379025530896367,0.06961450662347181,0.0484375,0.04665178571428571,0.034769202690450446,0.05853436873812097,0.103125,0.08431919642857143,0.05910447587957142,0.10953391697757144
