episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,act_seconds,makespan_seconds,task_duration_mean,task_duration_p95,deadline_miss_rate,deadline_meet_ratio,time_limit_rate,energy_mean,energy_p95,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,Random,-0.0020848824044888015,-0.41697648089776035,0.0,0.0,0.4067796610169492,0.5666666666666667,0.14625,0.1585,0.69525,0.14625,0.1585,0.69525,0.6612059740604546,0.6031695157369886,0.9625622838885903,20.000000000000014,21.700641632080078,0.0,0.0,20.000000000000014,0.0,0.0,1.0,0.0,1.0,0.004088137574235112,0.0,0.0,0.96425,0.03574999999999995,0.03574999999999995,0.0,5.626032192201924e-12,0.0,6.871691580421493e-15,2.1766004797141303e-12,0.0,0.8263705372810364,0.800000011920929,0.006620978470891714,,,,,0.1725791096687317,0.20000000298023224,119,0.0,0.0,0.0,80,1,0.0125,1,0.0795,0.0
1,Local-Only,-0.001684551448663171,-0.09096577822781123,0.15,0.15,0.7161016949152542,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.399999999999997,6.292983608245849,2.3250000000000006,2.3250000000000006,5.399999999999997,2.3250000000000006,2.685000000000001,0.85,0.15000000000000002,0.0,0.0,0.0,0.0,0.8157407407407408,0.18425925925925923,0.18425925925925923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.112962962962963,0.0
1,Greedy,0.055670019276680645,1.4474205011936967,0.95,0.95,0.9788135593220338,1.0,0.5596153846153846,0.43653846153846154,0.0038461538461538464,0.5596153846153846,0.43653846153846154,0.0038461538461538464,1.0,1.0,1.0,2.600000000000001,2.624390335083009,1.6210526315789477,1.6210526315789477,2.600000000000001,1.6210526315789477,2.1100000000000003,0.05,0.95,0.0,0.1620606770445961,0.9976311574844399,0.0,0.5557692307692308,0.4442307692307692,0.4442307692307692,0.0,1.8813411939433422e-10,7.472978486022797e-11,9.766452091497513e-10,1.8526709333333002e-10,7.924793044011835e-10,0.9289480447769165,0.800000011920929,0.01205369271337986,,,,,0.07105201482772827,0.20000000298023224,229,0.0,0.0,0.0,229,0,0.0,0,0.0,3.769230769230769
1,Oracle-Min,0.03402766911838618,0.9527747353148129,0.85,0.85,0.9830508474576272,1.0,0.5928571428571429,0.3821428571428571,0.025,0.5928571428571429,0.3821428571428571,0.025,0.40714285714285714,1.0,1.0,2.800000000000001,2.8242665624618546,1.8631578947368428,1.8631578947368428,2.800000000000001,1.8631578947368428,2.5300000000000002,0.15,0.85,0.0,0.14848980271472564,0.9976311574844399,0.0,0.5839285714285715,0.41607142857142854,0.41607142857142854,0.0,1.7921789052799397e-10,5.485816662043064e-11,9.432562508848719e-10,1.7078352620991666e-10,7.665859613759096e-10,0.9222912788391113,0.800000011920929,0.010965419001877308,,,,,0.07661228626966476,0.20000000298023224,228,0.0,0.0,0.0,228,1,0.0043859649122807015,1,0.010714285714285714,2.607142857142857
1,EFT,0.03616147997361141,0.9763599592875081,0.85,0.85,0.9788135593220338,1.0,0.5796296296296296,0.387037037037037,0.03333333333333333,0.5796296296296296,0.387037037037037,0.03333333333333333,0.001470176942712405,0.003497337220549334,0.0,2.700000000000001,2.724411895275117,1.8631578947368423,1.8631578947368423,2.700000000000001,1.8631578947368423,2.6100000000000008,0.15,0.85,0.0,0.015545160833473208,0.09976311574844399,0.0,0.5703703703703704,0.4296296296296296,0.4296296296296296,0.0,2.8538145804835047e-11,7.128181291754521e-12,9.935816752681959e-11,1.7545676717078962e-11,8.420718983215281e-11,0.9213813543319702,0.800000011920929,0.009162001311779022,,,,,0.07861868292093277,0.20000000298023224,227,0.0,0.0,0.0,227,1,0.004405286343612335,1,0.022222222222222223,2.5185185185185186
1,CP-EFT,0.05523837354426817,1.270482591518168,0.95,0.95,0.9957627118644068,1.0,0.5847826086956521,0.36086956521739133,0.05434782608695652,0.5847826086956521,0.36086956521739133,0.05434782608695652,0.0016727878674387923,0.0040287037645122745,0.0,2.3000000000000007,2.3023429012298586,1.7684210526315793,1.7684210526315793,2.3000000000000007,1.7684210526315793,2.2100000000000004,0.05,0.95,0.0,0.0007629656363437793,0.0,0.0,0.48478260869565215,0.5152173913043478,0.5152173913043478,0.0,9.881673257439161e-11,0.0,5.061635555136945e-10,1.3417119845704484e-11,7.59822205154137e-11,0.9085587859153748,0.800000011920929,0.009751037694513798,,,,,0.09144117683172226,0.20000000298023224,191,0.0,0.0,0.0,190,1,0.005263157894736842,1,0.14565217391304347,2.0869565217391304
1,LB-Greedy,0.03635694084085632,1.0179943435439769,0.85,0.85,0.9788135593220338,1.0,0.5928571428571429,0.38035714285714284,0.026785714285714284,0.5928571428571429,0.38035714285714284,0.026785714285714284,0.0010727651331425506,0.0026348617305255633,0.0,2.800000000000001,2.824411890506746,1.847368421052632,1.847368421052632,2.800000000000001,1.847368421052632,2.6200000000000006,0.15,0.85,0.0,0.015167842836828508,0.09976311574844399,0.0,0.5839285714285715,0.41607142857142854,0.41607142857142854,0.0,2.5868729033873272e-11,5.637383788947847e-12,9.742719131455857e-11,1.7016232173316936e-11,7.773720556158992e-11,0.9216811656951904,0.800000011920929,0.007726962678134441,,,,,0.07777070254087448,0.20000000298023224,228,0.0,0.0,0.0,228,2,0.008771929824561403,2,0.0125,2.5714285714285716
1,Static,0.05048097519234443,1.312505355000955,0.85,0.85,0.9745762711864406,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.600000000000001,2.624975159168245,1.677777777777778,1.677777777777778,2.600000000000001,1.677777777777778,2.115,0.15,0.85,0.0,0.18971393165957676,0.9976311574844399,0.0,0.5557692307692308,0.4442307692307692,0.4442307692307692,0.0,1.8800457024514827e-10,7.615087727064207e-11,9.86612791464836e-10,1.8800457024514827e-10,8.002014051378126e-10,0.9338968396186829,0.800000011920929,0.00714127067476511,,,,,0.06610318273305893,0.20000000298023224,231,0.0,0.0,0.0,230,0,0.0,0,0.0,3.9615384615384617
2,Random,-0.0019983494548266095,-0.3996698909653219,0.0,0.0,0.39271255060728744,0.61,0.13075,0.14575,0.7235,0.13075,0.14575,0.7235,0.6507761515634247,0.5982469388132585,0.9616579730089337,20.000000000000014,21.568286895751953,0.0,0.0,20.000000000000014,0.0,0.0,1.0,0.0,1.0,0.004741318992344824,0.0,0.0,0.9635,0.03649999999999998,0.03649999999999998,0.0,7.938195998972997e-13,0.0,0.0,4.600731687981474e-13,0.0,0.8202417492866516,0.800000011920929,0.021272093057632446,,,,,0.1748058795928955,0.20000000298023224,125,0.0,0.0,0.0,86,4,0.046511627906976744,4,0.094,0.0
2,Local-Only,-0.001434173525807161,-0.06453780866132225,0.15,0.15,0.7004048582995951,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.5,5.267493796348572,2.233333333333334,2.233333333333334,4.5,2.233333333333334,2.480000000000001,0.85,0.15000000000000002,0.0,0.0,0.0,0.0,0.7788888888888889,0.22111111111111115,0.22111111111111115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.251111111111111,0.0
