episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,oracle_match_rate,oracle_match_eps_abs_rate,oracle_match_eps_rel_rate,action_regret_mean,action_regret_p95,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,-3.1931615104183324,-0.010965807552091662,0.5207702040672302,0.15,0.15,0.15,0.5968379446640316,0.711864406779661,0.3005464480874317,0.3770491803278688,0.3224043715846995,0.5021126648464705,0.09425,0.09425,0.18,0.802998292707796,3.6348895096917238,35.59322033898305,-55179560058.077965,0.3559322033898305,0.2831414580029453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8905415221940258,-2.744347987497698,1.737675756048323,20,20,7.881834983825684
2,,-3.2093295320669455,-0.011046647660334728,1.3622114956378937,0.15,0.15,0.15,0.6,0.7241379310344828,0.3448275862068966,0.3218390804597701,0.3333333333333333,0.5045496507460484,0.1235,0.1235,0.1,0.8080641616004527,3.597022307749409,46.55172413793103,-56081908860.4267,0.46551724137931033,0.31568987014475125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8612974514457183,-2.7357248563036904,2.020508891068342,20,20,7.657870054244995
3,,-3.4451359485825988,-0.012225679742912993,0.8124662836392721,0.1,0.1,0.1,0.5357142857142857,0.6111111111111112,0.4971751412429379,0.288135593220339,0.21468926553672316,0.5009141915945802,0.15925,0.15925,0.095,0.8292111631595017,6.05268617263732,39.473684210526315,-1.0278759750021236,0.39473684210526316,0.3692496513310182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0555411533499346,-4.997145019287386,2.2272322670586573,20,20,7.330044984817505
4,,-3.254354329033839,-0.011271771645169196,0.620243910609222,0.15,0.15,0.15,0.6138211382113821,0.7291666666666666,0.4725274725274725,0.26373626373626374,0.26373626373626374,0.5036297013697912,0.193,0.193,0.065,0.8426451999719939,2.905923149238242,41.66666666666667,-0.007465583379355462,0.4166666666666667,0.59132004432923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12385139677419688,-2.782071752464045,1.971451225283185,20,20,7.05993390083313
5,,-3.5502678173887667,-0.012751339086943834,4.736248731613159,0.05,0.05,0.05,0.4701195219123506,0.6222222222222222,0.47770700636942676,0.2356687898089172,0.28662420382165604,0.5041106849751668,0.12875,0.12875,0.09,0.9504419535918747,2.7827922356228627,26.666666666666668,-4.903459815964463,0.26666666666666666,0.46196965095004594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02624471476323837,-2.8090369503861012,1.5334790620313863,20,20,9.152807712554932
6,,-3.3899684011254463,-0.011949842005627232,4.1150249481201175,0.15,0.15,0.15,0.6084905660377359,0.782608695652174,0.45180722891566266,0.24096385542168675,0.3072289156626506,0.49949271299992687,0.1385,0.1385,0.08,0.8797922739201646,3.058089179930327,37.254901960784316,-29186613837.52451,0.37254901960784315,0.40156185611186807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27218795793708267,-2.785901221993244,1.8654987001608883,20,20,7.979902029037476
7,,-3.1965913645403115,-0.010982956822701557,1.833906352519989,0.15,0.15,0.15,0.6196581196581197,0.6923076923076923,0.4797687861271676,0.2947976878612717,0.2254335260115607,0.5065968482237658,0.202,0.202,0.11,0.7886940459886248,3.558560954436585,38.46153846153847,-20966559450.001083,0.38461538461538464,0.5892616103706524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8223833055925257,-2.736177648844059,1.7703183575766896,20,20,6.689306974411011
8,,-1.9945079753073425,-0.01917796130103214,0.830781888961792,0.2,0.2,0.2,0.7018348623853211,0.7837837837837838,0.5170454545454546,0.2727272727272727,0.21022727272727273,0.501378444830278,0.3504807692307692,0.3504807692307692,0.16346153846153846,0.7412167347128632,3.227837230168833,32.432432432432435,-3.2269975998424156,0.32432432432432434,0.6051480183870176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6085429631600164,-2.6192942670088164,2.146717923897528,20,20,3.6242260932922363
9,,-2.9578993713023265,-0.009789496856511632,1.1398982882499695,0.25,0.25,0.25,0.6976744186046512,0.8095238095238095,0.4685714285714286,0.2914285714285714,0.24,0.5041933484571055,0.1795,0.1795,0.12,0.7106874442455897,3.3367545692133165,61.904761904761905,-17429142553.100716,0.6190476190476191,0.42806507034470354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944341206664066,-2.7423204485469097,1.8603971041034129,20,20,6.990221738815308
10,,-2.831384021747562,-0.00915692010873781,10.62521211306254,0.3,0.3,0.3,0.6991525423728814,0.7380952380952381,0.5157894736842106,0.2631578947368421,0.22105263157894736,0.5087465953491628,0.15175,0.15175,0.115,0.6642076767117866,3.3118801998853833,45.23809523809524,-0.32919834855914865,0.4523809523809524,0.22377515933384798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46741862656537436,-2.844461573320009,2.0602962104761375,20,20,6.676241874694824
11,,-3.374129673061212,-0.01187064836530606,1.9408888052671383,0.1,0.1,0.1,0.592156862745098,0.6271186440677966,0.42473118279569894,0.25806451612903225,0.3172043010752688,0.5042784679145552,0.20825,0.20825,0.065,0.8769452834934699,3.278382374816063,30.508474576271187,-78.85574667676488,0.3050847457627119,0.45636156117722027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5282990432468527,-2.7500833315692104,1.8355247121177813,20,20,7.89801287651062
12,,-3.1611672819560623,-0.010805836409780311,7.738668262958527,0.15,0.15,0.15,0.5991735537190083,0.7727272727272727,0.41317365269461076,0.32335329341317365,0.2634730538922156,0.507678312155651,0.12875,0.12875,0.085,0.7723156639069331,3.7016626205201337,56.81818181818182,-9.233357722415464,0.5681818181818182,0.4252272656869027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9518982267309111,-2.749764393789223,2.1151293466993715,20,20,7.870678186416626
13,,-2.9372309200201325,-0.009686154600100663,0.5711910472466395,0.25,0.25,0.25,0.625531914893617,0.675,0.4913294797687861,0.2774566473988439,0.23121387283236994,0.5028192434273661,0.1795,0.1795,0.07,0.6902436968617227,3.720066775586499,40.0,-3.0269461588088333,0.4,0.6356415447729366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9440549087500358,-2.7760118668364635,1.608992653481491,20,20,7.99328088760376
14,,-3.5248848754917077,-0.012624424377458539,3.166285666552457,0.05,0.05,0.05,0.4851063829787234,0.5892857142857143,0.40268456375838924,0.2214765100671141,0.37583892617449666,0.4981175045698183,0.1205,0.1205,0.03,0.9364085549145826,3.0977984250001134,37.5,-97124916218.93436,0.375,0.33987761062151506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3375244726506328,-2.7602739523494804,1.9325518183089536,20,20,9.063114881515503
15,,-3.5107950100934318,-0.012553975050467158,0.7355905820926031,0.05,0.05,0.05,0.5984555984555985,0.6811594202898551,0.421875,0.21875,0.359375,0.49933908508549213,0.18625,0.18625,0.075,0.9265802119505173,3.34222322980496,40.57971014492754,-23.746300120103818,0.4057971014492754,0.4526575883720735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5616215201121212,-2.780601709692839,1.8464250414348995,20,20,8.545433044433594
16,,-3.3963418520496935,-0.011981709260248467,1.3634465237458546,0.1,0.1,0.1,0.5914893617021276,0.7169811320754716,0.43023255813953487,0.2616279069767442,0.3081395348837209,0.4960372696820123,0.20525,0.20525,0.09,0.8800195089274596,3.328856002258731,33.9622641509434,-27337119860.620125,0.33962264150943394,1.0101750717585802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4767037490535764,-2.8521522532051544,1.5760220312408084,20,20,10.580381870269775
17,,-2.8998782510951404,-0.009499391255475702,1.3017007738351822,0.25,0.25,0.25,0.6228813559322034,0.7543859649122807,0.44571428571428573,0.22857142857142856,0.32571428571428573,0.5046924132884014,0.17775,0.17775,0.06,0.6721450408361891,3.4226254786401937,49.122807017543856,-0.02478612766928902,0.49122807017543857,0.45952001077376153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624240125335728,-2.798385353304466,1.5219974767958404,20,20,7.788879871368408
