episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,avg_power,avg_queue_len,avg_rsu_queue
1,Greedy,-1.5806407053887406,-178.61239970892768,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,27.123893805309734
2,Greedy,-1.6411786120559568,-241.25325597222565,0.3,0.3,0.6816037735849056,0.0,0.0,1.0,0.0,1.0,0.0,21.98639455782313
3,Greedy,-1.6523471566522898,-232.98094908797287,0.55,0.55,0.8699763593380615,0.0,0.0,1.0,0.0,1.0,0.0,23.326241134751772
4,Greedy,-1.6342517841592565,-240.2350122714107,0.6,0.6,0.9311926605504587,0.0,0.0,1.0,0.0,1.0,0.0,23.755102040816325
5,Greedy,-1.6168067633335863,-176.2319372033609,0.8,0.8,0.9468599033816425,0.0,0.0,1.0,0.0,1.0,0.0,26.238532110091743
6,Greedy,-1.6010965384668359,-201.73816384682132,0.7,0.7,0.9108433734939759,0.0,0.0,1.0,0.0,1.0,0.0,24.841269841269842
7,Greedy,-1.5550881255458402,-203.71654444650505,0.7,0.7,0.9423963133640553,0.0,0.0,1.0,0.0,1.0,0.0,25.18320610687023
8,Greedy,-1.6520445241575363,-208.1576100438496,0.7,0.7,0.9509345794392523,0.0,0.0,1.0,0.0,1.0,0.0,23.206349206349206
9,Greedy,-1.5912523377872971,-184.58527118332646,0.8,0.8,0.9595238095238096,0.0,0.0,1.0,0.0,1.0,0.0,25.629310344827587
10,Greedy,-1.5656009303564031,-205.09372187668882,0.3,0.3,0.8203309692671394,0.0,0.0,1.0,0.0,1.0,0.0,27.9618320610687
11,Greedy,-1.6118229924205134,-201.47787405256418,0.9,0.9,0.951276102088167,0.0,0.0,1.0,0.0,1.0,0.0,22.344
12,Greedy,-1.5811142874397144,-194.47705735508487,0.9,0.9,0.9929245283018868,0.0,0.0,1.0,0.0,1.0,0.0,25.48780487804878
13,Greedy,-1.6478441957776129,-224.10681062575534,0.55,0.55,0.9527186761229315,0.0,0.0,1.0,0.0,1.0,0.0,25.301470588235293
14,Greedy,-1.6679974517509302,-265.2115948283979,0.45,0.45,0.8137931034482758,0.0,0.0,1.0,0.0,1.0,0.0,22.446540880503143
15,Greedy,-1.6335787668397417,-213.99881845600615,0.7,0.7,0.9720930232558139,0.0,0.0,1.0,0.0,1.0,0.0,26.198473282442748
16,Greedy,-1.5861032253683736,-180.81576769199458,0.9,0.9,0.9905437352245863,0.0,0.0,1.0,0.0,1.0,0.0,25.385964912280702
17,Greedy,-1.5868987611815775,-212.64443399833138,0.65,0.65,0.9516129032258065,0.0,0.0,1.0,0.0,1.0,0.0,23.865671641791046
18,Greedy,-1.607436702635907,-196.10727772158066,0.75,0.75,0.9586374695863747,0.0,0.0,1.0,0.0,1.0,0.0,26.60655737704918
19,Greedy,-1.5703029927679735,-168.02242022617315,0.95,0.95,0.9952153110047847,0.0,0.0,1.0,0.0,1.0,0.0,26.074766355140188
20,Greedy,-1.6428111040202653,-202.06576579449262,0.85,0.85,0.9809069212410502,0.0,0.0,1.0,0.0,1.0,0.0,24.51219512195122
21,Greedy,-1.6530311644071662,-223.15920719496745,0.75,0.75,0.9590361445783132,0.0,0.0,1.0,0.0,1.0,0.0,21.096296296296295
22,Greedy,-1.580146711175702,-199.09848560813845,0.9,0.9,0.9952153110047847,0.0,0.0,1.0,0.0,1.0,0.0,23.07936507936508
