num_vehicles,algorithm,mean_cft,success_rate
10,CP-EFT,1.3798963105252784,0.7859999999999999
10,EFT,1.3900888280189618,0.76
10,F-MAPPO,1.698088741890794,0.83
10,IPPO,1.7444479266554627,0.9279999999999998
10,LO,1.5635149551158398,0.836
10,MAPPO,1.683121294461324,0.932
10,NRO,1.0809521535811677,0.934
20,CP-EFT,1.5677541004823166,0.6040000000000001
20,EFT,1.6218511235214883,0.5880000000000001
20,F-MAPPO,1.8199003550094122,0.9179999999999999
20,IPPO,1.8754897748359556,0.9209999999999999
20,LO,1.5474341718731492,0.853
20,MAPPO,1.7033558160354045,0.9259999999999999
20,NRO,1.2981314567801123,0.861
30,F-MAPPO,1.8442630479107438,0.8413333333333333
30,IPPO,1.9495571221370904,0.7873333333333333
30,MAPPO,1.7609180947896506,0.9580000000000001
