episode,steps,wall_time,sim_time,reward_mean,reward_total,reward_p95,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,energy_mean,deadline_misses,ratio_local,ratio_rsu,ratio_v2v,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,actor_loss,critic_loss,entropy,approx_kl,clip_frac,bias_rsu,bias_local
1,94,14.788656949996948,9.4,-0.1009095087647438,-9.485493875696584,0.8593877673149104,0.5,0.5,0.936923076923077,6.956249999999992,8.424999999999986,16,0.06910546166650582,15,0.34935897435897434,0.29967948717948717,0.35096153846153844,406,218,134.65919656137578,0.021276595744680892,-0.15957240015268326,1.005961537361145,1.5519487261772156,0.012597618158906698,0.015625,1.6,1.6
2,91,13.9918692111969,9.1,-0.08088237792253494,-7.360296095309451,0.875450611114502,0.5333333333333333,0.5333333333333333,0.919431279620853,6.6624999999999925,8.299999999999986,16,0.07018783915746998,14,0.37080536912751677,0.30201342281879195,0.3271812080536913,375,221,133.03224693877135,0.010989010989011009,0.023226893196503322,1.0283300081888835,1.5504233837127686,0.013856727940340837,0.03125156213839849,1.6,1.6
3,92,13.763713598251343,9.200000000000001,-0.04800068214535713,-4.416062643777857,1.330208504199984,0.5666666666666667,0.5666666666666667,0.9414556962025317,6.4789473684210455,7.729999999999988,19,0.07340690110796604,13,0.31475409836065577,0.319672131147541,0.3655737704918033,418,192,135.74419310710095,0.02173913043478265,-0.0032564058899879457,1.0121614933013916,1.5692586421966552,0.011703789979219437,0.031355930119752885,1.6,1.6
4,80,12.560012578964233,8.0,-0.1358656883239746,-10.869254388390313,0.7387107163667674,0.43333333333333335,0.43333333333333335,0.8947368421052632,6.623076923076916,7.759999999999988,13,0.0829504544454782,17,0.2641843971631206,0.34929078014184395,0.38652482269503546,415,149,146.47614870995625,0.025000000000000036,0.1778343766927719,1.148941695690155,1.5550349950790405,0.011566125904209912,0.03269675932824612,1.6,1.6
5,82,12.674287557601929,8.200000000000001,0.029446953907608986,2.414650357340958,0.9420424491167069,0.6333333333333333,0.6333333333333333,0.9297124600638977,6.399999999999993,7.724999999999989,20,0.08842941362834801,11,0.2356902356902357,0.32996632996632996,0.43434343434343436,454,140,147.09760353322892,0.024390243902439063,-0.17195504577830434,1.0402198433876038,1.5620860755443573,0.0038913721218705177,0.06822344567626715,1.6,1.6
6,92,14.331083059310913,9.200000000000001,0.06860619783401489,6.311770231947545,0.9157470256090164,0.6666666666666666,0.6666666666666666,0.9641744548286605,6.92727272727272,7.989999999999988,22,0.09249901575225311,10,0.18022328548644337,0.4226475279106858,0.39712918660287083,514,113,141.2840895128296,0.02173913043478265,-0.01683409594827228,1.0442767143249512,1.5072105195787218,0.00738331096039878,0.13313942775130272,1.6,1.6
7,108,17.369458198547363,10.8,-0.3136559724807739,-33.87484555787087,0.0263937992975113,0.26666666666666666,0.26666666666666666,0.8299212598425196,7.874999999999988,8.499999999999986,8,0.0696856087812418,22,0.16939890710382513,0.5063752276867031,0.3242258652094718,456,93,107.14991584489114,0.01851851851851856,0.13335376729567847,1.5611261924107869,1.440809726715088,0.01263536415838947,0.0653900367518266,1.6,1.6
8,91,14.973167896270752,9.1,-0.19338563084602356,-17.598096152291937,0.5265230238437653,0.36666666666666664,0.36666666666666664,0.8158730158730159,7.563636363636352,8.949999999999985,11,0.07994198592980102,19,0.17222222222222222,0.5111111111111111,0.31666666666666665,447,93,127.78617489976033,0.021978021978022018,0.26801714301109314,1.8676426410675049,1.4184918403625488,0.03305915743112564,0.06521739065647125,1.6,1.6
9,92,15.333232164382935,9.200000000000001,-0.2979666292667389,-27.412928992239024,0.3975142166018488,0.23333333333333334,0.23333333333333334,0.8411949685534591,8.34285714285713,9.109999999999983,7,0.0853497875051276,23,0.16725978647686832,0.5160142348754448,0.3167259786476868,468,94,124.20838172483536,0.010869565217391325,0.11427064193412662,1.3908255100250244,1.4074425399303436,-0.0042553923558443785,0.052561668679118156,1.6,1.6
10,88,14.46997356414795,8.8,-0.18701739609241486,-16.457530045935776,0.524369236826896,0.3,0.3,0.7861635220125787,7.139999999999991,8.754999999999985,10,0.08055649018867618,21,0.15399239543726237,0.5304182509505704,0.3155893536121673,445,81,124.73405779720952,0.02272727272727277,0.03273446733752886,1.0691206057866414,1.4065264860788982,0.013074428619196018,0.09858671327431996,1.6,1.6
