episode,steps,wall_time,sim_time,reward_mean,reward_total,reward_p95,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,energy_mean,deadline_misses,ratio_local,ratio_rsu,ratio_v2v,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,actor_loss,critic_loss,entropy,approx_kl,clip_frac,bias_rsu,bias_local
1,99,20.360074758529663,9.9,0.24535349011421204,24.289993532877837,1.1500629782676688,0.68,0.68,0.9595103578154426,6.967567567567559,8.619999999999985,37,0.05711285649902291,16,0.44830917874396137,0.20869565217391303,0.34299516908212563,571,464,216.94190226043,0.010101010101010121,0.0759694087319076,1.3132047057151794,1.523909866809845,0.009330832486739382,0.06355178379453719,1.4,1.7
2,107,20.731781005859375,10.700000000000001,0.1823912262916565,19.515861292910056,1.0386373817920675,0.7,0.7,0.9508506616257089,6.75277777777777,8.324999999999987,36,0.04909479027248432,15,0.47855750487329435,0.19200779727095516,0.32943469785575047,535,491,194.25559374657985,0.01869158878504677,0.11683952063322067,1.1663264036178589,1.5498632192611694,0.052072037011384964,0.0476190485060215,1.4,1.7
3,100,20.909907341003418,10.0,0.11174005270004272,11.174005914811051,0.8881635814905163,0.54,0.54,0.9169776119402985,6.896296296296288,7.999999999999988,27,0.05455312229208648,23,0.4733201581027668,0.18972332015810275,0.33695652173913043,533,479,206.61531863967414,0.01000000000000002,0.0029875008123261587,1.1201329742159163,1.5863278763634818,0.013932757512001055,0.04734727341149535,1.4,1.7
4,108,21.873446941375732,10.8,0.023713095113635063,2.5610140691652257,0.676815730333328,0.5,0.5,0.9272727272727272,6.934615384615375,8.774999999999984,26,0.05538381736656582,25,0.392,0.26,0.348,608,392,188.604663557542,0.00925925925925928,-0.06284631323069334,1.102942630648613,1.5823577344417572,0.0066671730019152164,0.03998564835637808,1.4,1.7
5,101,20.939064979553223,10.100000000000001,0.0313057079911232,3.1618764280103364,0.6412923336029053,0.46,0.46,0.9143672692673644,7.086956521739122,8.949999999999983,23,0.06323671293140638,27,0.3675730110775428,0.24370594159113795,0.38872104733131924,628,365,203.58949326916377,0.01980198019801984,-0.019031373038887977,1.0278748989105224,1.671709156036377,0.00014633447863161565,0.05468927472829819,1.4,1.7
6,93,19.86766290664673,9.3,0.29142382740974426,27.102415036950426,0.9665709376335125,0.7,0.7,0.9642201834862385,7.067567567567559,8.599999999999985,37,0.07969623526758564,15,0.3061797752808989,0.25374531835205993,0.4400749063670412,741,327,234.83965636084585,0.01075268817204303,0.031558308750391006,1.2533164024353027,1.8361085653305054,0.028947364538908005,0.018518518656492233,1.4,1.7
7,97,19.943257093429565,9.700000000000001,0.20032158493995667,19.43119340492016,0.8331096649169915,0.62,0.62,0.9422718808193669,6.7709677419354755,8.449999999999985,31,0.06679762508614545,19,0.34462729912875123,0.22846079380445306,0.4269119070667957,677,356,214.10814414715705,0.010309278350515485,-0.05353127792477608,1.1630257368087769,1.7434768676757812,0.022169068455696106,0.0,1.4,1.7
8,104,21.669957160949707,10.4,0.03981642425060272,4.1409086621499664,0.6709306716918944,0.52,0.52,0.9235127478753541,6.829629629629621,8.319999999999986,27,0.0647247861741254,24,0.3240279162512463,0.2901296111665005,0.38584247258225324,678,325,195.32071360317804,0.009615384615384635,-0.12022285908460617,1.0420422554016113,1.7840858697891235,0.02272861637175083,0.06382978707551956,1.4,1.7
9,94,20.078192472457886,9.4,0.0937681794166565,8.81420833656507,0.7332348376512523,0.5,0.5,0.9185393258426966,6.723076923076915,8.374999999999986,26,0.07465443497959603,25,0.31521739130434784,0.23715415019762845,0.44762845849802374,693,319,209.64270665957346,0.010638297872340446,-0.07732793688774109,1.0162699222564697,1.7635142803192139,0.02392178401350975,0.06557376682758331,1.4,1.7
10,97,19.922589778900146,9.700000000000001,0.015781231224536896,1.5307796346224865,0.5702264189720131,0.42,0.42,0.9302103250478011,6.749999999999993,7.984999999999987,24,0.06789060836158615,29,0.32103688933200397,0.25523429710867396,0.423728813559322,681,322,204.64686394921978,0.010309278350515485,-0.06153486575931311,1.0033153742551804,1.7076336741447449,0.010840726259630173,0.04242424387484789,1.4,1.7
