episode_seed,episode_steps,active_ratio,no_task_ratio,decision_events_per_vehicle_mean,decision_events_per_vehicle_p50,decision_events_per_vehicle_p90,ready_subtask_count_mean,ready_subtask_count_p50,ready_subtask_count_p90,ready_subtask_count_p95,inflight_subtask_count_mean,inflight_subtask_count_p95,avg_subtask_service_steps_mean,avg_subtask_service_steps_p50,avg_subtask_service_steps_p90,phase_comm_ratio,phase_compute_ratio,phase_wait_ratio,phase_finished_ratio,queue_len_vehicle_mean,queue_len_vehicle_p95,queue_len_rsu_mean,queue_len_rsu_p95,task_success_rate,deadline_miss_rate,illegal_count,assign_failed_count,run_tag,config_overrides
42000,33,0.18333333333333332,0.8166666666666667,6.05,6.0,8.0,4.303030303030303,3.0,10.8,13.799999999999997,0.6833333333333333,2.0,4.583333333333333,4.0,8.0,0.030303030303030304,0.9090909090909091,0.09090909090909091,0.0,0.7264653641207816,2.0,0.30303030303030304,2.0,0.95,0.05,0,0,v1_baseline_small,"MIN_NODES=4,MAX_NODES=8"
42001,39,0.14871794871794872,0.8512820512820513,5.8,6.0,7.0,3.6923076923076925,2.0,8.400000000000006,11.400000000000006,0.7807692307692308,2.0,5.848214285714286,5.0,10.0,0.05128205128205128,0.9487179487179487,0.05128205128205128,0.0,0.7388268156424581,3.0,0.26495726495726496,2.0,0.8,0.2,1,0,v1_baseline_small,"MIN_NODES=4,MAX_NODES=8"
42002,38,0.15,0.85,5.7,6.0,7.100000000000001,3.5789473684210527,3.0,10.0,11.149999999999999,0.8776315789473684,2.0,6.290909090909091,5.5,12.100000000000009,0.02631578947368421,0.9736842105263158,0.02631578947368421,0.0,0.873015873015873,3.0,0.09649122807017543,1.0,0.7,0.3,17,0,v1_baseline_small,"MIN_NODES=4,MAX_NODES=8"
42003,48,0.13333333333333333,0.8666666666666667,6.4,7.0,8.0,3.2708333333333335,1.5,10.0,10.0,0.640625,2.0,5.208,4.0,10.0,0.10416666666666667,0.9791666666666666,0.020833333333333332,0.0,0.5917686318131257,2.0,0.08333333333333333,1.0,0.85,0.15,0,0,v1_baseline_small,"MIN_NODES=4,MAX_NODES=8"
42004,40,0.16125,0.83875,6.45,7.0,8.0,3.825,2.5,10.100000000000001,13.049999999999997,0.68625,2.0,5.255813953488372,5.0,9.0,0.05,0.925,0.05,0.025,0.6781456953642384,2.0,0.2916666666666667,2.049999999999997,0.95,0.05,3,0,v1_baseline_small,"MIN_NODES=4,MAX_NODES=8"
42005,52,0.1076923076923077,0.8923076923076924,5.6,6.0,7.0,3.269230769230769,1.5,8.0,9.449999999999996,0.5480769230769231,2.0,5.5181818181818185,5.0,9.0,0.038461538461538464,0.9423076923076923,0.057692307692307696,0.0,0.5101171458998935,2.0,0.17307692307692307,1.0,0.85,0.15,0,0,v1_baseline_small,"MIN_NODES=4,MAX_NODES=8"
42006,40,0.1525,0.8475,6.1,6.5,8.0,3.6,2.5,8.100000000000001,10.0,0.81875,2.0,6.025210084033613,5.0,11.0,0.075,0.975,0.025,0.0,0.819718309859155,3.0,0.2833333333333333,2.0,0.75,0.25,11,0,v1_baseline_small,"MIN_NODES=4,MAX_NODES=8"
42007,44,0.14886363636363636,0.8511363636363637,6.55,7.0,8.0,4.5,3.5,10.0,11.850000000000001,0.8420454545454545,2.0,6.4728682170542635,6.0,11.0,0.11363636363636363,0.9545454545454546,0.045454545454545456,0.0,0.881074168797954,3.0,0.1590909090909091,1.0,0.85,0.15,7,0,v1_baseline_small,"MIN_NODES=4,MAX_NODES=8"
42008,26,0.22692307692307692,0.7730769230769231,5.9,6.0,8.0,5.269230769230769,4.5,11.0,14.5,0.8807692307692307,2.0,4.88135593220339,4.0,9.0,0.07692307692307693,0.9615384615384616,0.0,0.038461538461538464,0.9186295503211992,3.0,0.34615384615384615,2.0,0.9,0.1,0,0,v1_baseline_small,"MIN_NODES=4,MAX_NODES=8"
42009,36,0.15138888888888888,0.8486111111111111,5.45,5.5,7.100000000000001,3.888888888888889,2.0,9.5,12.0,0.8194444444444444,2.0,6.122641509433962,5.0,11.5,0.08333333333333333,0.9722222222222222,0.027777777777777776,0.0,0.8936170212765957,3.0,0.17592592592592593,1.6499999999999915,0.75,0.25,0,0,v1_baseline_small,"MIN_NODES=4,MAX_NODES=8"
