baseline,metric_id,metric_cn,direction,n_total,n_effective,wins,losses,ties,win_rate,p_value_sign_test,mean_oriented_diff,median_oriented_diff
CP-EFT,deadline_miss_rate,超时失败率,lower,1500,1496,1446,50,4,0.9665775401069518,0.0,66.55444444444444,73.33333333333333
EFT,deadline_miss_rate,超时失败率,lower,1500,1499,1452,47,1,0.9686457638425617,0.0,66.9588888888889,73.33333333333334
Greedy,deadline_miss_rate,超时失败率,lower,1500,1493,1422,71,7,0.9524447421299397,0.0,57.27,61.66666666666667
Local-Only,deadline_miss_rate,超时失败率,lower,1500,1481,1225,256,19,0.8271438217420661,1.3518793833759015e-151,14.905555555555551,21.666666666666657
Random,deadline_miss_rate,超时失败率,lower,1500,1475,1475,0,25,1.0,0.0,85.09222222222223,95.0
Static,deadline_miss_rate,超时失败率,lower,1500,1493,1403,90,7,0.9397186872069658,1.5719365685349713e-303,49.9211111111111,56.66666666666666
CP-EFT,mean_cft_est,平均完工时间估计,lower,1500,1500,1473,27,0,0.982,0.0,12.352791332244893,13.157853892644269
EFT,mean_cft_est,平均完工时间估计,lower,1500,1500,1473,27,0,0.982,0.0,12.37722744368661,13.172379679679892
Greedy,mean_cft_est,平均完工时间估计,lower,1500,1500,1392,108,0,0.928,9.385311180650829e-285,3.9450955838606174,4.6428460295995135
Local-Only,mean_cft_est,平均完工时间估计,lower,1500,1500,1395,105,0,0.93,4.233371193545551e-288,4.494079935175572,5.125610090891519
Random,mean_cft_est,平均完工时间估计,lower,1500,1500,1497,3,0,0.998,0.0,13.592615694821694,14.416653156280537
Static,mean_cft_est,平均完工时间估计,lower,1500,1500,1392,108,0,0.928,9.385311180650829e-285,4.4750545143890434,5.171884582837429
CP-EFT,power_ratio_mean,远端功率比例,lower,1500,1500,0,1500,0,0.0,0.0,-0.26800389634101895,-0.2707991661849307
EFT,power_ratio_mean,远端功率比例,lower,1500,1500,5,1495,0,0.0033333333333333335,0.0,-0.22823946730803837,-0.23383200873432214
Greedy,power_ratio_mean,远端功率比例,lower,1500,1500,1500,0,0,1.0,0.0,0.6629072331459152,0.6633955042888728
Local-Only,power_ratio_mean,远端功率比例,lower,1500,1500,0,1500,0,0.0,0.0,-0.3370927668540848,-0.33660449571112727
Random,power_ratio_mean,远端功率比例,lower,1500,1500,1500,0,0,1.0,0.0,0.26288073016521474,0.26319783867578994
Static,power_ratio_mean,远端功率比例,lower,1500,1500,1500,0,0,1.0,0.0,0.6629072331459152,0.6633955042888728
CP-EFT,reward_mean,平均步奖励,higher,1500,1500,1472,28,0,0.9813333333333333,0.0,1.1479948589947437,1.0483657769645014
EFT,reward_mean,平均步奖励,higher,1500,1500,1472,28,0,0.9813333333333333,0.0,1.1571214845820237,1.0523789713660898
Greedy,reward_mean,平均步奖励,higher,1500,1500,1404,96,0,0.936,2.2178695801795345e-298,0.14185770328236175,0.19690261622979455
Local-Only,reward_mean,平均步奖励,higher,1500,1500,1446,54,0,0.964,0.0,0.47878017516656046,0.5281498323468901
Random,reward_mean,平均步奖励,higher,1500,1500,1494,6,0,0.996,0.0,2.845954346338256,2.6824754203581724
Static,reward_mean,平均步奖励,higher,1500,1500,1409,91,0,0.9393333333333334,2.9383229538318445e-304,0.20825681103534605,0.2625030087671397
CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,1500,1391,1034,357,109,0.7433501078360891,1.5548316684015936e-76,0.1082335602760315,0.12291290760040285
EFT,rho_selected_p10,远端信誉分位数(p10),higher,1500,1392,1033,359,108,0.7420977011494253,8.736440175813954e-76,0.10611838411192101,0.12138191461563114
Greedy,rho_selected_p10,远端信誉分位数(p10),higher,1500,1461,687,774,39,0.4702258726899384,0.024418848350019864,-0.01282229915459951,-0.010742634534835815
Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,1500,1500,1500,0,0,1.0,0.0,0.5716538789848487,0.5924771517515183
Random,rho_selected_p10,远端信誉分位数(p10),higher,1500,1386,1010,376,114,0.7287157287157288,3.202094826241424e-67,0.1001581005314986,0.11380953192710885
Static,rho_selected_p10,远端信誉分位数(p10),higher,1500,1470,602,868,30,0.4095238095238095,4.200035619859187e-12,-0.041684871091445294,-0.0429768770933151
CP-EFT,subtask_success_rate,子任务成功率,higher,1500,1500,1464,36,0,0.976,0.0,44.01165227169619,46.367886915785974
EFT,subtask_success_rate,子任务成功率,higher,1500,1500,1461,39,0,0.974,0.0,44.686633144291264,47.13554047700318
Greedy,subtask_success_rate,子任务成功率,higher,1500,1500,1429,71,0,0.9526666666666667,0.0,21.810117700410682,21.790550678935553
Local-Only,subtask_success_rate,子任务成功率,higher,1500,1500,1308,192,0,0.872,3.4180571129406876e-204,3.4326026943587458,5.880744422461355
Random,subtask_success_rate,子任务成功率,higher,1500,1500,1500,0,0,1.0,0.0,83.41949603479388,86.35546917117898
Static,subtask_success_rate,子任务成功率,higher,1500,1500,1417,83,0,0.9446666666666667,6.2781761786e-314,18.4733180977853,19.163667776872245
CP-EFT,task_success_rate,任务成功率,higher,1500,1496,1446,50,4,0.9665775401069518,0.0,66.55444444444446,73.33333333333334
EFT,task_success_rate,任务成功率,higher,1500,1499,1452,47,1,0.9686457638425617,0.0,66.9588888888889,73.33333333333334
Greedy,task_success_rate,任务成功率,higher,1500,1493,1422,71,7,0.9524447421299397,0.0,57.27,61.66666666666667
Local-Only,task_success_rate,任务成功率,higher,1500,1481,1225,256,19,0.8271438217420661,1.3518793833759015e-151,14.905555555555557,21.66666666666667
Random,task_success_rate,任务成功率,higher,1500,1475,1475,0,25,1.0,0.0,85.09222222222222,95.0
Static,task_success_rate,任务成功率,higher,1500,1493,1403,90,7,0.9397186872069658,1.5719365685349713e-303,49.921111111111124,56.66666666666667
CP-EFT,time_limit_rate,时间上限截断率,lower,1500,1398,1396,2,102,0.9985693848354793,0.0,92.93333333333334,100.0
EFT,time_limit_rate,时间上限截断率,lower,1500,1386,1386,0,114,1.0,0.0,92.4,100.0
Greedy,time_limit_rate,时间上限截断率,lower,1500,84,0,84,1416,0.0,1.0339757656912844e-25,-5.6,0.0
Local-Only,time_limit_rate,时间上限截断率,lower,1500,85,1,84,1415,0.011764705882352941,4.4460957924725076e-24,-5.533333333333333,0.0
Random,time_limit_rate,时间上限截断率,lower,1500,1416,1416,0,84,1.0,0.0,94.4,100.0
Static,time_limit_rate,时间上限截断率,lower,1500,84,0,84,1416,0.0,1.0339757656912844e-25,-5.6,0.0
CP-EFT,trust_failure_rate,信誉失败率,lower,1500,1500,817,683,0,0.5446666666666666,0.0005901311165277396,0.0029849278302221077,0.011095118001992962
EFT,trust_failure_rate,信誉失败率,lower,1500,1499,795,704,1,0.5303535690460307,0.020064756827174027,0.0006067872671213726,0.007655118041150058
Greedy,trust_failure_rate,信誉失败率,lower,1500,1500,727,773,0,0.4846666666666667,0.24526895782339864,0.0017224310916465122,-0.0044611204775501095
Local-Only,trust_failure_rate,信誉失败率,lower,1500,1500,0,1500,0,0.0,0.0,-0.22153856677181313,-0.2076010945576163
Random,trust_failure_rate,信誉失败率,lower,1500,1500,777,723,0,0.518,0.1711492316824879,-0.003608080784900585,0.0070359465096307555
Static,trust_failure_rate,信誉失败率,lower,1500,1500,684,816,0,0.456,0.0007134107666082358,-0.006398893587956046,-0.013730726126105125
