source,metric,mean
Ours (MAPPO),best_v2v_valid_rate,0.9999841666666667
Ours (MAPPO),v2v_beats_rsu_rate,0.0
Ours (MAPPO),mean_cost_gap_v2v_minus_rsu,0.07594455089541732
Ours (MAPPO),mean_cost_rsu,0.005530997345158437
Ours (MAPPO),mean_cost_v2v,0.0814755482405758
Ours (MAPPO),t_L,0.0
Ours (MAPPO),t_R,0.0
Ours (MAPPO),t_V,0.0
Ours (MAPPO),t_a,0.0
Ours (MAPPO),t_alt,0.0
Ours (MAPPO),A_t,0.0
Ours (MAPPO),r_lat,0.0
Ours (MAPPO),cp_rem,0.0
Ours (MAPPO),f_max,0.0
Ours (MAPPO),d_cp_lb,0.0
Ours (MAPPO),rate_best,0.0
Ours (MAPPO),comm_lb,0.0
Ours (MAPPO),queue_lb,0.0
Ours (MAPPO),lb,0.0
Ours (MAPPO),phi,0.0
Ours (MAPPO),delta_phi,0.0
Ours (MAPPO),r_shape,0.0
Ours (MAPPO),overtime_ratio,0.0
Ours (MAPPO),r_timeout,0.0
Ours (MAPPO),e_tx,0.0
Ours (MAPPO),r_energy,-0.006836718032613902
Ours (MAPPO),r_power,0.0
Ours (MAPPO),avg_power,0.5345959952304837
Ours (MAPPO),avg_rsu_queue,0.0
Ours (MAPPO),rsu_queue_p95,0.0
Ours (MAPPO),time_limit_penalty_applied,0.5
Ours (MAPPO),time_limit_penalty_value,-0.5
Ours (MAPPO),remaining_time_seconds_used,0.3709711233774752
Ours (MAPPO),remaining_ratio_used,0.0
CP-EFT,reward_mean,-1.00219071146588
EFT,reward_mean,-0.8070212659303148
Greedy,reward_mean,-0.006256261050535752
LB-Greedy,reward_mean,-1.0043956184004619
Local-Only,reward_mean,-0.30654762359799403
Random,reward_mean,-1.7662347178616717
Static,reward_mean,-0.047900405692781096
CP-EFT,reward_total,-197.25845898712768
EFT,reward_total,-157.896909240902
Greedy,reward_total,-0.9491954643134464
LB-Greedy,reward_total,-198.38108137299892
Local-Only,reward_total,-46.88800209028773
Random,reward_total,-353.2469435723344
Static,reward_total,-6.949705368661955
CP-EFT,vehicle_sr,0.21583333333333332
EFT,vehicle_sr,0.24291666666666664
Greedy,vehicle_sr,0.5929166666666668
LB-Greedy,vehicle_sr,0.18000000000000002
Local-Only,vehicle_sr,0.745
Random,vehicle_sr,0.002916666666666667
Static,vehicle_sr,0.5345833333333334
CP-EFT,task_sr,0.21583333333333332
EFT,task_sr,0.24291666666666664
Greedy,task_sr,0.5929166666666668
LB-Greedy,task_sr,0.18000000000000002
Local-Only,task_sr,0.745
Random,task_sr,0.002916666666666667
Static,task_sr,0.5345833333333334
CP-EFT,subtask_sr,0.5832273267540504
EFT,subtask_sr,0.5862390158298023
Greedy,subtask_sr,0.8778823344030384
LB-Greedy,subtask_sr,0.5017039126270728
