episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,mean_cost_power,mean_cost_trust,episode_time_seconds,mean_cft_completed,act_seconds,makespan_seconds,task_duration_mean,task_duration_p95,deadline_miss_rate,deadline_meet_ratio,time_limit_rate,energy_mean,energy_p95,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,avg_queue_len,avg_rsu_queue
1,Local-Only,0.02097838581329123,0.18880547231962108,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022222222222222223,0.6666666666666666
1,Greedy,0.003189995912352842,0.0765599018964682,0.6,0.6,0.8666666666666667,1.0,0.7708333333333334,0.21875,0.010416666666666666,0.7708333333333334,0.21875,0.010416666666666666,0.22916666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0020833333333333333,1.6666666666666667
1,EFT,-0.00022190115820703822,-0.005325627796968917,0.35,0.35,0.7555555555555555,0.65625,0.8104166666666667,0.12083333333333333,0.06875,0.8104166666666667,0.12083333333333333,0.06875,8.585138274500374e-05,0.0004528424584351846,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01875,0.6666666666666666
1,CP-EFT,0.0027121932990511748,0.0650926391772282,0.6,0.6,0.8444444444444444,0.8928571428571429,0.8875,0.052083333333333336,0.06041666666666667,0.8875,0.052083333333333336,0.06041666666666667,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0375,0.25
2,Local-Only,0.006398172436264124,0.22393603526924435,0.75,0.75,0.966542750929368,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3914285714285715,0.11428571428571428
2,Greedy,0.0058153299426488185,0.19772121805005982,0.95,0.95,0.9925650557620818,1.0,0.6176470588235294,0.36911764705882355,0.013235294117647059,0.6176470588235294,0.36911764705882355,0.013235294117647059,0.38235294117647056,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039705882352941174,10.529411764705882
2,EFT,0.0010284143048077253,0.040108157887501286,0.5,0.5,0.7546468401486989,0.8617021276595744,0.7653846153846153,0.10128205128205128,0.13333333333333333,0.7653846153846153,0.10128205128205128,0.13333333333333333,0.0003124837510536166,0.001331897955310497,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4897435897435897,2.3846153846153846
2,CP-EFT,0.002915430567194022,0.10204006985179076,0.75,0.75,0.9442379182156134,0.978021978021978,0.7057142857142857,0.15142857142857144,0.14285714285714285,0.7057142857142857,0.15142857142857144,0.14285714285714285,0.00018260653228332357,0.0006205076339724587,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5385714285714286,2.5428571428571427
3,Local-Only,0.005572448543681581,0.2173254932035817,0.65,0.65,0.9562043795620438,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3205128205128205,0.07692307692307693
3,Greedy,0.004697705878841353,0.18321052927481277,0.85,0.85,0.8941605839416058,1.0,0.6935897435897436,0.2935897435897436,0.01282051282051282,0.6935897435897436,0.2935897435897436,0.01282051282051282,0.30641025641025643,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023076923076923078,8.692307692307692
3,EFT,0.0008496016163175338,0.033134463036383816,0.5,0.5,0.8248175182481752,0.9529411764705882,0.75,0.12435897435897436,0.12564102564102564,0.75,0.12435897435897436,0.12564102564102564,6.759886546786305e-05,0.0002703954618714522,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3923076923076923,2.2564102564102564
3,CP-EFT,0.001276738565678379,0.04979280406145678,0.55,0.55,0.8394160583941606,0.9375,0.7769230769230769,0.11666666666666667,0.1064102564102564,0.7769230769230769,0.11666666666666667,0.1064102564102564,0.00045114917748765703,0.002022392864599842,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3769230769230769,1.6923076923076923
4,Local-Only,0.007083593469926735,0.19834061715794857,0.75,0.75,0.9805825242718447,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8303571428571429,0.2857142857142857
4,Greedy,0.0050507549991697116,0.14142113997675193,0.75,0.75,0.8980582524271845,1.0,0.6803571428571429,0.31785714285714284,0.0017857142857142857,0.6803571428571429,0.31785714285714284,0.0017857142857142857,0.3196428571428571,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01607142857142857,7.571428571428571
4,EFT,0.0008495585267965095,0.023787638750302265,0.4,0.4,0.7330097087378641,0.7755102040816326,0.7678571428571429,0.13035714285714287,0.10178571428571428,0.7678571428571429,0.13035714285714287,0.10178571428571428,0.00036431399067280535,0.0015693525752059306,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2785714285714286,3.25
4,CP-EFT,0.0030117443942727696,0.08432884303963754,0.6,0.6,0.8883495145631068,0.9454545454545454,0.7553571428571428,0.12857142857142856,0.11607142857142858,0.7553571428571428,0.12857142857142856,0.11607142857142858,0.001220176955371253,0.004987584635094173,0.04528610997167481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3357142857142857,1.8571428571428572
5,Local-Only,0.02137130801275345,0.19234177211478104,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08888888888888889,0.0
5,Greedy,0.020635640195123827,0.18572076175611443,1.0,1.0,1.0,1.0,0.35,0.6333333333333333,0.016666666666666666,0.35,0.6333333333333333,0.016666666666666666,0.65,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011111111111111112,3.888888888888889
5,EFT,0.007102291496398383,0.14914812142436604,0.9,0.9,0.9618320610687023,0.9428571428571428,0.7428571428571429,0.1738095238095238,0.08333333333333333,0.7428571428571429,0.1738095238095238,0.08333333333333333,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10238095238095238,0.7142857142857143
5,CP-EFT,0.006201094980217492,0.13642408956478483,0.85,0.85,0.9389312977099237,0.9487179487179487,0.8318181818181818,0.07954545454545454,0.08863636363636364,0.8318181818181818,0.07954545454545454,0.08863636363636364,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10227272727272728,0.0
6,Local-Only,0.024202418895598883,0.19361935116479106,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06875,0.0
