episode,steps,wall_time,sim_time,reward_mean,reward_total,reward_p95,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,energy_mean,deadline_misses,ratio_local,ratio_rsu,ratio_v2v,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,actor_loss,critic_loss,entropy,approx_kl,clip_frac,bias_rsu,bias_local
1,121,37.62723422050476,12.100000000000001,-0.42803534865379333,-51.792278440427786,0.2157224416732788,0.06,0.06,0.7029508196721311,9.06666666666665,9.93999999999998,3,0.058560235809442425,47,0.35396687009590233,0.3007846556233653,0.34524847428073235,741,406,217.65259380529503,0.008264462809917375,0.011853165614108244,1.2813294529914856,1.6347955862681072,0.0055137725090996055,0.07240422815084457,1.4,1.7
2,107,32.43822884559631,10.700000000000001,-0.3195277750492096,-34.189473094302336,0.2884895116090773,0.02,0.02,0.7518952446588559,8.999999999999984,8.999999999999984,1,0.06856235936144801,49,0.3576956147893379,0.2717110920034394,0.3705932932072227,747,416,252.81047624479038,0.009345794392523385,-0.09943781793117523,1.1102845668792725,1.643254041671753,0.05001033470034599,0.1269841343164444,1.4,1.7
3,110,33.2283251285553,11.0,-0.35608187317848206,-39.16900515497933,0.2650477975606918,0.06,0.06,0.7513774104683195,7.9999999999999885,9.219999999999983,3,0.06866997717693447,47,0.3382226056945643,0.2916307161345988,0.3701466781708369,767,392,240.945094161079,0.009090909090909111,0.03612313196063042,1.1481784105300903,1.6661954402923584,0.004686837270855904,0.08427170366048813,1.4,1.7
4,109,33.252161264419556,10.9,-0.3304688632488251,-36.02110674016169,0.25873851180076596,0.02,0.02,0.7585513078470825,7.29999999999999,7.29999999999999,1,0.07088533011940094,49,0.3269709543568465,0.2946058091286307,0.3784232365145228,811,394,249.8300446991284,0.009174311926605524,0.2232266589999199,1.3420787453651428,1.6936781406402588,0.00499709602445364,0.11923077329993248,1.4,1.7
5,106,32.21180772781372,10.600000000000001,-0.27739381790161133,-29.40374176693838,0.2772838920354843,0.08,0.08,0.7547918043621943,8.379999999999987,9.719999999999981,5,0.07644487770186421,46,0.32450331125827814,0.29718543046357615,0.3783112582781457,816,392,255.52304680232635,0.009433962264150964,0.0898314118385315,1.1584722995758057,1.6810156106948853,0.02852693200111389,0.0625,1.4,1.7
6,112,34.50642943382263,11.200000000000001,-0.390805721282959,-43.77024206570698,0.2429222010076046,0.04,0.04,0.7038043478260869,9.449999999999982,9.764999999999981,2,0.06515928063300505,48,0.3446732318710833,0.2981199641897941,0.35720680393912263,732,385,226.84744601212753,0.008928571428571449,-0.016684386879205704,1.1783934831619263,1.6462748050689697,0.007171094883233309,0.0800000000745058,1.4,1.7
7,111,33.80381441116333,11.100000000000001,-0.37673062086105347,-41.81709972142798,0.2675880491733551,0.0,0.0,0.7309782608695652,0.0,0.0,0,0.0705611973234897,50,0.3350559862187769,0.29457364341085274,0.37037037037037035,772,389,243.36610565627396,0.009009009009009028,-0.0339839905500412,1.2071439027786255,1.6589422225952148,0.03712739795446396,0.0833333358168602,1.4,1.7
8,107,33.71325659751892,10.700000000000001,-0.3132443428039551,-33.51714438558349,0.25059990435838686,0.0,0.0,0.7320852162685604,0.0,0.0,0,0.07759495500927774,50,0.2961124896608768,0.3010752688172043,0.40281224152191897,851,358,257.06112312858903,0.009345794392523385,0.018395791451136272,1.1309354305267334,1.6697999636332195,0.013081072829663754,0.09679803252220154,1.4,1.7
9,114,33.99313974380493,11.4,-0.33064141869544983,-37.69312406878449,0.27789155840873714,0.04,0.04,0.7430093209054593,8.849999999999984,8.984999999999983,2,0.06798902478060898,48,0.32603201347935973,0.2948609941027801,0.37910699241786017,800,387,240.8962103061321,0.008771929824561422,-0.08732657072444756,1.0903282562891643,1.6802817583084106,0.014738183002918959,0.1094204510251681,1.4,1.7
10,115,34.53232026100159,11.5,-0.4071268141269684,-46.819582084699604,0.2563594102859497,0.04,0.04,0.7424242424242424,8.849999999999984,9.614999999999982,2,0.07353346753946464,48,0.2929460580912863,0.31618257261410787,0.3908713692946058,852,353,235.4264706913726,0.008695652173913063,0.1014268234372139,1.16547429561615,1.6717238903045655,-0.0007995056919753551,0.12869248837232589,1.4,1.7
11,106,32.33720397949219,10.600000000000001,-0.3090917766094208,-32.763728698301456,0.25205110758543015,0.06,0.06,0.7706237424547284,8.466666666666653,8.879999999999985,3,0.08112803407716301,47,0.2815854665565648,0.30800990916597853,0.41040462427745666,870,341,261.09179716570736,0.009433962264150964,0.038065068423748016,1.088913917541504,1.7138479948043823,0.022256040945649147,0.190476194024086,1.4,1.7
12,107,31.296998977661133,10.700000000000001,-0.32269760966300964,-34.5286437392694,0.26814452409744255,0.06,0.06,0.7599179206566348,7.874999999999988,9.209999999999983,4,0.07661131886817585,47,0.3081494057724958,0.3166383701188455,0.37521222410865873,815,363,254.13416357362186,0.009345794392523385,0.009303392842411995,1.0604554414749146,1.6704763174057007,0.029914187267422676,0.06896551698446274,1.4,1.7
13,107,32.33991837501526,10.700000000000001,-0.3140557110309601,-33.603965444838764,0.24648579806089396,0.04,0.04,0.7776307081403044,7.34999999999999,7.6649999999999885,2,0.08208159683533361,48,0.2688,0.3304,0.4008,914,336,267.44258907298746,0.009345794392523385,0.08323743939399719,1.0612932443618774,1.7025775909423828,0.037513021379709244,0.1269841343164444,1.4,1.7
14,119,35.57465696334839,11.9,-0.43388837575912476,-51.63272063372734,0.250970122218132,0.02,0.02,0.7128580946035976,8.399999999999986,8.399999999999986,1,0.06687943518787873,49,0.2999135695764909,0.3111495246326707,0.3889369057908384,810,347,226.68128773583564,0.008403361344537834,-0.01475698376695315,1.062044580777486,1.6853618224461873,0.01636377132187287,0.1285483886798223,1.4,1.7
15,105,32.085442781448364,10.5,-0.3396502137184143,-35.6632730435589,0.22148198187351226,0.0,0.0,0.6722185209860093,0.0,0.0,0,0.07030814165621996,50,0.322253000923361,0.30378578024007385,0.3739612188365651,734,349,231.6770002841437,0.009523809523809544,0.08107985556125641,1.000907063484192,1.6520731449127197,0.029090844094753265,0.1428571492433548,1.4,1.7
16,111,32.367595911026,11.100000000000001,-0.29112517833709717,-32.3148990538181,0.288632333278656,0.08,0.08,0.8124174372523117,9.024999999999984,9.654999999999982,4,0.07745338341741412,46,0.33462132921174653,0.27666151468315303,0.38871715610510044,861,433,271.79867066113866,0.018018018018018056,0.004393644165247679,1.000608205795288,1.7175546884536743,0.02574673295021057,0.057692307978868484,1.4,1.7
17,113,32.615365743637085,11.3,-0.37833842635154724,-42.75224323401343,0.2623478174209594,0.04,0.04,0.7417808219178083,8.149999999999988,8.644999999999985,2,0.06796215441720807,48,0.32582322357019067,0.2954939341421144,0.378682842287695,778,376,235.6268866222099,0.008849557522123913,-0.1841872911900282,1.0475761890411377,1.6309781074523926,0.007605649530887604,0.1041666679084301,1.4,1.7
18,106,31.641141653060913,10.600000000000001,-0.30812621116638184,-32.661380187598155,0.266042985022068,0.0,0.0,0.7212894560107455,0.0,0.0,0,0.07311900937938536,50,0.32580364900086883,0.3032145960034752,0.37098175499565594,776,375,248.89921585804902,0.009433962264150964,0.0029838402240004924,0.9674174445016044,1.6468078068324499,0.0014721253038650112,0.11936227924057416,1.4,1.7
