window,method,policy,n,on_task_rate_mean,illegal_action_rate_all_steps_mean,illegal_action_rate_on_task_mean,unified_illegal_trigger_rate_all_steps_mean,unified_illegal_trigger_rate_on_task_mean,decision_frac_local_all_steps_mean,decision_frac_local_on_task_mean,decision_frac_rsu_all_steps_mean,decision_frac_rsu_on_task_mean,decision_frac_v2v_all_steps_mean,decision_frac_v2v_on_task_mean
全程,CP-EFT,CP-EFT,120,0.08936054904981816,0.0,0.0,0.0,0.0,0.9296584778773258,0.9296584778773258,0.041479864015267036,0.041479864015267036,0.02886165810740698,0.02886165810740698
全程,EFT,EFT,120,0.0910425264568078,0.0,0.0,0.0,0.0,0.9186294104224113,0.9186294104224113,0.04842918891873506,0.04842918891873506,0.03294140065885356,0.03294140065885356
全程,Greedy,Greedy,120,0.19631229445644963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
全程,LB-Greedy,LB-Greedy,120,0.08093845605481102,0.0,0.0,0.0,0.0,0.9264158618370562,0.9264158618370562,0.041413691774698544,0.041413691774698544,0.032170446388245226,0.032170446388245226
全程,Local-Only,Local-Only,120,0.13631066152604054,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
全程,Random,Random,120,0.03248333333333328,0.0,0.0,0.0,0.0,0.08475,0.08475,0.14982916666666665,0.14982916666666665,0.7654208333333332,0.7654208333333332
全程,Static,Static,120,0.18027087643462986,0.0,0.0,0.0,0.0,0.19318350131949574,0.19318350131949574,0.8068164986805042,0.8068164986805042,0.0,0.0
全程,当前算法(MAPPO),MAPPO,600,0.3842983876785165,0.0,0.0,0.0,0.0,0.6547311586963647,0.6547311586963647,0.09053720020554011,0.09053720020554011,0.2547316410980951,0.2547316410980951
末100,CP-EFT,CP-EFT,100,0.09006482882763882,0.0,0.0,0.0,0.0,0.9290333664696149,0.9290333664696149,0.04164334008580155,0.04164334008580155,0.02932329344458349,0.02932329344458349
末100,EFT,EFT,100,0.0914154954595722,0.0,0.0,0.0,0.0,0.9182663989709294,0.9182663989709294,0.04872139073411899,0.04872139073411899,0.03301221029495157,0.03301221029495157
