phase,method,policy,metric_id,metric_cn,direction,mean,std,n,matched_k,stat_basis
中期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,63.916666666666664,13.965493690006173,120,120,matched_tail_raw_baseline
中期,EFT,EFT,deadline_miss_rate,超时失败率,lower,64.25,14.017546027698838,120,120,matched_tail_raw_baseline
中期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,27.791666666666668,17.914313245213144,120,120,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,71.75,12.06860640273771,120,120,matched_tail_raw_baseline
中期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,28.958333333333332,9.955696678713318,120,120,matched_tail_raw_baseline
中期,Random,Random,deadline_miss_rate,超时失败率,lower,99.45833333333333,1.8098508844901104,120,120,matched_tail_raw_baseline
中期,Static,Static,deadline_miss_rate,超时失败率,lower,30.791666666666668,20.062882587083074,120,120,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,26.791666666666668,28.710345932876432,120,120,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,63.916666666666664,13.965493690006173,120,120,matched_tail_raw_baseline
前期,EFT,EFT,deadline_miss_rate,超时失败率,lower,64.25,14.017546027698838,120,120,matched_tail_raw_baseline
前期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,27.791666666666668,17.914313245213144,120,120,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,71.75,12.06860640273771,120,120,matched_tail_raw_baseline
前期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,28.958333333333332,9.955696678713318,120,120,matched_tail_raw_baseline
前期,Random,Random,deadline_miss_rate,超时失败率,lower,99.45833333333333,1.8098508844901104,120,120,matched_tail_raw_baseline
前期,Static,Static,deadline_miss_rate,超时失败率,lower,30.791666666666668,20.062882587083074,120,120,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,98.70833333333333,2.8620843122878576,120,120,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,63.916666666666664,13.965493690006173,120,120,matched_tail_raw_baseline
后期,EFT,EFT,deadline_miss_rate,超时失败率,lower,64.25,14.017546027698838,120,120,matched_tail_raw_baseline
后期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,27.791666666666668,17.914313245213144,120,120,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,71.75,12.06860640273771,120,120,matched_tail_raw_baseline
后期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,28.958333333333332,9.955696678713318,120,120,matched_tail_raw_baseline
后期,Random,Random,deadline_miss_rate,超时失败率,lower,99.45833333333333,1.8098508844901104,120,120,matched_tail_raw_baseline
后期,Static,Static,deadline_miss_rate,超时失败率,lower,30.791666666666668,20.062882587083074,120,120,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,11.625,7.309556884568277,120,120,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,21.588602730433145,2.497975750530542,120,120,matched_tail_raw_baseline
