episode,seed,terminated,truncated,illegal_count,no_task_count,delta_t_norm_p50,delta_t_norm_p90,delta_t_norm_p95,delta_phi_p50,delta_phi_p90,delta_phi_p95,r_base_mean,r_base_p95,r_shape_mean,r_shape_p95,r_illegal_mean,r_term_mean,r_energy_mean,r_total_mean,r_total_p95,r_base_clip_ratio,r_shape_clip_ratio,r_total_clip_ratio,rsu_mismatch_count,rsu_mismatch_ratio
1,42,False,True,0,3879,0.0,0.0,0.0,0.0,0.007315346986666693,0.012225987626666601,0.02025933881064769,0.0,0.0008953513801920001,0.0012225987626666602,0.0,0.125,0.0,0.14615469019083968,0.001488886826666658,0.00675,0.0,0.0,16,1.0
2,43,False,True,2,3871,0.0,0.0,0.0,0.0,0.004384207360000003,0.013001304426666582,0.0141092081870628,0.0,0.0008263521356400003,0.0013001304426666584,-0.001,0.125,0.0,0.1389355603227028,0.001708499157333332,0.00375,0.0,0.0,14,1.0
3,44,False,True,0,3882,0.0,0.0,0.0,0.0,0.008449244586666627,0.01414237162666665,0.021765736753006425,0.0,0.0009269932652826668,0.0014142371626666651,0.0,0.125,0.0,0.1476927300182891,0.001709088746666665,0.00875,0.0,0.0,14,1.0
4,45,False,True,2,3882,0.0,0.0,0.0,0.0,0.004680689813333361,0.012395693866666724,0.019901728827682715,0.0,0.0008715940872666667,0.0012395693866666725,-0.001,0.125,0.0,0.14477332291494938,0.0016025297333333245,0.00525,0.0,0.0,16,1.0
5,46,False,True,0,3867,0.0,0.0,0.0,0.0,0.005462324480000058,0.013459680426666676,0.02020886061361366,0.0,0.0008621045447733337,0.0013459680426666676,0.0,0.1325,0.0,0.153570965158387,0.001822611769599988,0.00525,0.0,0.0,18,1.0
6,47,False,True,1,3878,0.0,0.0,0.0,0.0,0.006304215680000058,0.013837325439999937,0.016927905177228628,0.0,0.000909510162498667,0.0013837325439999939,-0.0005,0.1,0.0,0.1173374153397273,0.001638401130666667,0.0045,0.0,0.0,21,1.0
7,48,False,True,0,3857,0.0,0.0,0.0,0.0,0.005693121706666693,0.012507667333333352,0.015188687755990976,0.0,0.0008760931590186669,0.0012507667333333354,0.0,0.0875,0.0,0.10356478091500965,0.002337341301333318,0.00225,0.0,0.0,23,1.0
8,49,False,True,0,3880,0.0,0.0,0.0,0.0,0.0058106715786666865,0.01285642837333345,0.016806596476816447,0.0,0.0009231799539306671,0.001285642837333345,0.0,0.1125,0.0,0.13022977643074712,0.0017161601674666395,0.00325,0.0,0.0,18,1.0
9,50,False,True,1,3875,0.0,0.0,0.0,0.0,0.008660052053333311,0.014784275626666732,0.020072674171938018,0.0,0.0009167713255600004,0.0014784275626666733,-0.0005,0.1375,0.0,0.157989445497498,0.0018583136639999998,0.005,0.0,0.0,20,1.0
10,51,False,True,1,3882,0.0,0.0,0.0,0.0,0.007381308586666635,0.013934619114666646,0.01938405163707554,0.0,0.0009318275593813334,0.0013934619114666646,-0.0005,0.1125,0.0,0.13231587919645688,0.0018034625919999938,0.005,0.0,0.0,13,1.0
