episode,task_success_rate,mean_cft_est,risk_penalty_mean
1,0.37970575808369683,3.5408199124531046,0.020063261123390977
2,0.36474423465722217,3.535999446764729,0.01972874859862125
3,0.40276143500183187,3.5365826610331705,0.019173439829210406
4,0.42403966937067894,3.5113497068339448,0.01969703926505989
5,0.42754714868679033,3.448451763865949,0.018333165501676543
6,0.44015259739528295,3.472387833466721,0.019663793740234584
7,0.45324189344774607,3.4651605488956845,0.019076454235043595
8,0.458923146951171,3.3832981867845233,0.01785295720224603
9,0.4827237336134403,3.3837083687396308,0.01697215438612441
10,0.5232092328951691,3.4064206526901537,0.01875697443618207
11,0.4956472897595948,3.3693559845725165,0.01884464170597365
12,0.5152698319169509,3.3340427262070667,0.01805623622369283
13,0.5321816239629373,3.312540959096871,0.016683601582774318
14,0.5439997408398163,3.2647554685766025,0.01831272802627641
15,0.5384771640388362,3.2480654003836946,0.016377567766550766
16,0.582014178338794,3.25201115832064,0.016315197306827376
17,0.5823388119763936,3.227371198453216,0.015910976934829124
18,0.5801930239728825,3.1957076139591214,0.016147507985451223
19,0.5897572978346938,3.243461322347802,0.015843603352432765
20,0.6172753590592418,3.2132704052089003,0.015940381405974917
21,0.606655072368691,3.2029244135361807,0.015114047382861194
22,0.6375056351316976,3.1886198293287915,0.01528174010798506
23,0.6238441530967332,3.122014188785494,0.015117213272635493
24,0.6677453195162173,3.1485276902113366,0.015601006645584028
25,0.6427036177759156,3.0750500151651265,0.015633311996775794
26,0.6688975837448083,3.104058283120105,0.014499024243855829
27,0.6739095677653312,3.1057664024755005,0.014606122504487992
28,0.6581130168939687,3.0808402093376324,0.015095738038864536
29,0.6792183362363657,3.068432377579605,0.014204023956001607
30,0.6961327373409752,3.027643905031448,0.013534534286592105
31,0.6980046340003517,2.9959592856871797,0.01435093672280043
32,0.6979217388036973,3.0084251984080357,0.012133791262133724
33,0.7332347736311617,2.9649466466158034,0.015065450090168438
34,0.7193573434031131,2.9756404173149997,0.013070404756436968
35,0.7251643204056396,3.00061621254411,0.013188675750312328
36,0.7470760273218963,2.9515867927064643,0.012072637641474374
37,0.7266690732444598,2.9631829895060497,0.012407704911773567
38,0.752747571514724,2.907226014191393,0.012131294786443536
39,0.7486128920180483,2.953973108488614,0.012932178669227848
40,0.7676745114755458,2.9253528377417757,0.012318125465099533
41,0.772711118922249,2.918912467180822,0.013364305002560606
42,0.7792131809367819,2.9506764497952136,0.012437270590579386
43,0.7928535003603883,2.9186323277435577,0.012669718876524457
44,0.7778190851030381,2.866658555091308,0.012646971843437682
45,0.7765994307609284,2.8231505192177226,0.013045435361981085
46,0.7715421944434494,2.916228755597903,0.012061685745447583
47,0.7904873751469341,2.8306678752193823,0.011656490788675337
48,0.8021876619296566,2.855133484695408,0.011469522909424514
49,0.8124927365473281,2.831884745352279,0.01067807404020226
50,0.8148596625626667,2.8735049686393737,0.010688028456728506
51,0.814322551204388,2.84614991957597,0.011658116097474332
52,0.8180047202135304,2.7783795296633667,0.010457565360430892
53,0.8090468237533218,2.7814270003283705,0.010883102314655158
54,0.8414623390842293,2.8138439115253333,0.011686584568648996
55,0.8216087380594093,2.80574763373454,0.010887388264598239
56,0.8220197029660623,2.7856879512460666,0.012419393088858904
57,0.8310612070733784,2.7145270699283675,0.01126034471995285
58,0.8240073295151461,2.758920579037476,0.010838889487469009
59,0.8533755971914341,2.7589781675453,0.010990470192521268
60,0.8509634737797119,2.7329026241060554,0.010826781584866836
61,0.8357390465885355,2.7879314265716792,0.011748773922062427
62,0.8502704406583956,2.72250038361955,0.01098264368680299
63,0.8508733562827565,2.7795009626446805,0.009960826016177041
64,0.8554730757925382,2.76450871626287,0.01085453923623403
65,0.8520547872949696,2.738226956319149,0.010582672650220518
66,0.8718048213931429,2.7039493144101145,0.01044964423995651
67,0.8619128424646955,2.7260035404537533,0.009560964648370838
68,0.8620700285668933,2.710804262377245,0.009554493584242244
69,0.8696826342774915,2.7617956818174925,0.009630369941346141
70,0.8696311238329539,2.7053978383951267,0.008943961726794918
71,0.885089716234841,2.661239568369195,0.009923274856485111
