policy,metric_id,metric_name,direction,matched_tail_k,rl_mean,baseline_mean,oriented_delta
CP-EFT,reward_mean,平均步奖励,higher,50,0.012220376040786456,0.0029397903375548073,0.009280585703231647
CP-EFT,task_sr,任务成功率,higher,50,0.879,0.596,0.28300000000000003
CP-EFT,subtask_sr,子任务成功率,higher,50,0.9820217599611276,0.8572142603506524,0.12480749961047521
CP-EFT,avg_power,平均功率,lower,50,0.5428069990986598,0.00017336745660669485,-0.5426336316420531
CP-EFT,avg_rsu_queue,平均RSU队列,lower,50,0.192149414023477,1.3591981958180173,1.1670487817945403
EFT,reward_mean,平均步奖励,higher,50,0.012220376040786456,0.002629559490178412,0.009590816550608044
EFT,task_sr,任务成功率,higher,50,0.879,0.579,0.30000000000000004
EFT,subtask_sr,子任务成功率,higher,50,0.9820217599611276,0.8488634119670019,0.13315834799412574
EFT,avg_power,平均功率,lower,50,0.5428069990986598,0.00023467700964214088,-0.5425723220890176
EFT,avg_rsu_queue,平均RSU队列,lower,50,0.192149414023477,1.845743727166855,1.6535943131433781
Greedy,reward_mean,平均步奖励,higher,50,0.012220376040786456,0.009835551144517738,0.002384824896268718
Greedy,task_sr,任务成功率,higher,50,0.879,0.867,0.01200000000000001
Greedy,subtask_sr,子任务成功率,higher,50,0.9820217599611276,0.9427805915840065,0.039241168377121105
Greedy,avg_power,平均功率,lower,50,0.5428069990986598,0.42322831991889204,-0.11957867917976778
Greedy,avg_rsu_queue,平均RSU队列,lower,50,0.192149414023477,7.1167350054384295,6.924585591414952
Local-Only,reward_mean,平均步奖励,higher,50,0.012220376040786456,0.012021835427787491,0.0001985406129989646
Local-Only,task_sr,任务成功率,higher,50,0.879,0.853,0.026000000000000023
Local-Only,subtask_sr,子任务成功率,higher,50,0.9820217599611276,0.9796079568151137,0.0024138031460139153
Local-Only,avg_power,平均功率,lower,50,0.5428069990986598,0.0,-0.5428069990986598
Local-Only,avg_rsu_queue,平均RSU队列,lower,50,0.192149414023477,0.20565860918362247,0.013509195160145482
