baseline,metric_id,metric_cn,direction,n_total,n_effective,matched_k,wins,losses,ties,win_rate,p_value_sign_test,welch_t,welch_p_value,bootstrap_ci95_low,bootstrap_ci95_high,mean_oriented_diff,median_oriented_diff,stat_basis
CP-EFT,deadline_miss_rate,超时失败率,lower,120,114,120,110,4,6,0.9649122807017544,6.663617459223266e-28,17.08109296483776,8.73622168402773e-39,36.43645833333333,45.71041666666666,41.083333333333336,45.0,matched_tail_raw_baseline
EFT,deadline_miss_rate,超时失败率,lower,120,119,120,112,7,1,0.9411764705882353,1.7958823645979897e-25,17.339755044023363,6.786271358696632e-39,36.41458333333334,45.791666666666664,41.125,45.0,matched_tail_raw_baseline
Greedy,deadline_miss_rate,超时失败率,lower,120,111,120,68,43,9,0.6126126126126126,0.022297954801947777,3.0328975266372464,0.0026927458157129116,3.1031250000000012,14.874999999999996,8.916666666666666,10.0,matched_tail_raw_baseline
LB-Greedy,deadline_miss_rate,超时失败率,lower,120,116,120,114,2,4,0.9827586206896551,1.6339108165693986e-31,21.25089259038599,6.195226268018091e-48,45.186458333333334,54.23020833333333,49.666666666666664,50.0,matched_tail_raw_baseline
Local-Only,deadline_miss_rate,超时失败率,lower,120,112,120,50,62,8,0.44642857142857145,0.29859285283285963,-3.9626083657410516,0.00011267383955770328,-13.958333333333334,-4.769791666666671,-9.25,-5.0,matched_tail_raw_baseline
Random,deadline_miss_rate,超时失败率,lower,120,119,120,119,0,1,1.0,3.009265538105073e-36,29.887151621112174,2.3015846764582226e-57,60.76979166666666,69.146875,64.95833333333333,70.0,matched_tail_raw_baseline
Static,deadline_miss_rate,超时失败率,lower,120,112,120,67,45,8,0.5982142857142857,0.0467350681939627,3.6198294423922093,0.00036030352384916047,4.708333333333332,16.56354166666666,10.833333333333334,12.499999999999996,matched_tail_raw_baseline
CP-EFT,mean_cft_est,平均完工时间估计,lower,120,120,120,119,1,0,0.9916666666666667,1.8206056505533455e-34,36.51644305049009,2.0142981588839095e-99,8.125598083768306,9.031886612558386,8.590429156382902,8.89905038356784,matched_tail_raw_baseline
EFT,mean_cft_est,平均完工时间估计,lower,120,120,120,119,1,0,0.9916666666666667,1.8206056505533455e-34,38.24505392375374,1.3877653411643262e-103,8.844735276184498,9.801593758356594,9.295230428616227,9.550706343650834,matched_tail_raw_baseline
Greedy,mean_cft_est,平均完工时间估计,lower,120,120,120,73,47,0,0.6083333333333333,0.022082715809702242,2.815538143774094,0.005282136778886774,0.21537073259552378,1.0786607935965071,0.6438514590263388,0.8259143018722535,matched_tail_raw_baseline
LB-Greedy,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,45.73255064450108,1.3146186208547278e-114,9.302422986052452,10.112372300153993,9.720292585770308,10.004869832992576,matched_tail_raw_baseline
Local-Only,mean_cft_est,平均完工时间估计,lower,120,120,120,97,23,0,0.8083333333333333,5.263609792232968e-12,10.520761035669258,1.9655989471785453e-21,1.914906427375473,2.793301610018806,2.3620303481419835,2.6273691511154063,matched_tail_raw_baseline
Random,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,63.80917189369126,3.56278876054269e-105,10.96234825471443,11.657957522964496,11.30732005095484,11.432093296051043,matched_tail_raw_baseline
