window,method,policy,metric_id,metric_cn,direction,mean,std,p10,p50,p90,ci95_low,ci95_high,n,matched_k,stat_basis,rank
末500,EFT,EFT,deadline_miss_rate,超时失败率,lower,75.875,10.485333895053428,60.0,75.0,90.0,74.08333333333333,77.66666666666667,120,120,matched_tail_raw_baseline,6.0
末500,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,84.41666666666667,9.508583767633667,70.0,85.0,95.0,82.58333333333333,86.0,120,120,matched_tail_raw_baseline,7.0
末500,Random,Random,deadline_miss_rate,超时失败率,lower,99.70833333333333,1.3434924595231332,100.0,100.0,100.0,99.45833333333333,99.91666666666667,120,120,matched_tail_raw_baseline,8.0
全程,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,13.811333947420101,1.8616070060865377,11.727248063087439,13.58015340328214,16.393204160690296,13.469719143648922,14.124734829904614,120,120,matched_tail_raw_baseline,1.0
全程,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,14.45518540644644,1.6762014533486302,11.99902902889249,14.515326938629133,16.591134162902822,14.157844704033911,14.753130337838314,120,120,matched_tail_raw_baseline,2.0
全程,Static,Static,mean_cft_est,平均完工时间估计,lower,15.050909377177538,1.8153159798050602,12.919784173965427,14.931241087913495,17.514006055831896,14.740590757477266,15.387355169077697,120,120,matched_tail_raw_baseline,3.0
全程,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,16.173364295562084,1.6071905125600146,14.205151466369605,16.176020784378018,18.11473742675779,15.900247349590039,16.452871941246563,120,120,matched_tail_raw_baseline,4.0
全程,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,22.401763103803,1.7819730052179314,20.10856280517578,22.8894326210022,23.939538841247558,22.086514909128347,22.704433642478783,120,120,matched_tail_raw_baseline,5.0
全程,EFT,EFT,mean_cft_est,平均完工时间估计,lower,23.106564376036324,1.9033825074992212,21.544676057815558,23.481276750564575,24.54176775932312,22.729495427787302,23.45048536187609,120,120,matched_tail_raw_baseline,6.0
全程,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,23.531626533190412,1.3984062393751377,22.543305139541634,23.73210229873657,24.801691923141483,23.278430792522432,23.764453527994956,120,120,matched_tail_raw_baseline,7.0
全程,Random,Random,mean_cft_est,平均完工时间估计,lower,25.11865399837494,0.5501120725727014,24.496292495727538,25.057730674743652,25.989403533935548,25.01824765143792,25.214488867461682,120,120,matched_tail_raw_baseline,8.0
