episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,oracle_match_rate,oracle_match_eps_abs_rate,oracle_match_eps_rel_rate,action_regret_mean,action_regret_p95,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,-1.165470204765851,-0.000551567349219503,169.69114990234374,0.1,0.1,0.1,0.6169154228855721,0.7368421052631579,0.2732919254658385,0.4906832298136646,0.2360248447204969,0.5009775496295964,0.0215,0.0215,0.13,0.4104653268696946,0.6662014143162821,47.368421052631575,0.00775833428072114,0.47368421052631576,0.10550690737483603,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3978279866145048,-0.2683734277017773,1.4951106499189375,20,20,24.37617588043213
2,,-0.8835122993478103,0.0003882923355072992,431.4513671875,0.5,0.5,0.5,0.7761194029850746,0.8461538461538461,0.2949640287769784,0.4892086330935252,0.2158273381294964,0.5008884921083226,0.0006666666666666666,0.0006666666666666666,0.06666666666666667,0.06749459046927714,1.206996366983765,36.666666666666664,-0.008720341546020945,0.36666666666666664,0.01587143474719841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9054499452993707,-0.3015464216843941,1.7972677744277634,20,20,17.35209584236145
3,,-0.8862974741381413,0.00037900841953952895,372.54970703125,0.5,0.5,0.5,0.8301886792452831,0.8979591836734694,0.4110032362459547,0.3818770226537217,0.20711974110032363,0.49681294717111935,0.08166666666666667,0.08166666666666667,0.23333333333333334,0.08465335523552418,1.3374682750073745,42.1875,-0.0005321827908914202,0.421875,0.22110349374663624,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8560221555887274,-0.481446119418647,1.7000828327357687,20,20,17.35975193977356
4,,-1.0247583203258306,-8.252773441943566e-05,218.56951293945312,0.35,0.35,0.35,0.7798507462686567,0.86,0.43354430379746833,0.35443037974683544,0.2120253164556962,0.49792049294665536,0.082,0.082,0.22,0.00674664697536501,1.0689018464084814,52.23880597014925,-0.11695714627572637,0.5223880597014925,0.2095960042081423,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8408540007848674,-0.22804784562361408,1.8256981467586928,20,20,20.489871740341187
5,,-0.8742985361130086,0.00041900487962330486,8.367459487915038,0.5,0.5,0.5,0.848780487804878,0.8709677419354839,0.38028169014084506,0.4413145539906103,0.1784037558685446,0.49689490600434755,0.03983333333333333,0.03983333333333333,0.14333333333333334,0.10687975106727347,1.0933459964813317,50.0,-0.09865432770546624,0.5,0.03957446507628532,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8303258377596039,-0.2630201587217278,1.4261745184236578,20,20,18.29479694366455
6,,0.436259278957052,0.03116137706836086,29.977537155151367,1.0,1.0,1.0,1.0,1.0,0.40601503759398494,0.41353383458646614,0.18045112781954886,0.503903715272567,0.11071428571428571,0.11071428571428571,0.42857142857142855,0.9979907159473622,0.09229028446828652,16.666666666666664,-0.02837098770048489,0.16666666666666666,0.013528089447351541,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.45875751413065124,0.3664672296623647,1.8300594659976535,20,20,1.1682889461517334
7,,0.43932023277371113,0.029288015518247407,22.634360122680665,1.0,1.0,1.0,1.0,1.0,0.5230769230769231,0.2923076923076923,0.18461538461538463,0.49952931286146246,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.9983955724241624,0.0804231379829396,33.33333333333333,-0.014059918433427023,0.3333333333333333,0.027145956688291794,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.46917746864010024,0.38875433065716064,1.6655805143285127,20,20,1.2826423645019531
8,,-0.6032591570257038,0.0013224694765809877,1.7757390975952148,0.8,0.8,0.8,0.8781725888324873,0.9565217391304348,0.45248868778280543,0.416289592760181,0.13122171945701358,0.49691538713802585,0.039,0.039,0.12333333333333334,0.7168472040249431,1.14627337101135,62.06896551724138,0.02734768258955045,0.6206896551724138,0.14710070385301915,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8904190299376653,-0.2558543410736846,1.547143985244402,20,20,12.471322059631348
9,,-0.6637465017439561,0.001120844994186813,452.4455139160156,0.65,0.65,0.65,0.865979381443299,0.8571428571428571,0.48,0.368,0.152,0.49636403808773805,0.0445,0.0445,0.11333333333333333,0.3732114662475001,1.1719182389925973,47.368421052631575,-0.033076397104250865,0.47368421052631576,0.17007134278316577,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8974550472539404,-0.27446319173865685,1.6738904989868886,20,20,16.001832008361816
10,,-0.6410862780248117,0.0011963790732506276,62.811980438232425,0.9,0.9,0.9,0.9536082474226805,0.9411764705882353,0.5469387755102041,0.34285714285714286,0.11020408163265306,0.49850057282857596,0.0415,0.0415,0.11,0.5033712852896137,1.6732578791071984,48.148148148148145,0.020720726859528697,0.48148148148148145,0.1407310137111086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.870509914693218,-0.8027479644139803,1.6692020483208463,20,20,12.437927961349487
