episode,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,ma_fairness,ma_reward_gap,ma_collaboration,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,2.353055304568518,0.007843517681895059,0.011242447320596668,0.0,0.0,0.0,0.18,0.0,0.48148148148148145,0.5185185185185185,0.0,0.5009507251440879,0.0005369127516778523,1.0,0.0,0.1610738255033557,0.010863018555694385,0.010863018555694385,4.781779690785289,13,13,19.043738842010498
2,5.272038672631779,0.01757346224210593,0.048611590705279796,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.3057324840764331,0.0,0.2708333333333333,0.7291666666666666,0.0,0.49607825528480554,0.0004954173891503591,1.0,0.0,0.2229378251176616,0.01881445130775639,0.01881445130775639,4.989000963264701,14,14,19.399426460266113
3,3.5826978249507357,0.011942326083169119,0.014112494039443969,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.24836601307189543,0.0,0.34210526315789475,0.6578947368421053,0.0,0.49543713452877153,0.0013034410844629822,1.0,0.0,0.31282586027111575,0.01440097257877888,0.01440097257877888,4.394985070966592,14,14,17.645158767700195
4,3.1185599037638685,0.010395199679212895,0.014576338912680079,0.0,0.0,0.0,0.1990521327014218,0.0,0.42857142857142855,0.5714285714285714,0.0,0.5123835926832856,0.0011555350127108851,1.0,0.0,0.04622140050843541,0.01213387615411504,0.01213387615411504,4.358524977109324,18,18,19.063820123672485
5,5.255976350826309,0.01751992116942103,0.02332341594904262,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3691275167785235,0.0,0.2,0.8,0.0,0.5281567705570099,0.001388888888888889,1.0,0.0,0.33333333333333337,0.020853254502754524,0.020853254502754524,3.922779008797301,12,12,17.40429186820984
6,8.366537531401331,0.027888458438004436,0.0723896384639502,0.0,0.0,0.0,0.5069444444444444,0.0,0.1780821917808219,0.821917808219178,0.0,0.5199265980714137,0.0010878433505575197,1.0,0.0,0.19037258634756596,0.03112127328390017,0.03112127328390017,3.992064156242498,13,13,16.79534411430359
7,21.810287139003133,0.07270095713001044,0.39331041486002505,0.25,0.25,0.25,0.49572649572649574,1.0,0.13793103448275862,0.853448275862069,0.008620689655172414,0.5206475972086865,0.0008934554389099843,1.0,0.0,0.13401831583649765,0.06850497468119263,0.06850497468119263,4.29056430447772,20,20,20.797098636627197
8,15.27099480895821,0.0509033160298607,0.1552234236690877,0.125,0.125,0.125,0.5163043478260869,0.0,0.15789473684210525,0.8421052631578947,0.0,0.5133247479366568,0.000449842555105713,1.0,0.0,0.2699055330634278,0.04742062408425697,0.04742062408425697,4.248417746525834,16,16,21.527849912643433
9,7.37055314032048,0.024568510467734932,0.06204019716510979,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.378698224852071,0.0,0.234375,0.765625,0.0,0.5167513205790221,0.0007182188173330142,1.0,0.0,0.3112281541776395,0.02447731284333853,0.02447731284333853,4.371353361998586,15,15,19.80788278579712
10,11.44745593215924,0.0381581864405308,0.10005735874085897,0.125,0.125,0.125,0.483695652173913,0.0,0.16853932584269662,0.8314606741573034,0.0,0.5231709212438269,0.0007466401194624191,1.0,0.0,0.17421602787456447,0.03962690592182015,0.03962690592182015,4.402307958242003,16,16,18.111775636672974
11,10.9457977147771,0.036485992382590336,0.06800879828294674,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.512987012987013,0.0,0.17721518987341772,0.8227848101265823,0.0,0.5262297262097456,0.00026838432635534085,1.0,0.0,0.1610305958132045,0.03906613693415505,0.03906613693415505,4.326193827992474,14,14,17.41111421585083
12,12.86194923048993,0.0428731641016331,0.1045089323169497,0.125,0.125,0.125,0.5129533678756477,0.0,0.15151515151515152,0.8484848484848485,0.0,0.5317471262506002,0.00022920009168003668,1.0,0.0,0.16044006417602566,0.039629513389969215,0.039629513389969215,4.402162955880662,16,16,20.93255352973938
13,8.571629808970071,0.028572099363233572,0.050353624479612336,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5034965034965035,0.0,0.1527777777777778,0.8472222222222222,0.0,0.5164354501995776,0.0002777777777777778,1.0,0.0,0.1388888888888889,0.031905432696567024,0.031905432696567024,4.734908039735852,12,12,17.15912628173828
14,4.783367826040467,0.015944559420134893,0.03391205510800524,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26136363636363635,0.0,0.32608695652173914,0.6739130434782609,0.0,0.5167251624183721,0.0007496251874062968,1.0,0.0,0.17491254372813594,0.017793534540494257,0.017793534540494257,4.367762253524592,15,15,19.047462701797485
15,14.422446066167574,0.048074820220558576,0.11249572868340664,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.507177033492823,0.0,0.12264150943396226,0.8773584905660378,0.0,0.5115015834166685,0.0012251899044351876,1.0,0.0,0.17152658662092624,0.050848208074554334,0.050848208074554334,4.514745024614175,18,18,18.950933694839478
16,17.19214048230479,0.05730713494101597,0.12725830066647434,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.5575221238938053,0.0,0.09523809523809523,0.9047619047619048,0.0,0.518621940044506,0.000656024491581019,1.0,0.0,0.21867483052700631,0.05418437148260251,0.05418437148260251,4.619295387507154,19,19,21.540268659591675
17,54.66553049425712,0.18221843498085707,1.7357592617697788,0.6875,0.6875,0.6875,0.8858695652173914,0.0,0.03680981595092025,0.9631901840490797,0.0,0.5168755049671883,0.0002358490566037736,1.0,0.0,0.18867924528301888,0.1679912632362778,0.1679912632362778,4.454716230034809,16,16,18.808337688446045
18,68.49176709667762,0.22830589032225873,3.0492362963826687,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8640776699029126,0.0,0.016853932584269662,0.9831460674157303,0.0,0.5050315131765132,0.00021258503401360543,1.0,0.0,0.3401360544217687,0.1999878370256849,0.1999878370256849,4.2492388630278874,18,18,20.703283071517944
19,78.12365449858626,4.595509088152133,264.2521692911784,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.48987762994297285,0.0,1.0,0.0,0.0,4.595509088152133,4.595509088152133,6.68747730778066,12,12,0.8157093524932861
20,55.882020825088965,0.18627340275029655,1.5684485372663144,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9924812030075187,0.0,0.007575757575757576,0.9924242424242424,0.0,0.5069967021132147,0.0,1.0,0.0,0.1388888888888889,0.18960673608363035,0.18960673608363035,4.565523343922257,12,12,14.027540922164917
21,66.95456512223342,0.22318188374077808,2.5760350522975766,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8905472636815921,0.0,0.0111731843575419,0.9888268156424581,0.0,0.4920780484714886,0.0,1.0,0.0,0.24919013207076998,0.22973828589504516,0.22973828589504516,4.781804494268398,17,17,17.539608001708984
22,9.93807951909951,0.0331269317303317,0.3661298477572614,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.5161290322580645,0.0,0.125,0.875,0.0,0.5160063663841881,0.0005329070077271516,1.0,0.0,0.45297095656807884,0.03511974555214606,0.03511974555214606,4.69805879314566,13,13,17.52163338661194
23,5.141914979560912,0.017139716598536373,0.053759996269735086,0.0,0.0,0.0,0.28061224489795916,0.0,0.3090909090909091,0.6909090909090909,0.0,0.5107510337959628,0.0006770480704129993,1.0,0.0,0.18054615211013314,0.01762107632837545,0.01762107632837545,4.482212839491563,17,17,21.096444845199585
24,5.283281832302051,0.017610939441006838,0.02624752876468964,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3045977011494253,0.0,0.22641509433962265,0.7735849056603774,0.0,0.491874922397649,0.0007505629221916438,1.0,0.0,0.3002251688766575,0.01920866752606043,0.01920866752606043,4.302890590983167,15,15,18.996320486068726
25,2.5715692124136966,0.008571897374712322,0.002202682097309402,0.0,0.0,0.0,0.18064516129032257,0.0,0.5,0.5,0.0,0.49961030233389214,0.0014745637748832638,1.0,0.0,0.4669451953797002,0.01061184419414902,0.01061184419414902,4.533617518008621,14,14,19.814916849136353
26,4.33412145463107,0.0144470715154369,0.009762468052998421,0.0,0.0,0.0,0.2802547770700637,0.0,0.3181818181818182,0.6818181818181818,0.0,0.5188154105151839,0.0004901960784313725,1.0,0.0,0.4166666666666667,0.015849861289455296,0.015849861289455296,4.639832234406354,14,14,19.50184917449951
