episode,seed,base_seed,t_ref,terminated,truncated,illegal_count,no_task_count,no_task_ratio,decision_step_ratio,all_steps,all_r_base_clip_ratio,all_r_shape_clip_ratio,all_r_total_clip_ratio,all_delta_t_abs_norm_p50,all_delta_t_abs_norm_p90,all_delta_t_abs_norm_p95,all_delta_phi_p50,all_delta_phi_p90,all_delta_phi_p95,all_r_total_mean,all_r_total_p50,all_r_total_p90,all_r_total_p95,all_base_clipped_rate_nonzero,decision_steps,decision_r_base_clip_ratio,decision_r_shape_clip_ratio,decision_r_total_clip_ratio,decision_delta_t_abs_norm_p50,decision_delta_t_abs_norm_p90,decision_delta_t_abs_norm_p95,decision_delta_phi_p50,decision_delta_phi_p90,decision_delta_phi_p95,decision_r_total_mean,decision_r_total_p50,decision_r_total_p90,decision_r_total_p95,decision_base_clipped_rate_nonzero,nonzero_steps,nonzero_r_base_clip_ratio,nonzero_r_shape_clip_ratio,nonzero_r_total_clip_ratio,nonzero_delta_t_abs_norm_p50,nonzero_delta_t_abs_norm_p90,nonzero_delta_t_abs_norm_p95,nonzero_delta_phi_p50,nonzero_delta_phi_p90,nonzero_delta_phi_p95,nonzero_r_total_mean,nonzero_r_total_p50,nonzero_r_total_p90,nonzero_r_total_p95,nonzero_base_clipped_rate_nonzero
1,0,0,0.7,False,True,0,3880,0.97,0.03,4000,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.005627242620952399,0.010362707451428631,0.1351755718463364,0.0,0.000596692114285713,0.0013995533561904862,0.1188118811881188,120,0.1,0.0,0.0,0.23382306843996048,0.921844798326493,1.2340525269508356,0.007035062171428574,0.012933445721904694,0.013841392906666593,0.48487193043984883,0.3513910371208931,1.3833395484211826,1.5008455596228572,0.1188118811881188,101,0.1188118811881188,0.0,0.0,0.3287519057596361,1.156449620624771,1.406097650527954,0.00623694262857144,0.0109104019809525,0.013524115657142843,0.5759238444980759,0.49372491342040653,1.5004991555657143,1.5008552535314286,0.1188118811881188
2,1,0,0.7,False,True,0,3883,0.97075,0.02925,4000,0.00275,0.0,0.0,0.0,0.0,0.0,0.0,0.004052426057142844,0.009678222712380894,0.10589087649071022,0.0,0.0005211581775238069,0.0012472497371428526,0.1111111111111111,117,0.09401709401709402,0.0,0.0,0.2701709270477295,0.9879647494371947,1.3599742174148555,0.008687883428571408,0.013003537554285717,0.014981982598095328,0.35089011861742675,0.4057760320192133,1.4827121099264586,1.5009319382186668,0.1111111111111111,99,0.1111111111111111,0.0,0.0,0.37293708324432373,1.0448115587234497,1.4210700869560222,0.008612825980952366,0.013065861485714203,0.021938649615237782,0.4145379891804029,0.5599997937960094,1.5003895981699047,1.5009465065584762,0.1111111111111111
3,2,0,0.7,False,True,0,3880,0.97,0.03,4000,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0.004032593676190466,0.008297432537142825,0.126529944399915,0.0,0.0004032593676190466,0.001084057241904768,0.049019607843137254,120,0.041666666666666664,0.0,0.0,0.24610403925180435,0.8044957041740418,0.9194215588071057,0.006957742666666655,0.012871842560000119,0.054219787893333225,0.6993709972204684,0.36963986089294465,1.2157797300814628,1.4255520566501767,0.049019607843137254,102,0.049019607843137254,0.0,0.0,0.30482906103134155,0.819053339958191,0.9457257235902341,0.007810788723809581,0.013479850849523927,0.05163760419047588,0.8225860540955651,0.48673484217721097,1.2342189969916604,1.4965731854080535,0.049019607843137254
4,3,0,0.7,False,True,0,3883,0.97075,0.02925,4000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.004007539504761903,0.010080375314285739,0.16200594450707928,0.0,0.0004068687238095226,0.0013635032228571432,0.07766990291262135,117,0.06837606837606838,0.0,0.0,0.3356044693688501,0.9530409693717957,1.1511333942413327,0.007754609371428578,0.013658390887619066,0.030079751923809017,1.0742752176563044,0.5366923986346621,1.4658334266689277,1.500667902384762,0.07766990291262135,103,0.07766990291262135,0.0,0.0,0.46007768197244425,0.9734296917915344,1.172195208072662,0.007456362209523837,0.013509458529523809,0.0625564008228567,1.2201500441633752,0.7133838382204649,1.4856776714013435,1.5006774196114285,0.07766990291262135
5,4,0,0.7,False,True,0,3865,0.96625,0.03375,4000,0.00275,0.0,0.0,0.0,0.0,0.0,0.0,0.005076275230476184,0.010057518628571405,0.15053814049085093,0.0,0.0005375998186666699,0.0012513756495238005,0.1,135,0.08148148148148149,0.0,0.0,0.27783575654029846,0.9423965096473694,1.1116637174904191,0.007789610057142848,0.013375522880000016,0.03766057999238084,0.8135188420432445,0.37672523243290845,1.4411910792606706,1.5007749045942858,0.1,110,0.1,0.0,0.0,0.4415102129323327,0.9707004547119147,1.135578820797778,0.007857162514285698,0.01361724788571435,0.06851153731047617,0.9982425713388564,0.6629212837946896,1.5004244788388572,1.5007944648822857,0.1
6,1000,1,0.7,False,True,3,3883,0.97075,0.02925,4000,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.00574259550476186,0.009032866895238079,0.137801942769617,0.0,0.000574259550476186,0.001092421241904762,0.12903225806451613,117,0.10256410256410256,0.0,0.0,0.2191818654537201,0.9903283127701838,1.28606538772583,0.007753720685714338,0.011603989942857051,0.013869587809523853,0.67392983243656,0.2969152713966977,1.5001731432533334,1.5007889998933335,0.12903225806451613,93,0.12903225806451613,0.0,0.0,0.3380895680027055,1.0524196863174438,1.3053211184251314,0.007753720685714338,0.011603989942857051,0.013869587809523853,0.9121738925133372,0.5080657592573916,1.5004401686857143,1.5009171297767618,0.12903225806451613
7,1001,1,0.7,False,True,3,3885,0.97125,0.02875,4000,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.003140891276190494,0.009722447542857116,0.1326908993001171,0.0,0.0002717252266666692,0.0011318490742857179,0.02197802197802198,115,0.017391304347826087,0.0,0.0,0.1400738888501009,0.6400706768035889,0.8456108064068711,0.007313573790476147,0.014756024807619065,0.041969379359999774,0.07361772177242093,0.10971607287485555,0.9607603111322405,1.2694049672544971,0.02197802197802198,91,0.02197802197802198,0.0,0.0,0.21073469519615173,0.7583889365196228,0.8580636188118815,0.006978591009523805,0.014530403961904748,0.05341805314285708,0.15858041845278728,0.2872485146067459,1.1390740486499105,1.2878698475663937,0.02197802197802198
8,1002,1,0.7,False,True,0,3887,0.97175,0.02825,4000,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.003770370742857132,0.008746471161904778,0.15145860475842865,0.0,0.0003770370742857132,0.0013019437089523828,0.10101010101010101,113,0.08849557522123894,0.0,0.0,0.2016599228790496,0.9437051797435662,1.182863168836757,0.007999583847619007,0.013192232289523797,0.06513151744,0.739734298759244,0.3066647217496316,1.4578199629151627,1.5008261469470476,0.10101010101010101,99,0.10101010101010101,0.0,0.0,0.2469562402647792,0.982555365562439,1.2284574797476642,0.008057024914285726,0.013494958994285744,0.06735739974095223,0.8442518425946351,0.3883959382663884,1.500364726704762,1.500883442951619,0.10101010101010101
9,1003,1,0.7,False,True,0,3874,0.9685,0.0315,4000,0.00175,0.0,0.0,0.0,0.0,0.0,0.0,0.0035187705904761724,0.009003456914285723,0.12221714948245366,0.0,0.0003518770590476173,0.001296601539047626,0.07142857142857142,126,0.05555555555555555,0.0,0.0,0.19677158167999725,0.8463466167449951,1.055702483416847,0.0070406089142857065,0.01398970902857144,0.055756171600000015,0.5295539648439107,0.28428207720518567,1.2737453489824113,1.5006619814704762,0.07142857142857142,98,0.07142857142857142,0.0,0.0,0.33933477103710175,0.881165027618408,1.11735925078392,0.007541084495238104,0.014329596495238128,0.06934910099809526,0.6805944156829679,0.49330434421375524,1.3983830785868456,1.5008726778514285,0.07142857142857142
10,1004,1,0.7,False,True,1,3881,0.97025,0.02975,4000,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.003808375923809504,0.010558674125714259,0.13900363903566346,0.0,0.00037391728761904667,0.0013563408457142768,0.10869565217391304,119,0.08403361344537816,0.0,0.0,0.147659865478362,0.8483700394630432,1.3404196381568902,0.007450297142857165,0.012148326887619024,0.06463653395809522,0.871939555488455,0.21389300939676253,1.4826028470752117,1.5008516603017144,0.10869565217391304,92,0.10869565217391304,0.0,0.0,0.2316070720553398,1.038011717796326,1.4650581086591445,0.00758846655238099,0.012936928091428553,0.07328601251809529,1.1493148482534417,0.3620630405485981,1.5005949991626668,1.5009875845965714,0.10869565217391304
