episode,seed,base_seed,t_ref,terminated,truncated,illegal_count,no_task_count,no_task_ratio,decision_step_ratio,all_steps,all_r_base_clip_ratio,all_r_shape_clip_ratio,all_r_total_clip_ratio,all_delta_t_abs_norm_p50,all_delta_t_abs_norm_p90,all_delta_t_abs_norm_p95,all_delta_phi_p50,all_delta_phi_p90,all_delta_phi_p95,all_r_total_mean,all_r_total_p50,all_r_total_p90,all_r_total_p95,all_base_clipped_rate_nonzero,decision_steps,decision_r_base_clip_ratio,decision_r_shape_clip_ratio,decision_r_total_clip_ratio,decision_delta_t_abs_norm_p50,decision_delta_t_abs_norm_p90,decision_delta_t_abs_norm_p95,decision_delta_phi_p50,decision_delta_phi_p90,decision_delta_phi_p95,decision_r_total_mean,decision_r_total_p50,decision_r_total_p90,decision_r_total_p95,decision_base_clipped_rate_nonzero,nonzero_steps,nonzero_r_base_clip_ratio,nonzero_r_shape_clip_ratio,nonzero_r_total_clip_ratio,nonzero_delta_t_abs_norm_p50,nonzero_delta_t_abs_norm_p90,nonzero_delta_t_abs_norm_p95,nonzero_delta_phi_p50,nonzero_delta_phi_p90,nonzero_delta_phi_p95,nonzero_r_total_mean,nonzero_r_total_p50,nonzero_r_total_p90,nonzero_r_total_p95,nonzero_base_clipped_rate_nonzero
11,2000,2,0.5,False,True,1,3881,0.97025,0.02975,4000,0.00225,0.0,0.0,0.0,0.0,0.0,0.0,0.00608957786666664,0.01328073029333332,0.13294698419704715,0.0,0.0006092468559999973,0.0014563526186666788,0.09278350515463918,119,0.07563025210084033,0.0,0.0,0.1326446533203125,0.8916343212127686,1.2581890344619744,0.01007660421333334,0.01711596096000001,0.08533031306666665,0.9965342806532823,0.1829888308353227,1.4946774418330038,1.5011811371264,0.09278350515463918,97,0.09278350515463918,0.0,0.0,0.24220120906829834,0.9861703634262086,1.4247036457061744,0.011349755626666624,0.017120258176000026,0.08756476863999996,1.2429668241702467,0.38241640102619856,1.5006391854410666,1.501245490208,0.09278350515463918
12,2001,2,0.5,False,True,0,3885,0.97125,0.02875,4000,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.004598746453333358,0.011000431786666764,0.12074048049215177,0.0,0.0004598746453333358,0.0012847689386666695,0.10869565217391304,115,0.08695652173913043,0.0,0.0,0.2162379012103659,0.8431398262908902,1.3160589456558225,0.008988164799999976,0.016842473088,0.01937831592533323,0.9563807969315173,0.30445924656010626,1.4473696304948884,1.5011303301184,0.10869565217391304,92,0.10869565217391304,0.0,0.0,0.33591024513181467,1.0184321761131294,1.4885016560554511,0.009857235306666712,0.016517912106666723,0.01729928120533334,1.1951408865449187,0.5264407043273734,1.5009571253813334,1.5012387990261333,0.10869565217391304
13,2002,2,0.5,False,True,0,3867,0.96675,0.03325,4000,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0058059581866666266,0.014345815402666587,0.1417928674991102,0.0,0.0006324754762666666,0.0019305504426666788,0.20689655172413793,133,0.18045112781954886,0.0,0.0,0.4082055985927582,1.2547982247896434,1.5444367453359849,0.01063010549333332,0.019194927125333414,0.10821782186666666,1.0066694971898,0.6138658101767172,1.5010561292416,1.501684416512,0.20689655172413793,116,0.20689655172413793,0.0,0.0,0.4800807099450185,1.2646827102881963,1.6218782001926184,0.01063010549333332,0.018471305013333272,0.0879409575733334,1.326285837223018,0.7501125314157415,1.5010630105493332,1.501733350976,0.20689655172413793
14,2003,2,0.5,False,True,1,3875,0.96875,0.03125,4000,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.00750114035199996,0.016323415893333415,0.13261990229347728,0.0,0.000966467839999996,0.002095500106666659,0.22448979591836735,125,0.176,0.0,0.0,0.44719676431536404,1.2156105028435202,1.3621086835861205,0.011771923253333316,0.02342772053333341,0.04710312627199997,0.6126818201785158,0.61589232602988,1.5010818292565333,1.5014879240234666,0.22448979591836735,98,0.22448979591836735,0.0,0.0,0.6420039415277904,1.2763426423072814,1.4521071851253506,0.012190926720000106,0.02294828373333328,0.03699272573866601,0.8013262529976578,0.9641446879876856,1.5012047415808,1.5014962353045334,0.22448979591836735
15,2004,2,0.5,False,True,0,3862,0.9655,0.0345,4000,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.007776546773333393,0.014494092373333434,0.14739147473329928,0.0,0.0008265161813333366,0.0024884615680000003,0.27586206896551724,138,0.2318840579710145,0.0,0.0,0.3886103456536265,1.4240044951438902,1.7511333917230034,0.009892325759999987,0.017603856853333433,0.02078402261333334,0.47914145140484865,0.5708752937771329,1.501083014656,1.5014301372394667,0.27586206896551724,116,0.27586206896551724,0.0,0.0,0.5007348330270409,1.5341981228316643,1.9047082148700452,0.009768183893333338,0.01728799605333331,0.020481108213333377,0.5693872642272395,0.751957393231228,1.5012312201173335,1.501473788992,0.27586206896551724
16,3000,3,0.5,False,True,0,3877,0.96925,0.03075,4000,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.004776086613333341,0.013280927999999914,0.15087640390198237,0.0,0.00045495514560000015,0.0016580349226666736,0.24528301886792453,123,0.21138211382113822,0.0,0.0,0.33831489086151123,1.3718520879745482,1.7585439085960384,0.010464937919999917,0.016226742037333385,0.017495941141333366,0.57142136255483,0.4458053180663254,1.5012063536597333,1.501355356608,0.24528301886792453,106,0.24528301886792453,0.0,0.0,0.4037286639213562,1.5417651534080505,1.8285402059555054,0.010478533173333249,0.016404581066666757,0.01818280413333334,0.6629251607820262,0.5787380892044469,1.5012563023146668,1.50136598544,0.24528301886792453
17,3001,3,0.5,False,True,3,3891,0.97275,0.02725,4000,0.00425,0.0,0.0,0.0,0.0,0.0,0.0,0.005798283093333301,0.0122397761066666,0.08407240353989023,0.0,0.00061015118933333,0.0015681636266666743,0.19540229885057472,109,0.1559633027522936,0.0,0.0,0.31632828762721277,1.3620082178927617,1.769762629384238,0.009910070826666728,0.019004114986666612,0.10136336079999993,0.30366694313074766,0.32598998863779477,1.5007003983189333,1.5012173072,0.19540229885057472,87,0.19540229885057472,0.0,0.0,0.48658257722854614,1.5301187981325508,1.8824584335657157,0.00918550271999996,0.01914615466666661,0.1025898773066667,0.4487831115229828,0.6712651897266363,1.5010181245098666,1.5012239776106666,0.19540229885057472
18,3002,3,0.5,False,True,0,3874,0.9685,0.0315,4000,0.00425,0.0,0.0,0.0,0.0,0.0,0.0,0.006435032640000005,0.013308763519999989,0.14295635641629303,0.0,0.0006435032640000005,0.0018022170554666751,0.16037735849056603,126,0.1349206349206349,0.0,0.0,0.2952740490436554,1.0808619557550843,1.2160035894139838,0.011588088266666685,0.022526042400000057,0.1323797340266666,1.497965017209133,0.44674999945149935,1.5009288475146667,1.5017809958826667,0.16037735849056603,106,0.16037735849056603,0.0,0.0,0.363072769641998,1.1067405343055725,1.2302409584596499,0.011818895306666688,0.06021515370666672,0.1323797340266666,1.779917448875359,0.5931386686882238,1.501230365648,1.5018746079146668,0.16037735849056603
19,3003,3,0.5,False,True,0,3887,0.97175,0.02825,4000,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.008565339626666724,0.011298808853333453,0.12962810727426172,0.0,0.0008565339626666724,0.001364508970666667,0.2127659574468085,113,0.17699115044247787,0.0,0.0,0.3403605818748474,1.205172735175869,1.5698230743792831,0.009663145813333385,0.018525927680000047,0.18832460834133327,0.9344127147474823,0.5110881654416044,1.5009593801088001,1.5012309300736,0.2127659574468085,94,0.2127659574468085,0.0,0.0,0.4560486468932497,1.2657754038080862,1.6503289222717281,0.009661913173333314,0.01842434141866672,0.1966996953386667,1.1229067142453493,0.705341304417412,1.5010316727850668,1.5012801272832,0.2127659574468085
20,3004,3,0.5,False,True,1,3878,0.9695,0.0305,4000,0.00775,0.0,0.0,0.0,0.0,0.0,0.0,0.005643146325333328,0.01486748287999995,0.10286597782774289,0.0,0.0006934547413333325,0.0022359200213333263,0.3069306930693069,122,0.2540983606557377,0.0,0.0,0.321011307858866,1.584727062791462,1.8745730638504021,0.010913817386666747,0.018956457919999944,0.020817366293333528,0.6396475372489256,0.48033089107628263,1.5011190296714667,1.5014048722730666,0.3069306930693069,101,0.3069306930693069,0.0,0.0,0.5419484376907349,1.6822662845175391,1.8883031606674194,0.010913817386666747,0.01769029952000012,0.019155154559999943,0.7919498391851706,0.8137778161307689,1.5012526978986667,1.5014233026133335,0.3069306930693069
21,4000,4,0.5,False,True,0,3881,0.97025,0.02975,4000,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.005937882666666616,0.013390068479999906,0.13075663834961085,0.0,0.0005937882666666617,0.0016524897066666712,0.26,119,0.2184873949579832,0.0,0.0,0.3057142496109009,1.7505260663866078,2.246414351463317,0.010113824000000049,0.016587735808000083,0.02019770378666658,0.41790943821204024,0.4155886418973099,1.5010832412138668,1.5013478853226665,0.26,100,0.26,0.0,0.0,0.4232954978942871,1.9147871732711799,2.4326873064041132,0.010113824000000049,0.017188560255999998,0.021403258794666553,0.4971201788353145,0.5472529298144644,1.5011201682229334,1.5014286911274668,0.26
22,4001,4,0.5,False,True,2,3880,0.97,0.03,4000,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.004166278293333325,0.013798489600000075,0.15120035883309563,0.0,0.00041662782933333257,0.0016900326474666393,0.2018348623853211,120,0.18333333333333332,0.0,0.0,0.3679401635788288,1.3225128173828127,1.5929352104663845,0.010535423893333284,0.018090396223999976,0.0772231914506666,0.6797823218334978,0.5530274047069098,1.5009578732373334,1.50137984896,0.2018348623853211,109,0.2018348623853211,0.0,0.0,0.43302743335788135,1.336548638343811,1.6696621894836419,0.01053425621333326,0.017077953578666708,0.05626989352533303,0.7848377403491476,0.6503268212901553,1.5009770070677335,1.50137984896,0.2018348623853211
23,4002,4,0.5,False,True,3,3875,0.96875,0.03125,4000,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.007728074154666685,0.013748560213333372,0.15660838978231173,0.0,0.0007978161173333387,0.0017786548693333295,0.23214285714285715,125,0.208,0.0,0.0,0.31451255083084106,1.3544874191284184,1.8944689989089962,0.011154498133333357,0.02019500573866671,0.08597313450666666,1.0653289577344767,0.4882761477981876,1.5011999778005334,1.501540877184,0.23214285714285715,112,0.23214285714285715,0.0,0.0,0.4033270786673609,1.4277303695678714,1.9633866608142843,0.010467330346666692,0.02033762583466672,0.08482499189333331,1.2420439459267525,0.6535353932046315,1.5012897903167999,1.5015909686016,0.23214285714285715
24,4003,4,0.5,False,True,0,3868,0.967,0.033,4000,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.008715310293333348,0.01499919583999998,0.1289945416956918,0.0,0.0009556030293333317,0.0020701644799999918,0.3177570093457944,132,0.25757575757575757,0.0,0.0,0.2826216220855713,1.6015348792076112,1.7878506803500887,0.011424106346666574,0.018563154133333315,0.04469836901866604,0.6240699794362367,0.4245520345790236,1.501174599392,1.5014536304576,0.3177570093457944,107,0.3177570093457944,0.0,0.0,0.522113381210124,1.6355851888656618,1.994478986262493,0.01157665781333339,0.01854884053333339,0.05651424845866605,0.7695569534323669,0.783691089799186,1.5012265875797333,1.5014994800298667,0.3177570093457944
25,4004,4,0.5,False,True,1,3888,0.972,0.028,4000,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.008371525439999972,0.013532704640000004,0.11719258418156253,0.0,0.0008371525439999973,0.0016033479679999907,0.12121212121212122,112,0.10714285714285714,0.0,0.0,0.3013993495504635,1.005184978246689,1.6291587631733684,0.01030831061333326,0.018267762133333365,0.0876102751466662,0.4958114952827574,0.4262566646217239,1.497648309986843,1.5011463131946667,0.12121212121212122,99,0.12121212121212122,0.0,0.0,0.34728026390075684,1.0244540452957156,1.980086994171141,0.00941835370666666,0.018267762133333365,0.07236346613333314,0.5804919913483586,0.46633397955687045,1.5007493396138667,1.5011558208917335,0.12121212121212122
26,5000,5,0.5,False,True,0,3887,0.97175,0.02825,4000,0.00475,0.0,0.0,0.0,0.0,0.0,0.0,0.007722276266666661,0.013265182080000049,0.14073152757940033,0.0,0.0007722276266666662,0.0015283442421333208,0.19791666666666666,113,0.168141592920354,0.0,0.0,0.23947181247581267,1.284087064775375,1.6054255008697502,0.011638595840000043,0.01819557205333333,0.028275622912000038,0.5269214994297704,0.3246295037518028,1.5010446601472,1.5012653975061334,0.19791666666666666,96,0.19791666666666666,0.0,0.0,0.38670219823969226,1.3786258017004644,1.6674253642559052,0.011789120426666688,0.018822146240000004,0.030906183413333344,0.6200231150557922,0.5489339102854072,1.5012024856213333,1.50128581984,0.19791666666666666
27,5001,5,0.5,False,True,2,3866,0.9665,0.0335,4000,0.00525,0.0,0.0,0.0,0.0,0.0,0.0,0.006215694933333293,0.012540076586666782,0.15518952067200042,0.0,0.0006241507722666605,0.0017101564144000043,0.1794871794871795,134,0.15671641791044777,0.0,0.0,0.286495251677045,1.0983392238616945,1.4625772476196286,0.010220477013333396,0.029970233856000048,0.1499568692373333,1.4008383879996937,0.4305516265075675,1.5010037118581334,1.5014648712629333,0.1794871794871795,117,0.1794871794871795,0.0,0.0,0.34815714968238065,1.1567095263937757,1.5967492341995189,0.010220477013333396,0.037029877290666764,0.14716262242133316,1.638039846108914,0.5512413114751038,1.5010713062485332,1.5018620679680001,0.1794871794871795
28,5002,5,0.5,False,True,0,3868,0.967,0.033,4000,0.00575,0.0,0.0,0.0,0.0,0.0,0.0,0.006162028586666701,0.013073258879999994,0.13450055305910014,0.0,0.0006841890346666713,0.001766393152000001,0.20353982300884957,132,0.17424242424242425,0.0,0.0,0.3442338705062866,1.2537980198860175,1.5442920148372632,0.011025131199999927,0.01729702250666665,0.020556568501333354,0.5659995604784279,0.5175603350767632,1.5010678426688,1.5012593306773334,0.20353982300884957,113,0.20353982300884957,0.0,0.0,0.5051525874881109,1.3720813976386286,1.6586145639419552,0.010827858773333254,0.01729702250666665,0.023251755221333287,0.6609818075370426,0.7593434209781426,1.5012075987968,1.501314448032,0.20353982300884957
29,5003,5,0.5,False,True,2,3878,0.9695,0.0305,4000,0.00475,0.0,0.0,0.0,0.0,0.0,0.0,0.0052317981866666415,0.012190266890666561,0.14919833260635115,0.0,0.0005010737685333322,0.001567422144000008,0.17757009345794392,122,0.1557377049180328,0.0,0.0,0.33351120352745056,1.2697211114338873,1.5457460641860956,0.01041576314666659,0.018610388096000074,0.08663542705066661,0.7690571204265954,0.4354762339955946,1.5008900061600001,1.501161765376,0.17757009345794392,107,0.17757009345794392,0.0,0.0,0.42888981103897095,1.3225131511688237,1.581035995483398,0.010289020373333235,0.018911601664000036,0.08579664870399994,0.9140281672079934,0.5580877649738177,1.5009058080789333,1.5011819983850667,0.17757009345794392
30,5004,5,0.5,False,True,0,3875,0.96875,0.03125,4000,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.007299474560000019,0.01415704799999995,0.13040620761182534,0.0,0.0007564600960000001,0.001718105237333334,0.28846153846153844,125,0.24,0.0,0.0,0.43070316314697266,1.4497666226882893,1.8220669746398923,0.010549803946666714,0.017381476757333304,0.03576028770133343,0.6259618933486508,0.5790495646307514,1.5012461119594667,1.5014116991317334,0.28846153846153844,104,0.28846153846153844,0.0,0.0,0.5715726904011512,1.5092348456382751,1.8546266998138052,0.010142189013333303,0.01738809922133331,0.054963963711999846,0.7521326487629232,0.8581975614257268,1.5012791231328,1.5015724558885333,0.28846153846153844
31,6000,6,0.5,False,True,3,3875,0.96875,0.03125,4000,0.00675,0.0,0.0,0.0,0.0,0.0,0.0,0.008667807360000057,0.014094445013333345,0.13854160951303995,0.0,0.0008667807360000058,0.0018325173866666766,0.26732673267326734,125,0.216,0.0,0.0,0.33580708503723145,1.6087918612508776,1.9459497451782226,0.011322804480000004,0.01958184038400002,0.02468869504000004,1.0451364444772677,0.5188864891773457,1.5011942414037334,1.5015671726250668,0.26732673267326734,101,0.26732673267326734,0.0,0.0,0.5043405228411644,1.714036226272583,2.119992256164551,0.011322804480000004,0.019442272000000038,0.02468869504000004,1.3522878769266253,0.7595284262608785,1.501214990848,1.5015880440533333,0.26732673267326734
32,6001,6,0.5,False,True,1,3882,0.9705,0.0295,4000,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0037039756800000267,0.012135751466666678,0.1341962468481043,0.0,0.0003602987136000003,0.0015270665461333155,0.25263157894736843,118,0.2033898305084746,0.0,0.0,0.38865262169626125,1.3124532969641223,1.6175579042913049,0.010090571733333387,0.019171150506666734,0.08969780217599987,0.6248913751795343,0.5857512817724986,1.5010610559306665,1.5012585835850665,0.25263157894736843,95,0.25263157894736843,0.0,0.0,0.5598318924529069,1.3666613141359722,1.7093396055546568,0.010090571733333387,0.01872544136533332,0.06911796505599993,0.7967592880039969,0.8411508575593604,1.5011802465706667,1.5014212013781332,0.25263157894736843
33,6002,6,0.5,False,True,0,3861,0.96525,0.03475,4000,0.01025,0.0,0.0,0.0,0.0,0.0,0.0,0.00903959591466667,0.01537147776000003,0.1277088321530846,0.0,0.0009540906240000036,0.0024152912213333266,0.3416666666666667,139,0.2949640287769784,0.0,0.0,0.44771660544936775,1.6443119525909424,2.0328249692916867,0.011767399680000068,0.020350047573333276,0.03213020827733287,0.9864764659279593,0.7118573755023165,1.5014365076053333,1.5016515299349333,0.3416666666666667,120,0.3416666666666667,0.0,0.0,0.5303435912435666,1.6520698547363282,2.0895575642585755,0.012699913440000099,0.020292523359999943,0.091049392,1.142488714608864,0.8494276009549777,1.5014367442645333,1.5018592689162666,0.3416666666666667
34,6003,6,0.5,False,True,2,3878,0.9695,0.0305,4000,0.00425,0.0,0.0,0.0,0.0,0.0,0.0,0.006927093013333385,0.015410311679999955,0.13995329161730213,0.0,0.0006945494506666706,0.0020882074453333565,0.1588785046728972,122,0.13934426229508196,0.0,0.0,0.21091493675849826,1.1901050806045537,1.4789708256721492,0.010561045760000054,0.019042049983999967,0.020866044800000223,0.7064617295620808,0.26899827696616974,1.5008394115296,1.5015366948885334,0.1588785046728972,107,0.1588785046728972,0.0,0.0,0.34939849376678467,1.2162323713302614,1.5127519369125362,0.010428586239999982,0.019892452266666763,0.021483973205333476,0.8427205910891762,0.49798740588243967,1.5010694714624,1.5016791142805332,0.1588785046728972
35,6004,6,0.5,False,True,0,3880,0.97,0.03,4000,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.00476562944000003,0.012759620821333237,0.1345871591299974,0.0,0.000476562944000003,0.0018301910613333307,0.18181818181818182,120,0.15,0.0,0.0,0.25400690176480045,1.3345815062522897,1.8052074375570009,0.010645794826666721,0.01934293497600006,0.0635979890026665,0.708909314887336,0.31080377517481783,1.5008226614352,1.501145180384,0.18181818181818182,99,0.18181818181818182,0.0,0.0,0.2929951908226872,1.429983949661255,2.045193290710449,0.011269712640000096,0.018373406890666643,0.022637626474666477,0.8588304425288649,0.4114872822299831,1.5009429833813333,1.5014355183829333,0.18181818181818182
36,7000,7,0.5,False,True,0,3872,0.968,0.032,4000,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.005919295786666723,0.012311815679999949,0.13442524673066147,0.0,0.0006541937813333344,0.001976516352000002,0.26785714285714285,128,0.234375,0.0,0.0,0.4100664556026459,1.3891080498695372,1.5675575256347656,0.009989319733333335,0.016803412415999985,0.07541589021866626,1.2083238082406722,0.6558508671473245,1.5010707327018666,1.5012947817493334,0.26785714285714285,112,0.26785714285714285,0.0,0.0,0.49372854828834534,1.4517276167869568,1.5778034687042235,0.009989319733333335,0.019526430805333374,0.10097916286399974,1.380817209361054,0.7792018260555365,1.5011694496576,1.5013919167615999,0.26785714285714285
